date,time,voltage_mv,co2_ppm
6/30/21,11:30:00,82.695,275.65
6/30/21,11:40:00,83.395,277.9833333
6/30/21,11:50:00,82.25,274.1666667
6/30/21,12:00:00,82.16,273.8666667
6/30/21,12:10:00,79.82,266.0666667
6/30/21,12:20:00,81.015,270.05
6/30/21,12:30:00,83.495,278.3166667
6/30/21,12:40:00,80.64,268.8
6/30/21,12:50:00,80.42,268.0666667
6/30/21,13:00:00,81.855,272.85
6/30/21,13:10:00,83.52,278.4
6/30/21,13:20:00,80.72,269.0666667
6/30/21,13:30:00,80.845,269.4833333
6/30/21,13:40:00,83.565,278.55
6/30/21,13:50:00,83.57,278.5666667
6/30/21,14:00:00,81.085,270.2833333
6/30/21,14:10:00,83.65,278.8333333
6/30/21,14:20:00,83.485,278.2833333
6/30/21,14:30:00,81.01,270.0333333
6/30/21,14:40:00,83.355,277.85
6/30/21,14:50:00,84.21,280.7
6/30/21,15:00:00,88.54,295.1333333
6/30/21,15:10:00,88.54,295.1333333
6/30/21,15:20:00,85.95,286.5
6/30/21,15:30:00,85.82,286.0666667
6/30/21,15:40:00,83.085,276.95
6/30/21,15:50:00,80.985,269.95
6/30/21,16:00:00,80.86,269.5333333
6/30/21,16:10:00,81.58,271.9333333
6/30/21,16:20:00,83.56,278.5333333
6/30/21,16:30:00,85.05,283.5
6/30/21,16:40:00,88.725,295.75
6/30/21,16:50:00,90.45,301.5
6/30/21,17:00:00,91.27,304.2333333
6/30/21,17:10:00,88.62,295.4
6/30/21,17:20:00,85.89,286.3
6/30/21,17:30:00,88.15,293.8333333
6/30/21,17:40:00,91.12,303.7333333
6/30/21,17:50:00,93.235,310.7833333
6/30/21,18:00:00,94.625,315.4166667
6/30/21,18:10:00,95.975,319.9166667
6/30/21,18:20:00,93.475,311.5833333
6/30/21,18:30:00,93.41,311.3666667
6/30/21,18:40:00,94.09,313.6333333
6/30/21,18:50:00,94.875,316.25
6/30/21,19:00:00,99.68,332.2666667
6/30/21,19:10:00,95.645,318.8166667
6/30/21,19:20:00,100.54,335.1333333
6/30/21,19:30:00,93.18,310.6
6/30/21,19:40:00,93.685,312.2833333
6/30/21,19:50:00,94.12,313.7333333
6/30/21,20:00:00,91.35,304.5
6/30/21,20:10:00,93.335,311.1166667
6/30/21,20:20:00,95.77,319.2333333
6/30/21,20:30:00,93.83,312.7666667
6/30/21,20:40:00,93.14,310.4666667
6/30/21,20:50:00,91.17,303.9
6/30/21,21:00:00,90.655,302.1833333
6/30/21,21:10:00,93.26,310.8666667
6/30/21,21:20:00,93.98,313.2666667
6/30/21,21:30:00,91.31,304.3666667
6/30/21,21:40:00,93.665,312.2166667
6/30/21,21:50:00,94.25,314.1666667
6/30/21,22:00:00,93.88,312.9333333
6/30/21,22:10:00,94.81,316.0333333
6/30/21,22:20:00,94.915,316.3833333
6/30/21,22:30:00,98.79,329.3
6/30/21,22:40:00,99.075,330.25
6/30/21,22:50:00,97.34,324.4666667
6/30/21,23:00:00,93.32,311.0666667
6/30/21,23:10:00,97.975,326.5833333
6/30/21,23:20:00,99.205,330.6833333
6/30/21,23:30:00,98.99,329.9666667
6/30/21,23:40:00,98.455,328.1833333
6/30/21,23:50:00,100.76,335.8666667
7/1/21,0:00:00,103.19,343.9666667
7/1/21,0:10:00,103.375,344.5833333
7/1/21,0:20:00,101.9,339.6666667
7/1/21,0:30:00,103.355,344.5166667
7/1/21,0:40:00,103.71,345.7
7/1/21,0:50:00,106.01,353.3666667
7/1/21,1:00:00,105.065,350.2166667
7/1/21,1:10:00,98.5,328.3333333
7/1/21,1:20:00,100.725,335.75
7/1/21,1:30:00,101.13,337.1
7/1/21,1:40:00,102.125,340.4166667
7/1/21,1:50:00,102.42,341.4
7/1/21,2:00:00,102.29,340.9666667
7/1/21,2:10:00,100.85,336.1666667
7/1/21,2:20:00,100.965,336.55
7/1/21,2:30:00,100.545,335.15
7/1/21,2:40:00,101,336.6666667
7/1/21,2:50:00,98.05,326.8333333
7/1/21,3:00:00,98.35,327.8333333
7/1/21,3:10:00,98.47,328.2333333
7/1/21,3:20:00,96.785,322.6166667
7/1/21,3:30:00,98.72,329.0666667
7/1/21,3:40:00,95.87,319.5666667
7/1/21,3:50:00,93.39,311.3
7/1/21,4:00:00,96.3,321
7/1/21,4:10:00,99.68,332.2666667
7/1/21,4:20:00,96.575,321.9166667
7/1/21,4:30:00,100.635,335.45
7/1/21,4:40:00,93.775,312.5833333
7/1/21,4:50:00,100.145,333.8166667
7/1/21,5:00:00,97.6,325.3333333
7/1/21,5:10:00,96.95,323.1666667
7/1/21,5:20:00,98.41,328.0333333
7/1/21,5:30:00,98.22,327.4
7/1/21,5:40:00,98.265,327.55
7/1/21,5:50:00,96.55,321.8333333
7/1/21,6:00:00,98.675,328.9166667
7/1/21,6:10:00,98.25,327.5
7/1/21,6:20:00,99.025,330.0833333
7/1/21,6:30:00,100.255,334.1833333
7/1/21,6:40:00,98.65,328.8333333
7/1/21,6:50:00,97.555,325.1833333
7/1/21,7:00:00,96.79,322.6333333
7/1/21,7:10:00,97.295,324.3166667
7/1/21,7:20:00,95.865,319.55
7/1/21,7:30:00,98.43,328.1
7/1/21,7:40:00,94.905,316.35
7/1/21,7:50:00,93.405,311.35
7/1/21,8:00:00,93.14,310.4666667
7/1/21,8:10:00,92.515,308.3833333
7/1/21,8:20:00,93.26,310.8666667
7/1/21,8:30:00,90.83,302.7666667
7/1/21,8:40:00,87.51,291.7
7/1/21,8:50:00,85.665,285.55
7/1/21,9:00:00,82.235,274.1166667
7/1/21,9:10:00,83.395,277.9833333
7/1/21,9:20:00,83.325,277.75
7/1/21,9:30:00,78.215,260.7166667
7/1/21,9:40:00,74.625,248.75
7/1/21,9:50:00,77.71,259.0333333
7/1/21,10:00:00,74.68,248.9333333
7/1/21,10:10:00,74.02,246.7333333
7/1/21,10:20:00,60.855,202.85
7/1/21,10:30:00,68.1,227
7/1/21,10:40:00,67.415,224.7166667
7/1/21,10:50:00,68.2,227.3333333
7/1/21,11:00:00,67.305,224.35
7/1/21,11:10:00,66.91,223.0333333
7/1/21,11:20:00,60.55,201.8333333
7/1/21,11:30:00,62.275,207.5833333
7/1/21,11:40:00,65.605,218.6833333
7/1/21,11:50:00,69.45,231.5
7/1/21,12:00:00,75.37,251.2333333
7/1/21,12:10:00,77.8,259.3333333
7/1/21,12:20:00,73.245,244.15
7/1/21,12:30:00,68.075,226.9166667
7/1/21,12:40:00,67.395,224.65
7/1/21,12:50:00,68.11,227.0333333
7/1/21,13:00:00,60.61,202.0333333
7/1/21,13:10:00,51.955,173.1833333
7/1/21,13:20:00,38.735,129.1166667
7/1/21,13:30:00,43.09,143.6333333
7/1/21,13:40:00,47.405,158.0166667
7/1/21,13:50:00,44.47,148.2333333
7/1/21,14:00:00,48.555,161.85
7/1/21,14:10:00,48.625,162.0833333
7/1/21,14:20:00,45.06,150.2
7/1/21,14:30:00,41.2,137.3333333
7/1/21,14:40:00,41.27,137.5666667
7/1/21,14:50:00,47.34,157.8
7/1/21,15:00:00,45.945,153.15
7/1/21,15:10:00,47.245,157.4833333
7/1/21,15:20:00,44.99,149.9666667
7/1/21,15:30:00,45.585,151.95
7/1/21,15:40:00,39.305,131.0166667
7/1/21,15:50:00,47.925,159.75
7/1/21,16:00:00,46.345,154.4833333
7/1/21,16:10:00,55.685,185.6166667
7/1/21,16:20:00,53.765,179.2166667
7/1/21,16:30:00,63.355,211.1833333
7/1/21,16:40:00,70.86,236.2
7/1/21,16:50:00,73.235,244.1166667
7/1/21,17:00:00,80.645,268.8166667
7/1/21,17:10:00,82.15,273.8333333
7/1/21,17:20:00,86.165,287.2166667
7/1/21,17:30:00,83.665,278.8833333
7/1/21,17:40:00,83.335,277.7833333
7/1/21,17:50:00,84.47,281.5666667
7/1/21,18:00:00,86.01,286.7
7/1/21,18:10:00,83.555,278.5166667
7/1/21,18:20:00,86.35,287.8333333
7/1/21,18:30:00,90.585,301.95
7/1/21,18:40:00,93.39,311.3
7/1/21,18:50:00,95.985,319.95
7/1/21,19:00:00,92.715,309.05
7/1/21,19:10:00,95.76,319.2
7/1/21,19:20:00,95.98,319.9333333
7/1/21,19:30:00,96.01,320.0333333
7/1/21,19:40:00,100.54,335.1333333
7/1/21,19:50:00,99.96,333.2
7/1/21,20:00:00,98.76,329.2
7/1/21,20:10:00,98.295,327.65
7/1/21,20:20:00,98.22,327.4
7/1/21,20:30:00,98.81,329.3666667
7/1/21,20:40:00,96.49,321.6333333
7/1/21,20:50:00,100.725,335.75
7/1/21,21:00:00,95.675,318.9166667
7/1/21,21:10:00,98.33,327.7666667
7/1/21,21:20:00,98.59,328.6333333
7/1/21,21:30:00,96.75,322.5
