date,time,voltage_mv,co2_ppm
7/14/21,15:00:00,52.19,173.9666667
7/14/21,15:10:00,53.52,178.4
7/14/21,15:20:00,53.885,179.6166667
7/14/21,15:30:00,55.475,184.9166667
7/14/21,15:40:00,52.71,175.7
7/14/21,15:50:00,57.51,191.7
7/14/21,16:00:00,56.25,187.5
7/14/21,16:10:00,60.15,200.5
7/14/21,16:20:00,57.685,192.2833333
7/14/21,16:30:00,57.175,190.5833333
7/14/21,16:40:00,60.23,200.7666667
7/14/21,16:50:00,60.7,202.3333333
7/14/21,17:00:00,61.55,205.1666667
7/14/21,17:10:00,59.605,198.6833333
7/14/21,17:20:00,55.265,184.2166667
7/14/21,17:30:00,55.555,185.1833333
7/14/21,17:40:00,52.535,175.1166667
7/14/21,17:50:00,56.57,188.5666667
7/14/21,18:00:00,56.79,189.3
7/14/21,18:10:00,55.185,183.95
7/14/21,18:20:00,54.455,181.5166667
7/14/21,18:30:00,55.045,183.4833333
7/14/21,18:40:00,56.39,187.9666667
7/14/21,18:50:00,57.58,191.9333333
7/14/21,19:00:00,55.98,186.6
7/14/21,19:10:00,55.07,183.5666667
7/14/21,19:20:00,54.345,181.15
7/14/21,19:30:00,53.27,177.5666667
7/14/21,19:40:00,55.14,183.8
7/14/21,19:50:00,60.175,200.5833333
7/14/21,20:00:00,57.95,193.1666667
7/14/21,20:10:00,57.115,190.3833333
7/14/21,20:20:00,55.14,183.8
7/14/21,20:30:00,56.635,188.7833333
7/14/21,20:40:00,57.675,192.25
7/14/21,20:50:00,61.83,206.1
7/14/21,21:00:00,59.04,196.8
7/14/21,21:10:00,55.18,183.9333333
7/14/21,21:20:00,60.16,200.5333333
7/14/21,21:30:00,62.215,207.3833333
7/14/21,21:40:00,57.585,191.95
7/14/21,21:50:00,59.67,198.9
7/14/21,22:00:00,56.87,189.5666667
7/14/21,22:10:00,60.23,200.7666667
7/14/21,22:20:00,60.28,200.9333333
7/14/21,22:30:00,60.055,200.1833333
7/14/21,22:40:00,57.885,192.95
7/14/21,22:50:00,60.095,200.3166667
7/14/21,23:00:00,60.29,200.9666667
7/14/21,23:10:00,59.985,199.95
7/14/21,23:20:00,60.76,202.5333333
7/14/21,23:30:00,55.3,184.3333333
7/14/21,23:40:00,59.11,197.0333333
7/14/21,23:50:00,56.065,186.8833333
7/15/21,0:00:00,58.895,196.3166667
7/15/21,0:10:00,56.915,189.7166667
7/15/21,0:20:00,59.5,198.3333333
7/15/21,0:30:00,56.105,187.0166667
7/15/21,0:40:00,59.365,197.8833333
7/15/21,0:50:00,55.105,183.6833333
7/15/21,1:00:00,60.21,200.7
7/15/21,1:10:00,55.835,186.1166667
7/15/21,1:20:00,57.675,192.25
7/15/21,1:30:00,57.995,193.3166667
7/15/21,1:40:00,57.385,191.2833333
7/15/21,1:50:00,58.095,193.65
7/15/21,2:00:00,57.275,190.9166667
