sample,datetime,wtemp_a_1,wtrhgt__2,wtrhgt__3,formatted_datetime
184,6/17/21 17:30,4,243,241,6/17/21 17:30
185,6/17/21 17:40,4,233,238,6/17/21 17:40
186,6/17/21 17:50,3.9,240,237,6/17/21 17:50
187,6/17/21 18:00,3.9,230,238,6/17/21 18:00
188,6/17/21 18:10,3.9,237,241,6/17/21 18:10
189,6/17/21 18:20,3.8,239,244,6/17/21 18:20
190,6/17/21 18:30,3.8,252,240,6/17/21 18:30
191,6/17/21 18:40,3.8,238,240,6/17/21 18:40
192,6/17/21 18:50,3.8,247,241,6/17/21 18:50
193,6/17/21 19:00,3.7,239,239,6/17/21 19:00
194,6/17/21 19:10,3.7,244,237,6/17/21 19:10
195,6/17/21 19:20,3.7,241,242,6/17/21 19:20
196,6/17/21 19:30,3.7,238,240,6/17/21 19:30
197,6/17/21 19:40,3.6,248,242,6/17/21 19:40
198,6/17/21 19:50,3.6,242,241,6/17/21 19:50
199,6/17/21 20:00,3.6,238,241,6/17/21 20:00
200,6/17/21 20:10,3.6,249,240,6/17/21 20:10
201,6/17/21 20:20,3.5,231,239,6/17/21 20:20
202,6/17/21 20:30,3.5,233,238,6/17/21 20:30
203,6/17/21 20:40,3.4,240,242,6/17/21 20:40
204,6/17/21 20:50,3.4,242,237,6/17/21 20:50
205,6/17/21 21:00,3.4,233,240,6/17/21 21:00
206,6/17/21 21:10,3.3,237,238,6/17/21 21:10
207,6/17/21 21:20,3.3,241,243,6/17/21 21:20
208,6/17/21 21:30,3.3,241,241,6/17/21 21:30
209,6/17/21 21:40,3.3,237,238,6/17/21 21:40
210,6/17/21 21:50,3.2,241,240,6/17/21 21:50
211,6/17/21 22:00,3.2,250,240,6/17/21 22:00
212,6/17/21 22:10,3.2,230,237,6/17/21 22:10
213,6/17/21 22:20,3.2,242,240,6/17/21 22:20
214,6/17/21 22:30,3.2,244,240,6/17/21 22:30
215,6/17/21 22:40,3.2,239,240,6/17/21 22:40
216,6/17/21 22:50,3.2,237,240,6/17/21 22:50
217,6/17/21 23:00,3.2,235,239,6/17/21 23:00
218,6/17/21 23:10,3.2,235,238,6/17/21 23:10
219,6/17/21 23:20,3.1,248,241,6/17/21 23:20
