sample,datetime,wtemp_a_1,wtrhgt__2,wtrhgt__3
1,08/11/2020 17:00:00,7.2,60,60
2,08/11/2020 17:10:00,7.2,61,61
3,08/11/2020 17:20:00,7.1,61,61
4,08/11/2020 17:30:00,7.1,61,61
5,08/11/2020 17:40:00,7.1,61,61
6,08/11/2020 17:50:00,7.0,62,61
7,08/11/2020 18:00:00,7.0,62,62
8,08/11/2020 18:10:00,7.0,62,62
9,08/11/2020 18:20:00,6.9,62,62
10,08/11/2020 18:30:00,6.9,62,62
11,08/11/2020 18:40:00,6.8,62,62
12,08/11/2020 18:50:00,6.8,63,63
13,08/11/2020 19:00:00,6.8,63,63
14,08/11/2020 19:10:00,6.7,63,63
15,08/11/2020 19:20:00,6.7,63,63
16,08/11/2020 19:30:00,6.7,63,63
17,08/11/2020 19:40:00,6.6,63,63
18,08/11/2020 19:50:00,6.6,63,63
19,08/11/2020 20:00:00,6.6,63,63
20,08/11/2020 20:10:00,6.5,64,63
21,08/11/2020 20:20:00,6.5,64,64
22,08/11/2020 20:30:00,6.4,64,64
23,08/11/2020 20:40:00,6.3,64,64
24,08/11/2020 20:50:00,6.3,65,64
25,08/11/2020 21:00:00,6.2,65,65
26,08/11/2020 21:10:00,6.1,65,65
27,08/11/2020 21:20:00,6.0,65,65
28,08/11/2020 21:30:00,6.0,65,65
29,08/11/2020 21:40:00,5.9,65,65
30,08/11/2020 21:50:00,5.9,65,65
31,08/11/2020 22:00:00,5.9,66,65
32,08/11/2020 22:10:00,5.8,66,65
33,08/11/2020 22:20:00,5.8,66,66
34,08/11/2020 22:30:00,5.7,66,66
35,08/11/2020 22:40:00,5.7,66,66
36,08/11/2020 22:50:00,5.6,66,66
37,08/11/2020 23:00:00,5.6,66,66
38,08/11/2020 23:10:00,5.6,66,66
39,08/11/2020 23:20:00,5.6,66,66
40,08/11/2020 23:30:00,5.5,66,66
41,08/11/2020 23:40:00,5.5,66,66
42,08/11/2020 23:50:00,5.5,66,66
43,08/12/2020 00:00:00,5.5,67,66
44,08/12/2020 00:10:00,5.4,66,66
45,08/12/2020 00:20:00,5.4,66,66
46,08/12/2020 00:30:00,5.4,66,66
47,08/12/2020 00:40:00,5.4,67,66
48,08/12/2020 00:50:00,5.3,67,66
49,08/12/2020 01:00:00,5.3,66,67
50,08/12/2020 01:10:00,5.3,67,67
51,08/12/2020 01:20:00,5.3,67,67
52,08/12/2020 01:30:00,5.3,67,67
53,08/12/2020 01:40:00,5.3,67,67
54,08/12/2020 01:50:00,5.2,67,67
55,08/12/2020 02:00:00,5.2,67,67
56,08/12/2020 02:10:00,5.2,67,67
57,08/12/2020 02:20:00,5.2,67,67
58,08/12/2020 02:30:00,5.2,67,67
59,08/12/2020 02:40:00,5.1,67,67
60,08/12/2020 02:50:00,5.1,67,67
61,08/12/2020 03:00:00,5.1,67,67
62,08/12/2020 03:10:00,5.0,67,67
63,08/12/2020 03:20:00,5.0,67,67
64,08/12/2020 03:30:00,5.0,67,67
65,08/12/2020 03:40:00,5.0,67,67
66,08/12/2020 03:50:00,4.9,67,67
67,08/12/2020 04:00:00,4.9,67,67
68,08/12/2020 04:10:00,4.8,68,67
69,08/12/2020 04:20:00,4.8,68,68
70,08/12/2020 04:30:00,4.7,68,68
71,08/12/2020 04:40:00,4.7,68,68
72,08/12/2020 04:50:00,4.6,68,68
73,08/12/2020 05:00:00,4.6,68,68
74,08/12/2020 05:10:00,4.6,68,68
75,08/12/2020 05:20:00,4.6,68,68
76,08/12/2020 05:30:00,4.6,68,68
77,08/12/2020 05:40:00,4.6,68,68
78,08/12/2020 05:50:00,4.6,68,68
79,08/12/2020 06:00:00,4.6,68,68
80,08/12/2020 06:10:00,4.6,68,68
81,08/12/2020 06:20:00,4.6,68,68
82,08/12/2020 06:30:00,4.6,68,68
83,08/12/2020 06:40:00,4.6,68,68
84,08/12/2020 06:50:00,4.6,68,68
85,08/12/2020 07:00:00,4.6,68,68
86,08/12/2020 07:10:00,4.6,68,68
87,08/12/2020 07:20:00,4.6,67,68
88,08/12/2020 07:30:00,4.6,68,68
89,08/12/2020 07:40:00,4.6,68,68
90,08/12/2020 07:50:00,4.7,68,68
91,08/12/2020 08:00:00,4.7,67,68
92,08/12/2020 08:10:00,4.7,68,68
93,08/12/2020 08:20:00,4.8,68,68
94,08/12/2020 08:30:00,4.8,67,67
95,08/12/2020 08:40:00,4.9,67,68
96,08/12/2020 08:50:00,4.9,67,67
97,08/12/2020 09:00:00,5.0,67,67
98,08/12/2020 09:10:00,5.0,67,67
99,08/12/2020 09:20:00,5.1,67,67
100,08/12/2020 09:30:00,5.2,66,67
101,08/12/2020 09:40:00,5.2,66,66
102,08/12/2020 09:50:00,5.3,67,66
103,08/12/2020 10:00:00,5.4,66,66
104,08/12/2020 10:10:00,5.4,66,66
105,08/12/2020 10:20:00,5.5,66,66
106,08/12/2020 10:30:00,5.6,66,66
107,08/12/2020 10:40:00,5.6,66,66
108,08/12/2020 10:50:00,5.6,66,66
109,08/12/2020 11:00:00,5.7,65,66
110,08/12/2020 11:10:00,5.8,65,65
111,08/12/2020 11:20:00,5.9,65,65
112,08/12/2020 11:30:00,5.9,65,65
113,08/12/2020 11:40:00,6.0,65,65
114,08/12/2020 11:50:00,6.1,65,65
115,08/12/2020 12:00:00,6.2,65,65
116,08/12/2020 12:10:00,6.5,65,65
117,08/12/2020 12:20:00,6.8,64,65
118,08/12/2020 12:30:00,6.7,65,64
119,08/12/2020 12:40:00,6.6,65,65
120,08/12/2020 12:50:00,6.6,65,65
121,08/12/2020 13:00:00,6.8,65,65
122,08/12/2020 13:10:00,7.2,64,65
123,08/12/2020 13:20:00,7.6,64,64
124,08/12/2020 13:30:00,7.4,64,64
125,08/12/2020 13:40:00,7.3,64,64
126,08/12/2020 13:50:00,7.4,64,64
127,08/12/2020 14:00:00,7.3,64,64
128,08/12/2020 14:10:00,7.2,64,64
129,08/12/2020 14:20:00,7.1,64,64
130,08/12/2020 14:30:00,7.0,64,64
131,08/12/2020 14:40:00,7.1,65,65
132,08/12/2020 14:50:00,7.1,64,64
133,08/12/2020 15:00:00,7.2,64,64
134,08/12/2020 15:10:00,7.2,64,64
135,08/12/2020 15:20:00,7.3,64,64
136,08/12/2020 15:30:00,7.4,64,64
137,08/12/2020 15:40:00,7.3,64,64
138,08/12/2020 15:50:00,7.3,64,64
139,08/12/2020 16:00:00,7.2,64,64
140,08/12/2020 16:10:00,7.1,64,64
141,08/12/2020 16:20:00,7.1,64,64
142,08/12/2020 16:30:00,7.0,65,64
143,08/12/2020 16:40:00,7.0,65,64
144,08/12/2020 16:50:00,7.0,65,65
145,08/12/2020 17:00:00,6.9,65,65
146,08/12/2020 17:10:00,6.9,65,65
147,08/12/2020 17:20:00,6.9,65,65
148,08/12/2020 17:30:00,6.9,65,65
149,08/12/2020 17:40:00,6.9,65,65
150,08/12/2020 17:50:00,6.9,65,65
151,08/12/2020 18:00:00,6.8,65,65
152,08/12/2020 18:10:00,6.8,66,66
153,08/12/2020 18:20:00,6.8,65,65
154,08/12/2020 18:30:00,6.7,65,66
155,08/12/2020 18:40:00,6.7,65,66
156,08/12/2020 18:50:00,6.6,66,66
157,08/12/2020 19:00:00,6.6,66,66
158,08/12/2020 19:10:00,6.6,66,66
159,08/12/2020 19:20:00,6.5,66,66
160,08/12/2020 19:30:00,6.5,66,66
161,08/12/2020 19:40:00,6.5,67,66
162,08/12/2020 19:50:00,6.4,67,67
163,08/12/2020 20:00:00,6.4,67,67
164,08/12/2020 20:10:00,6.3,67,67
165,08/12/2020 20:20:00,6.3,67,67
166,08/12/2020 20:30:00,6.2,67,67
167,08/12/2020 20:40:00,6.2,67,67
168,08/12/2020 20:50:00,6.1,67,67
169,08/12/2020 21:00:00,6.1,67,67
170,08/12/2020 21:10:00,6.0,67,67
171,08/12/2020 21:20:00,6.0,68,67
172,08/12/2020 21:30:00,6.0,67,68
173,08/12/2020 21:40:00,5.9,68,67
174,08/12/2020 21:50:00,5.9,67,67
175,08/12/2020 22:00:00,5.9,68,68
176,08/12/2020 22:10:00,5.8,68,67
177,08/12/2020 22:20:00,5.8,68,68
178,08/12/2020 22:30:00,5.7,68,68
179,08/12/2020 22:40:00,5.7,68,68
180,08/12/2020 22:50:00,5.6,68,68
181,08/12/2020 23:00:00,5.6,68,68
182,08/12/2020 23:10:00,5.6,68,68
183,08/12/2020 23:20:00,5.6,68,68
184,08/12/2020 23:30:00,5.6,68,68
185,08/12/2020 23:40:00,5.6,68,68
186,08/12/2020 23:50:00,5.5,68,68
187,08/13/2020 00:00:00,5.5,68,68
188,08/13/2020 00:10:00,5.4,68,68
189,08/13/2020 00:20:00,5.4,68,68
190,08/13/2020 00:30:00,5.4,68,68
