sample,datetime,wtemp_a_1,wtrhgt__2,wtrhgt__3,formatted_datetime
5445,7/16/21 12:10,5.9,88,88,7/16/21 12:10
5446,7/16/21 12:20,6.2,88,87,7/16/21 12:20
5447,7/16/21 12:30,6.3,86,86,7/16/21 12:30
5448,7/16/21 12:40,6.5,84,87,7/16/21 12:40
5449,7/16/21 12:50,6.9,86,86,7/16/21 12:50
5450,7/16/21 13:00,7,87,85,7/16/21 13:00
5451,7/16/21 13:10,7,84,85,7/16/21 13:10
5452,7/16/21 13:20,6.9,85,85,7/16/21 13:20
5453,7/16/21 13:30,7.2,84,85,7/16/21 13:30
5454,7/16/21 13:40,7.1,87,85,7/16/21 13:40
5455,7/16/21 13:50,7,87,85,7/16/21 13:50
5456,7/16/21 14:00,6.9,87,85,7/16/21 14:00
5457,7/16/21 14:10,6.9,86,86,7/16/21 14:10
5458,7/16/21 14:20,6.8,86,86,7/16/21 14:20
5459,7/16/21 14:30,6.7,87,86,7/16/21 14:30
5460,7/16/21 14:40,6.6,87,86,7/16/21 14:40
5461,7/16/21 14:50,6.6,86,86,7/16/21 14:50
5462,7/16/21 15:00,6.5,86,87,7/16/21 15:00
5463,7/16/21 15:10,6.5,87,87,7/16/21 15:10
5464,7/16/21 15:20,6.4,85,87,7/16/21 15:20
5465,7/16/21 15:30,6.3,89,88,7/16/21 15:30
5466,7/16/21 15:40,6.3,89,87,7/16/21 15:40
5467,7/16/21 15:50,6.2,87,87,7/16/21 15:50
5468,7/16/21 16:00,6.2,87,87,7/16/21 16:00
5469,7/16/21 16:10,6.1,88,87,7/16/21 16:10
5470,7/16/21 16:20,6.1,89,87,7/16/21 16:20
5471,7/16/21 16:30,6,86,87,7/16/21 16:30
5472,7/16/21 16:40,6,86,88,7/16/21 16:40
5473,7/16/21 16:50,6,85,88,7/16/21 16:50
5474,7/16/21 17:00,6,87,88,7/16/21 17:00
5475,7/16/21 17:10,6,89,87,7/16/21 17:10
5476,7/16/21 17:20,6,87,86,7/16/21 17:20
5477,7/16/21 17:30,6,88,87,7/16/21 17:30
5478,7/16/21 17:40,5.9,86,87,7/16/21 17:40
5479,7/16/21 17:50,5.9,88,87,7/16/21 17:50
5480,7/16/21 18:00,5.9,88,88,7/16/21 18:00
5481,7/16/21 18:10,5.9,87,87,7/16/21 18:10
5482,7/16/21 18:20,5.8,85,87,7/16/21 18:20
5483,7/16/21 18:30,5.8,85,87,7/16/21 18:30
5484,7/16/21 18:40,5.8,87,87,7/16/21 18:40
5485,7/16/21 18:50,5.7,87,87,7/16/21 18:50
5486,7/16/21 19:00,5.7,86,87,7/16/21 19:00
5487,7/16/21 19:10,5.7,88,88,7/16/21 19:10
5488,7/16/21 19:20,5.6,87,87,7/16/21 19:20
5489,7/16/21 19:30,5.6,88,88,7/16/21 19:30
5490,7/16/21 19:40,5.6,87,88,7/16/21 19:40
5491,7/16/21 19:50,5.6,88,88,7/16/21 19:50
5492,7/16/21 20:00,5.5,89,88,7/16/21 20:00
5493,7/16/21 20:10,5.5,88,89,7/16/21 20:10
5494,7/16/21 20:20,5.4,89,89,7/16/21 20:20
5495,7/16/21 20:30,5.4,88,89,7/16/21 20:30
5496,7/16/21 20:40,5.3,88,89,7/16/21 20:40
5497,7/16/21 20:50,5.3,90,89,7/16/21 20:50
5498,7/16/21 21:00,5.3,89,89,7/16/21 21:00
5499,7/16/21 21:10,5.3,90,89,7/16/21 21:10
5500,7/16/21 21:20,5.2,88,89,7/16/21 21:20
5501,7/16/21 21:30,5.2,87,89,7/16/21 21:30
5502,7/16/21 21:40,5.2,86,88,7/16/21 21:40
5503,7/16/21 21:50,5.2,88,89,7/16/21 21:50
5504,7/16/21 22:00,5.1,90,89,7/16/21 22:00
5505,7/16/21 22:10,5.1,88,89,7/16/21 22:10
5506,7/16/21 22:20,5.1,91,90,7/16/21 22:20
5507,7/16/21 22:30,5.1,90,89,7/16/21 22:30
5508,7/16/21 22:40,5.1,89,89,7/16/21 22:40
5509,7/16/21 22:50,5.1,89,89,7/16/21 22:50
5510,7/16/21 23:00,5.1,90,90,7/16/21 23:00
5511,7/16/21 23:10,5,89,88,7/16/21 23:10
5512,7/16/21 23:20,5,87,89,7/16/21 23:20
5513,7/16/21 23:30,5,92,90,7/16/21 23:30
5514,7/16/21 23:40,5,92,90,7/16/21 23:40
5515,7/16/21 23:50,5,88,90,7/16/21 23:50
5516,7/17/21 0:00,4.9,90,90,7/17/21 0:00
5517,7/17/21 0:10,4.9,89,90,7/17/21 0:10
5518,7/17/21 0:20,4.9,91,89,7/17/21 0:20
5519,7/17/21 0:30,4.8,89,90,7/17/21 0:30
5520,7/17/21 0:40,4.8,89,90,7/17/21 0:40
5521,7/17/21 0:50,4.7,88,90,7/17/21 0:50
5522,7/17/21 1:00,4.7,91,90,7/17/21 1:00
5523,7/17/21 1:10,4.7,89,90,7/17/21 1:10
5524,7/17/21 1:20,4.7,92,91,7/17/21 1:20
5525,7/17/21 1:30,4.6,92,91,7/17/21 1:30
5526,7/17/21 1:40,4.6,91,91,7/17/21 1:40
5527,7/17/21 1:50,4.6,90,90,7/17/21 1:50
5528,7/17/21 2:00,4.6,90,91,7/17/21 2:00
5529,7/17/21 2:10,4.6,90,90,7/17/21 2:10
5530,7/17/21 2:20,4.6,91,91,7/17/21 2:20
5531,7/17/21 2:30,4.5,91,92,7/17/21 2:30
5532,7/17/21 2:40,4.5,91,91,7/17/21 2:40
5533,7/17/21 2:50,4.5,91,91,7/17/21 2:50
5534,7/17/21 3:00,4.5,92,90,7/17/21 3:00
5535,7/17/21 3:10,4.5,92,91,7/17/21 3:10
5536,7/17/21 3:20,4.5,91,90,7/17/21 3:20
5537,7/17/21 3:30,4.5,91,90,7/17/21 3:30
5538,7/17/21 3:40,4.5,90,90,7/17/21 3:40
5539,7/17/21 3:50,4.5,90,90,7/17/21 3:50
5540,7/17/21 4:00,4.5,92,90,7/17/21 4:00
5541,7/17/21 4:10,4.5,89,90,7/17/21 4:10
5542,7/17/21 4:20,4.5,91,90,7/17/21 4:20
5543,7/17/21 4:30,4.5,90,90,7/17/21 4:30
5544,7/17/21 4:40,4.5,93,91,7/17/21 4:40
5545,7/17/21 4:50,4.5,91,92,7/17/21 4:50
5546,7/17/21 5:00,4.5,91,90,7/17/21 5:00
5547,7/17/21 5:10,4.4,91,91,7/17/21 5:10
5548,7/17/21 5:20,4.4,92,91,7/17/21 5:20
5549,7/17/21 5:30,4.4,90,91,7/17/21 5:30
5550,7/17/21 5:40,4.4,90,91,7/17/21 5:40
5551,7/17/21 5:50,4.3,91,91,7/17/21 5:50
5552,7/17/21 6:00,4.3,91,91,7/17/21 6:00
5553,7/17/21 6:10,4.3,87,91,7/17/21 6:10
5554,7/17/21 6:20,4.3,93,91,7/17/21 6:20
5555,7/17/21 6:30,4.3,91,91,7/17/21 6:30
5556,7/17/21 6:40,4.2,93,91,7/17/21 6:40
5557,7/17/21 6:50,4.2,90,91,7/17/21 6:50
5558,7/17/21 7:00,4.2,90,91,7/17/21 7:00
5559,7/17/21 7:10,4.2,90,90,7/17/21 7:10
5560,7/17/21 7:20,4.3,89,91,7/17/21 7:20
5561,7/17/21 7:30,4.3,91,91,7/17/21 7:30
5562,7/17/21 7:40,4.3,90,90,7/17/21 7:40
5563,7/17/21 7:50,4.3,90,91,7/17/21 7:50
5564,7/17/21 8:00,4.3,91,91,7/17/21 8:00
5565,7/17/21 8:10,4.4,91,90,7/17/21 8:10
5566,7/17/21 8:20,4.4,91,90,7/17/21 8:20
5567,7/17/21 8:30,4.5,90,90,7/17/21 8:30
5568,7/17/21 8:40,4.5,89,90,7/17/21 8:40
5569,7/17/21 8:50,4.5,88,90,7/17/21 8:50
5570,7/17/21 9:00,4.6,90,89,7/17/21 9:00
5571,7/17/21 9:10,4.6,89,90,7/17/21 9:10
5572,7/17/21 9:20,4.6,88,90,7/17/21 9:20
5573,7/17/21 9:30,4.6,89,89,7/17/21 9:30
5574,7/17/21 9:40,4.7,90,89,7/17/21 9:40
5575,7/17/21 9:50,4.7,88,89,7/17/21 9:50
5576,7/17/21 10:00,4.8,88,89,7/17/21 10:00
5577,7/17/21 10:10,4.9,87,89,7/17/21 10:10
5578,7/17/21 10:20,4.9,88,88,7/17/21 10:20
5579,7/17/21 10:30,5,87,88,7/17/21 10:30
5580,7/17/21 10:40,5,87,88,7/17/21 10:40
5581,7/17/21 10:50,5.1,87,88,7/17/21 10:50
5582,7/17/21 11:00,5.2,86,87,7/17/21 11:00
5583,7/17/21 11:10,5.3,87,88,7/17/21 11:10
5584,7/17/21 11:20,5.4,88,87,7/17/21 11:20
5585,7/17/21 11:30,5.5,87,86,7/17/21 11:30
5586,7/17/21 11:40,5.7,85,87,7/17/21 11:40
5587,7/17/21 11:50,5.6,85,86,7/17/21 11:50
