sample,datetime,wtemp_a_1,wtrhgt__2,wtrhgt__3,formatted_datetime
1,6/8/21 16:50,7.1,-14,-14,6/8/21 16:50
2,6/8/21 17:00,4,132,21,6/8/21 17:00
3,6/8/21 17:10,1,103,126,6/8/21 17:10
4,6/8/21 17:20,0.9,116,115,6/8/21 17:20
5,6/8/21 17:30,0.9,119,115,6/8/21 17:30
6,6/8/21 17:40,0.9,117,118,6/8/21 17:40
7,6/8/21 17:50,0.9,121,118,6/8/21 17:50
8,6/8/21 18:00,0.9,121,120,6/8/21 18:00
9,6/8/21 18:10,0.9,118,123,6/8/21 18:10
10,6/8/21 18:20,0.9,129,124,6/8/21 18:20
11,6/8/21 18:30,0.9,129,121,6/8/21 18:30
12,6/8/21 18:40,0.9,127,124,6/8/21 18:40
13,6/8/21 18:50,0.9,128,124,6/8/21 18:50
14,6/8/21 19:00,0.9,120,124,6/8/21 19:00
15,6/8/21 19:10,0.8,130,126,6/8/21 19:10
16,6/8/21 19:20,0.9,126,125,6/8/21 19:20
17,6/8/21 19:30,0.9,123,124,6/8/21 19:30
18,6/8/21 19:40,0.8,133,123,6/8/21 19:40
19,6/8/21 19:50,0.8,132,130,6/8/21 19:50
20,6/8/21 20:00,0.8,133,131,6/8/21 20:00
21,6/8/21 20:10,0.8,128,134,6/8/21 20:10
22,6/8/21 20:20,0.8,143,135,6/8/21 20:20
23,6/8/21 20:30,0.8,135,132,6/8/21 20:30
24,6/8/21 20:40,0.8,123,133,6/8/21 20:40
25,6/8/21 20:50,0.8,137,136,6/8/21 20:50
26,6/8/21 21:00,0.8,127,133,6/8/21 21:00
27,6/8/21 21:10,0.8,138,136,6/8/21 21:10
28,6/8/21 21:20,0.8,124,135,6/8/21 21:20
29,6/8/21 21:30,0.8,138,134,6/8/21 21:30
30,6/8/21 21:40,0.8,130,134,6/8/21 21:40
31,6/8/21 21:50,0.8,133,130,6/8/21 21:50
32,6/8/21 22:00,0.8,141,134,6/8/21 22:00
33,6/8/21 22:10,0.7,132,131,6/8/21 22:10
34,6/8/21 22:20,0.7,129,135,6/8/21 22:20
35,6/8/21 22:30,0.7,141,138,6/8/21 22:30
36,6/8/21 22:40,0.7,131,136,6/8/21 22:40
37,6/8/21 22:50,0.7,142,136,6/8/21 22:50
38,6/8/21 23:00,0.7,138,136,6/8/21 23:00
39,6/8/21 23:10,0.7,133,137,6/8/21 23:10
40,6/8/21 23:20,0.7,136,133,6/8/21 23:20
41,6/8/21 23:30,0.7,141,134,6/8/21 23:30
42,6/8/21 23:40,0.7,154,138,6/8/21 23:40
43,6/8/21 23:50,0.7,135,139,6/8/21 23:50
44,6/9/21 0:00,0.7,140,138,6/9/21 0:00
45,6/9/21 0:10,0.7,136,137,6/9/21 0:10
46,6/9/21 0:20,0.7,147,137,6/9/21 0:20
47,6/9/21 0:30,0.7,134,138,6/9/21 0:30
48,6/9/21 0:40,0.7,142,141,6/9/21 0:40
49,6/9/21 0:50,0.7,142,138,6/9/21 0:50
50,6/9/21 1:00,0.7,134,137,6/9/21 1:00
51,6/9/21 1:10,0.7,143,139,6/9/21 1:10
52,6/9/21 1:20,0.7,140,138,6/9/21 1:20
