Plot Title: 20879907,,,
ID,datetime,abs pres_kPa,temp_C
159,8/7/20 15:20,69.637,19.472
160,8/7/20 15:30,69.61,19.187
161,8/7/20 15:40,69.614,18.996
162,8/7/20 15:50,69.614,18.996
163,8/7/20 16:00,69.596,18.996
164,8/7/20 16:10,69.601,19.187
165,8/7/20 16:20,69.613,19.282
166,8/7/20 16:30,69.601,19.187
167,8/7/20 16:40,69.632,19.282
168,8/7/20 16:50,69.614,19.662
169,8/7/20 17:00,69.626,19.758
170,8/7/20 17:10,69.628,19.472
171,8/7/20 17:20,69.602,18.901
172,8/7/20 17:30,69.612,18.236
173,8/7/20 17:40,69.598,17.76
174,8/7/20 17:50,69.596,17.379
175,8/7/20 18:00,69.597,17.094
176,8/7/20 18:10,69.586,16.713
177,8/7/20 18:20,69.575,16.332
178,8/7/20 18:30,69.588,15.855
179,8/7/20 18:40,69.611,15.378
180,8/7/20 18:50,69.596,14.9
181,8/7/20 19:00,69.606,14.613
182,8/7/20 19:10,69.597,14.325
183,8/7/20 19:20,69.613,13.942
184,8/7/20 19:30,69.601,13.558
185,8/7/20 19:40,69.616,13.173
186,8/7/20 19:50,69.632,12.787
187,8/7/20 20:00,69.61,12.401
188,8/7/20 20:10,69.615,12.013
189,8/7/20 20:20,69.624,11.722
190,8/7/20 20:30,69.63,11.334
191,8/7/20 20:40,69.635,10.944
192,8/7/20 20:50,69.644,10.651
193,8/7/20 21:00,69.658,10.259
194,8/7/20 21:10,69.68,10.063
195,8/7/20 21:20,69.66,9.768
196,8/7/20 21:30,69.69,9.571
197,8/7/20 21:40,69.687,9.472
198,8/7/20 21:50,69.689,9.275
199,8/7/20 22:00,69.688,8.978
200,8/7/20 22:10,69.699,8.779
201,8/7/20 22:20,69.701,8.581
202,8/7/20 22:30,69.698,8.481
203,8/7/20 22:40,69.704,8.382
204,8/7/20 22:50,69.678,8.182
205,8/7/20 23:00,69.693,8.082
206,8/7/20 23:10,69.708,7.983
207,8/7/20 23:20,69.704,7.882
208,8/7/20 23:30,69.715,7.682
209,8/7/20 23:40,69.721,7.582
210,8/7/20 23:50,69.732,7.381
211,8/8/20 0:00,69.725,7.179
212,8/8/20 0:10,69.73,7.079
213,8/8/20 0:20,69.713,6.877
214,8/8/20 0:30,69.728,6.775
215,8/8/20 0:40,69.724,6.674
216,8/8/20 0:50,69.72,6.573
217,8/8/20 1:00,69.731,6.37
218,8/8/20 1:10,69.742,6.166
219,8/8/20 1:20,69.729,6.064
220,8/8/20 1:30,69.712,5.86
221,8/8/20 1:40,69.717,5.757
222,8/8/20 1:50,69.717,5.757
223,8/8/20 2:00,69.695,5.655
224,8/8/20 2:10,69.698,5.757
225,8/8/20 2:20,69.698,5.757
226,8/8/20 2:30,69.698,5.757
227,8/8/20 2:40,69.702,5.86
228,8/8/20 2:50,69.712,5.86
229,8/8/20 3:00,69.702,5.86
230,8/8/20 3:10,69.698,5.757
231,8/8/20 3:20,69.713,5.655
232,8/8/20 3:30,69.7,5.552
233,8/8/20 3:40,69.705,5.45
234,8/8/20 3:50,69.705,5.45
235,8/8/20 4:00,69.715,5.45
236,8/8/20 4:10,69.705,5.45
237,8/8/20 4:20,69.7,5.552
238,8/8/20 4:30,69.7,5.552
239,8/8/20 4:40,69.691,5.552
240,8/8/20 4:50,69.709,5.552
241,8/8/20 5:00,69.7,5.552
242,8/8/20 5:10,69.709,5.552
243,8/8/20 5:20,69.709,5.552
244,8/8/20 5:30,69.705,5.45
245,8/8/20 5:40,69.705,5.45
246,8/8/20 5:50,69.719,5.552
247,8/8/20 6:00,69.737,5.552
248,8/8/20 6:10,69.737,5.552
249,8/8/20 6:20,69.756,5.552
250,8/8/20 6:30,69.756,5.552
251,8/8/20 6:40,69.756,5.552
252,8/8/20 6:50,69.765,5.552
253,8/8/20 7:00,69.756,5.552
254,8/8/20 7:10,69.775,5.552
255,8/8/20 7:20,69.78,5.45
256,8/8/20 7:30,69.803,5.552
257,8/8/20 7:40,69.793,5.552
258,8/8/20 7:50,69.816,5.655
259,8/8/20 8:00,69.801,5.757
260,8/8/20 8:10,69.805,5.86
261,8/8/20 8:20,69.809,5.962
262,8/8/20 8:30,69.813,6.064
263,8/8/20 8:40,69.84,6.268
264,8/8/20 8:50,69.829,6.471
265,8/8/20 9:00,69.831,6.775
266,8/8/20 9:10,69.833,7.079
267,8/8/20 9:20,69.82,7.481
268,8/8/20 9:30,69.808,8.182
269,8/8/20 9:40,69.827,8.68
270,8/8/20 9:50,69.839,9.275
271,8/8/20 10:00,69.85,9.866
272,8/8/20 10:10,69.853,10.748
273,8/8/20 10:20,69.861,11.528
274,8/8/20 10:30,69.869,12.304
275,8/8/20 10:40,69.86,13.173
276,8/8/20 10:50,69.876,13.942
277,8/8/20 11:00,69.869,14.613
278,8/8/20 11:10,69.865,15.091
279,8/8/20 11:20,69.868,15.473
280,8/8/20 11:30,69.851,15.855
281,8/8/20 11:40,69.866,16.046
282,8/8/20 11:50,69.872,16.237
283,8/8/20 12:00,69.856,16.332
284,8/8/20 12:10,69.862,16.523
285,8/8/20 12:20,69.852,16.808
286,8/8/20 12:30,69.848,16.999
287,8/8/20 12:40,69.847,17.284
288,8/8/20 12:50,69.837,17.57
289,8/8/20 13:00,69.848,17.95
290,8/8/20 13:10,69.843,18.426
291,8/8/20 13:20,69.853,18.806
292,8/8/20 13:30,69.837,18.901
293,8/8/20 13:40,69.839,18.616
294,8/8/20 13:50,69.822,18.045
295,8/8/20 14:00,69.836,17.855
296,8/8/20 14:10,69.818,18.236
297,8/8/20 14:20,69.816,18.806
298,8/8/20 14:30,69.825,18.806
299,8/8/20 14:40,69.797,18.806
300,8/8/20 14:50,69.821,18.996
301,8/8/20 15:00,69.821,18.996
302,8/8/20 15:10,69.8,18.901
303,8/8/20 15:20,69.809,18.901
304,8/8/20 15:30,69.785,18.711
305,8/8/20 15:40,69.773,18.616
306,8/8/20 15:50,69.775,18.711
307,8/8/20 16:00,69.766,18.711
308,8/8/20 16:10,69.774,18.996
309,8/8/20 16:20,69.774,18.996
310,8/8/20 16:30,69.75,18.806
311,8/8/20 16:40,69.778,18.806
312,8/8/20 16:50,69.754,18.616
313,8/8/20 17:00,69.737,18.331
314,8/8/20 17:10,69.738,18.045
315,8/8/20 17:20,69.729,17.76
316,8/8/20 17:30,69.731,17.475
317,8/8/20 17:40,69.716,17.284
318,8/8/20 17:50,69.701,17.094
319,8/8/20 18:00,69.714,16.903
320,8/8/20 18:10,69.686,16.618
321,8/8/20 18:20,69.694,16.237
322,8/8/20 18:30,69.701,15.855
323,8/8/20 18:40,69.711,15.569
324,8/8/20 18:50,69.706,15.091
325,8/8/20 19:00,69.697,14.517
326,8/8/20 19:10,69.707,13.942
327,8/8/20 19:20,69.698,13.365
328,8/8/20 19:30,69.71,12.883
329,8/8/20 19:40,69.697,12.497
330,8/8/20 19:50,69.706,12.207
331,8/8/20 20:00,69.709,12.013
332,8/8/20 20:10,69.703,11.819
333,8/8/20 20:20,69.711,11.528
334,8/8/20 20:30,69.698,11.139
335,8/8/20 20:40,69.707,10.846
336,8/8/20 20:50,69.703,10.455
337,8/8/20 21:00,69.72,10.161
338,8/8/20 21:10,69.707,9.768
339,8/8/20 21:20,69.724,9.472
340,8/8/20 21:30,69.726,9.275
341,8/8/20 21:40,69.729,9.077
342,8/8/20 21:50,69.727,8.779
343,8/8/20 22:00,69.742,8.68
344,8/8/20 22:10,69.745,8.481
345,8/8/20 22:20,69.732,8.382
346,8/8/20 22:30,69.728,8.282
347,8/8/20 22:40,69.734,8.182
348,8/8/20 22:50,69.73,8.082
349,8/8/20 23:00,69.736,7.983
350,8/8/20 23:10,69.741,7.882
351,8/8/20 23:20,69.756,7.782
352,8/8/20 23:30,69.743,7.682
353,8/8/20 23:40,69.749,7.582
354,8/8/20 23:50,69.726,7.481
355,8/9/20 0:00,69.732,7.381
356,8/9/20 0:10,69.728,7.28
357,8/9/20 0:20,69.728,7.28
358,8/9/20 0:30,69.719,7.28
359,8/9/20 0:40,69.71,7.28
360,8/9/20 0:50,69.71,7.28
361,8/9/20 1:00,69.704,7.381
362,8/9/20 1:10,69.698,7.481
363,8/9/20 1:20,69.698,7.481
364,8/9/20 1:30,69.693,7.582
365,8/9/20 1:40,69.674,7.582
366,8/9/20 1:50,69.68,7.481
367,8/9/20 2:00,69.68,7.481
368,8/9/20 2:10,69.68,7.481
369,8/9/20 2:20,69.683,7.582
370,8/9/20 2:30,69.683,7.582
371,8/9/20 2:40,69.693,7.582
372,8/9/20 2:50,69.689,7.481
373,8/9/20 3:00,69.689,7.481
374,8/9/20 3:10,69.695,7.381
375,8/9/20 3:20,69.691,7.28
376,8/9/20 3:30,69.687,7.179
377,8/9/20 3:40,69.696,7.179
378,8/9/20 3:50,69.693,7.079
379,8/9/20 4:00,69.711,7.079
380,8/9/20 4:10,69.693,7.079
381,8/9/20 4:20,69.689,6.978
382,8/9/20 4:30,69.685,6.877
383,8/9/20 4:40,69.691,6.775
384,8/9/20 4:50,69.687,6.674
385,8/9/20 5:00,69.702,6.573
386,8/9/20 5:10,69.694,6.37
387,8/9/20 5:20,69.681,6.268
388,8/9/20 5:30,69.686,6.166
389,8/9/20 5:40,69.706,5.962
390,8/9/20 5:50,69.702,5.86
391,8/9/20 6:00,69.727,5.757
392,8/9/20 6:10,69.728,5.552
393,8/9/20 6:20,69.733,5.45
394,8/9/20 6:30,69.744,5.244
395,8/9/20 6:40,69.74,5.141
396,8/9/20 6:50,69.736,5.037
397,8/9/20 7:00,69.745,5.037
398,8/9/20 7:10,69.75,4.934
399,8/9/20 7:20,69.755,5.037
400,8/9/20 7:30,69.755,5.037
401,8/9/20 7:40,69.759,5.141
402,8/9/20 7:50,69.776,5.347
403,8/9/20 8:00,69.784,5.552
404,8/9/20 8:10,69.777,5.86
405,8/9/20 8:20,69.789,6.166
406,8/9/20 8:30,69.773,6.471
407,8/9/20 8:40,69.775,6.775
408,8/9/20 8:50,69.803,7.28
409,8/9/20 9:00,69.79,7.682
410,8/9/20 9:10,69.786,8.082
411,8/9/20 9:20,69.806,8.382
412,8/9/20 9:30,69.794,9.077
413,8/9/20 9:40,69.797,9.669
414,8/9/20 9:50,69.814,10.161
415,8/9/20 10:00,69.806,10.455
416,8/9/20 10:10,69.819,10.846
417,8/9/20 10:20,69.817,11.334
418,8/9/20 10:30,69.803,12.013
419,8/9/20 10:40,69.807,12.69
420,8/9/20 10:50,69.816,13.558
421,8/9/20 11:00,69.813,14.325
422,8/9/20 11:10,69.822,14.9
423,8/9/20 11:20,69.83,15.473
424,8/9/20 11:30,69.839,15.76
425,8/9/20 11:40,69.838,16.046
426,8/9/20 11:50,69.822,16.141
427,8/9/20 12:00,69.831,16.427
428,8/9/20 12:10,69.827,16.618
429,8/9/20 12:20,69.817,16.903
430,8/9/20 12:30,69.819,17.284
431,8/9/20 12:40,69.808,17.57
432,8/9/20 12:50,69.817,17.855
433,8/9/20 13:00,69.797,18.14
434,8/9/20 13:10,69.801,18.616
435,8/9/20 13:20,69.8,18.901
436,8/9/20 13:30,69.797,18.806
437,8/9/20 13:40,69.788,18.806
438,8/9/20 13:50,69.769,18.806
439,8/9/20 14:00,69.778,18.806
440,8/9/20 14:10,69.779,19.187
441,8/9/20 14:20,69.755,19.662
442,8/9/20 14:30,69.761,20.234
443,8/9/20 14:40,69.745,20.329
444,8/9/20 14:50,69.742,20.234
445,8/9/20 15:00,69.733,20.234
446,8/9/20 15:10,69.728,20.043
447,8/9/20 15:20,69.728,19.377
448,8/9/20 15:30,69.712,18.806
