sample,datetime,wtemp_a_1,wtrhgt__2,wtrhgt__3,formatted_datetime
5474,7/16/21 14:40,6.9,124,125,7/16/21 14:40
5475,7/16/21 14:50,6.9,125,125,7/16/21 14:50
5476,7/16/21 15:00,6.9,125,125,7/16/21 15:00
5477,7/16/21 15:10,6.9,125,125,7/16/21 15:10
5478,7/16/21 15:20,6.8,125,125,7/16/21 15:20
5479,7/16/21 15:30,6.8,125,125,7/16/21 15:30
5480,7/16/21 15:40,6.8,125,125,7/16/21 15:40
5481,7/16/21 15:50,6.7,125,125,7/16/21 15:50
5482,7/16/21 16:00,6.7,125,125,7/16/21 16:00
5483,7/16/21 16:10,6.7,125,125,7/16/21 16:10
5484,7/16/21 16:20,6.7,125,125,7/16/21 16:20
5485,7/16/21 16:30,6.7,125,125,7/16/21 16:30
5486,7/16/21 16:40,6.7,125,125,7/16/21 16:40
5487,7/16/21 16:50,6.7,125,125,7/16/21 16:50
5488,7/16/21 17:00,6.7,125,125,7/16/21 17:00
5489,7/16/21 17:10,6.7,125,125,7/16/21 17:10
5490,7/16/21 17:20,6.7,125,125,7/16/21 17:20
5491,7/16/21 17:30,6.7,124,125,7/16/21 17:30
5492,7/16/21 17:40,6.7,125,125,7/16/21 17:40
5493,7/16/21 17:50,6.6,125,125,7/16/21 17:50
5494,7/16/21 18:00,6.6,125,125,7/16/21 18:00
5495,7/16/21 18:10,6.6,125,125,7/16/21 18:10
5496,7/16/21 18:20,6.6,125,125,7/16/21 18:20
5497,7/16/21 18:30,6.5,125,125,7/16/21 18:30
5498,7/16/21 18:40,6.5,125,125,7/16/21 18:40
5499,7/16/21 18:50,6.5,125,125,7/16/21 18:50
5500,7/16/21 19:00,6.5,125,125,7/16/21 19:00
5501,7/16/21 19:10,6.5,125,125,7/16/21 19:10
5502,7/16/21 19:20,6.5,125,125,7/16/21 19:20
5503,7/16/21 19:30,6.4,125,125,7/16/21 19:30
5504,7/16/21 19:40,6.4,125,125,7/16/21 19:40
5505,7/16/21 19:50,6.3,125,125,7/16/21 19:50
5506,7/16/21 20:00,6.3,125,125,7/16/21 20:00
5507,7/16/21 20:10,6.3,125,125,7/16/21 20:10
5508,7/16/21 20:20,6.2,125,125,7/16/21 20:20
5509,7/16/21 20:30,6.2,125,125,7/16/21 20:30
5510,7/16/21 20:40,6.1,125,125,7/16/21 20:40
5511,7/16/21 20:50,6.1,125,125,7/16/21 20:50
5512,7/16/21 21:00,6.1,125,125,7/16/21 21:00
5513,7/16/21 21:10,6,125,125,7/16/21 21:10
5514,7/16/21 21:20,6,125,125,7/16/21 21:20
5515,7/16/21 21:30,6,125,125,7/16/21 21:30
5516,7/16/21 21:40,6,125,125,7/16/21 21:40
5517,7/16/21 21:50,6,125,125,7/16/21 21:50
5518,7/16/21 22:00,6,125,125,7/16/21 22:00
5519,7/16/21 22:10,5.9,125,125,7/16/21 22:10
5520,7/16/21 22:20,5.9,125,125,7/16/21 22:20
5521,7/16/21 22:30,5.9,125,125,7/16/21 22:30
5522,7/16/21 22:40,5.9,125,125,7/16/21 22:40
5523,7/16/21 22:50,5.9,125,125,7/16/21 22:50
5524,7/16/21 23:00,5.8,125,125,7/16/21 23:00
5525,7/16/21 23:10,5.8,125,125,7/16/21 23:10
5526,7/16/21 23:20,5.8,125,125,7/16/21 23:20
5527,7/16/21 23:30,5.8,125,125,7/16/21 23:30
5528,7/16/21 23:40,5.8,125,125,7/16/21 23:40
5529,7/16/21 23:50,5.7,125,125,7/16/21 23:50
5530,7/17/21 0:00,5.7,125,125,7/17/21 0:00
5531,7/17/21 0:10,5.6,125,125,7/17/21 0:10
5532,7/17/21 0:20,5.6,125,125,7/17/21 0:20
5533,7/17/21 0:30,5.6,125,125,7/17/21 0:30
5534,7/17/21 0:40,5.6,125,125,7/17/21 0:40
5535,7/17/21 0:50,5.6,125,125,7/17/21 0:50
5536,7/17/21 1:00,5.5,125,125,7/17/21 1:00
5537,7/17/21 1:10,5.5,125,125,7/17/21 1:10
5538,7/17/21 1:20,5.5,125,125,7/17/21 1:20
5539,7/17/21 1:30,5.4,125,125,7/17/21 1:30
5540,7/17/21 1:40,5.4,125,125,7/17/21 1:40
5541,7/17/21 1:50,5.4,125,125,7/17/21 1:50
5542,7/17/21 2:00,5.3,125,125,7/17/21 2:00
5543,7/17/21 2:10,5.3,125,125,7/17/21 2:10
5544,7/17/21 2:20,5.3,125,125,7/17/21 2:20
5545,7/17/21 2:30,5.3,125,125,7/17/21 2:30
5546,7/17/21 2:40,5.2,125,125,7/17/21 2:40
5547,7/17/21 2:50,5.2,125,125,7/17/21 2:50
5548,7/17/21 3:00,5.2,125,125,7/17/21 3:00
5549,7/17/21 3:10,5.2,125,125,7/17/21 3:10
5550,7/17/21 3:20,5.2,125,125,7/17/21 3:20
5551,7/17/21 3:30,5.2,125,125,7/17/21 3:30
5552,7/17/21 3:40,5.2,125,125,7/17/21 3:40
5553,7/17/21 3:50,5.2,125,125,7/17/21 3:50
5554,7/17/21 4:00,5.2,125,125,7/17/21 4:00
5555,7/17/21 4:10,5.2,125,125,7/17/21 4:10
5556,7/17/21 4:20,5.1,125,125,7/17/21 4:20
5557,7/17/21 4:30,5.1,125,125,7/17/21 4:30
5558,7/17/21 4:40,5.1,125,125,7/17/21 4:40
5559,7/17/21 4:50,5.1,125,125,7/17/21 4:50
5560,7/17/21 5:00,5.1,125,125,7/17/21 5:00
5561,7/17/21 5:10,5.1,125,125,7/17/21 5:10
5562,7/17/21 5:20,5.1,125,125,7/17/21 5:20
5563,7/17/21 5:30,5.1,125,125,7/17/21 5:30
5564,7/17/21 5:40,5,125,125,7/17/21 5:40
5565,7/17/21 5:50,5,125,125,7/17/21 5:50
5566,7/17/21 6:00,5,125,125,7/17/21 6:00
5567,7/17/21 6:10,5,125,125,7/17/21 6:10
5568,7/17/21 6:20,5,125,125,7/17/21 6:20
5569,7/17/21 6:30,5,125,125,7/17/21 6:30
5570,7/17/21 6:40,4.9,125,125,7/17/21 6:40
5571,7/17/21 6:50,4.9,125,125,7/17/21 6:50
5572,7/17/21 7:00,4.9,125,125,7/17/21 7:00
5573,7/17/21 7:10,4.9,125,125,7/17/21 7:10
5574,7/17/21 7:20,4.9,125,125,7/17/21 7:20
5575,7/17/21 7:30,4.9,125,125,7/17/21 7:30
5576,7/17/21 7:40,4.9,125,125,7/17/21 7:40
5577,7/17/21 7:50,4.9,125,125,7/17/21 7:50
5578,7/17/21 8:00,5,125,125,7/17/21 8:00
5579,7/17/21 8:10,5,125,125,7/17/21 8:10
5580,7/17/21 8:20,5,125,125,7/17/21 8:20
5581,7/17/21 8:30,5,125,125,7/17/21 8:30
5582,7/17/21 8:40,5,125,125,7/17/21 8:40
5583,7/17/21 8:50,5.1,125,125,7/17/21 8:50
5584,7/17/21 9:00,5.1,125,125,7/17/21 9:00
5585,7/17/21 9:10,5.1,125,125,7/17/21 9:10
5586,7/17/21 9:20,5.1,125,125,7/17/21 9:20
5587,7/17/21 9:30,5.2,125,125,7/17/21 9:30
5588,7/17/21 9:40,5.2,125,125,7/17/21 9:40
5589,7/17/21 9:50,5.3,125,125,7/17/21 9:50
5590,7/17/21 10:00,5.3,125,125,7/17/21 10:00
5591,7/17/21 10:10,5.4,124,124,7/17/21 10:10
5592,7/17/21 10:20,5.5,124,124,7/17/21 10:20
5593,7/17/21 10:30,5.6,124,124,7/17/21 10:30
5594,7/17/21 10:40,5.7,124,124,7/17/21 10:40
5595,7/17/21 10:50,5.7,124,124,7/17/21 10:50
5596,7/17/21 11:00,5.9,124,124,7/17/21 11:00
5597,7/17/21 11:10,6,124,124,7/17/21 11:10
5598,7/17/21 11:20,6.1,124,124,7/17/21 11:20
5599,7/17/21 11:30,6.3,124,124,7/17/21 11:30
5600,7/17/21 11:40,6.3,124,124,7/17/21 11:40
5601,7/17/21 11:50,6.2,124,124,7/17/21 11:50
5602,7/17/21 12:00,6.2,124,124,7/17/21 12:00
5603,7/17/21 12:10,6.3,124,124,7/17/21 12:10
5604,7/17/21 12:20,6.3,124,124,7/17/21 12:20
5605,7/17/21 12:30,6.3,124,124,7/17/21 12:30
