Device Name:,,OM-CP-VOLT101A
Device Description:,,Voltage Data Logger
Serial Number:,,R37137
Device ID:,,MultiChannel
,,
,,Channel 1
Date,Time,Voltage (V)
5/31/22,18:11:12,0.0171
5/31/22,18:21:12,0.0171
5/31/22,18:31:12,0.0166
5/31/22,18:41:12,0.0162
5/31/22,18:51:12,0.015
5/31/22,19:01:12,0.017
5/31/22,19:11:12,0.017
5/31/22,19:21:12,0.017
5/31/22,19:31:12,0.0174
5/31/22,19:41:12,0.0172
5/31/22,19:51:12,0.0172
5/31/22,20:01:12,0.0171
5/31/22,20:11:12,0.0177
5/31/22,20:21:12,0.0171
5/31/22,20:31:12,0.017
5/31/22,20:41:12,0.0167
5/31/22,20:51:12,0.017
5/31/22,21:01:12,0.0161
5/31/22,21:11:12,0.0165
5/31/22,21:21:12,0.0168
5/31/22,21:31:12,0.0167
5/31/22,21:41:12,0.0161
5/31/22,21:51:12,0.0167
5/31/22,22:01:12,0.0165
5/31/22,22:11:12,0.0168
5/31/22,22:21:12,0.0167
5/31/22,22:31:12,0.0157
5/31/22,22:41:12,0.0166
5/31/22,22:51:12,0.0171
5/31/22,23:01:12,0.0186
5/31/22,23:11:12,0.0185
5/31/22,23:21:12,0.0175
5/31/22,23:31:12,0.017
5/31/22,23:41:12,0.0172
5/31/22,23:51:12,0.0174
6/1/22,0:01:12,0.0195
6/1/22,0:11:12,0.0187
6/1/22,0:21:12,0.0172
6/1/22,0:31:12,0.0146
6/1/22,0:41:12,0.0141
6/1/22,0:51:12,0.0157
6/1/22,1:01:12,0.0159
6/1/22,1:11:12,0.0168
6/1/22,1:21:12,0.0184
6/1/22,1:31:12,0.018
6/1/22,1:41:12,0.0171
6/1/22,1:51:12,0.0188
6/1/22,2:01:12,0.0194
6/1/22,2:11:12,0.0187
6/1/22,2:21:12,0.0168
6/1/22,2:31:12,0.0166
6/1/22,2:41:12,0.0167
6/1/22,2:51:12,0.0164
6/1/22,3:01:12,0.015
6/1/22,3:11:12,0.0142
6/1/22,3:21:12,0.0167
6/1/22,3:31:12,0.0188
6/1/22,3:41:12,0.0156
6/1/22,3:51:12,0.015
6/1/22,4:01:12,0.0168
6/1/22,4:11:12,0.0191
6/1/22,4:21:12,0.0193
6/1/22,4:31:12,0.0171
6/1/22,4:41:12,0.0168
6/1/22,4:51:12,0.0159
6/1/22,5:01:12,0.0147
6/1/22,5:11:12,0.0141
6/1/22,5:21:12,0.0168
6/1/22,5:31:12,0.0166
6/1/22,5:41:12,0.0155
6/1/22,5:51:12,0.0148
6/1/22,6:01:12,0.0157
6/1/22,6:11:12,0.017
6/1/22,6:21:12,0.0174
6/1/22,6:31:12,0.0174
6/1/22,6:41:12,0.0172
6/1/22,6:51:12,0.0195
6/1/22,7:01:12,0.0166
6/1/22,7:11:12,0.0151
6/1/22,7:21:12,0.0168
6/1/22,7:31:12,0.0185
6/1/22,7:41:12,0.0183
6/1/22,7:51:12,0.0194
6/1/22,8:01:12,0.0166
6/1/22,8:11:12,0.0161
6/1/22,8:21:12,0.0168
6/1/22,8:31:12,0.0167
6/1/22,8:41:12,0.0166
6/1/22,8:51:12,0.016
6/1/22,9:01:12,0.0163
6/1/22,9:11:12,0.0166
6/1/22,9:21:12,0.0167
6/1/22,9:31:12,0.0187
6/1/22,9:41:12,0.0167
6/1/22,9:51:12,0.0155
6/1/22,10:01:12,0.0165
6/1/22,10:11:12,0.0166
6/1/22,10:21:12,0.017
6/1/22,10:31:12,0.0175
6/1/22,10:41:12,0.0179
6/1/22,10:51:12,0.019
6/1/22,11:01:12,0.018
6/1/22,11:11:12,0.0167
6/1/22,11:21:12,0.0166
6/1/22,11:31:12,0.0149
6/1/22,11:41:12,0.0167
6/1/22,11:51:12,0.0183
6/1/22,12:01:12,0.0159
6/1/22,12:11:12,0.014
6/1/22,12:21:12,0.0145
6/1/22,12:31:12,0.015
6/1/22,12:41:12,0.0166
6/1/22,12:51:12,0.0143
6/1/22,13:01:12,0.0146
6/1/22,13:11:12,0.0174
6/1/22,13:21:12,0.0171
6/1/22,13:31:12,0.0145
6/1/22,13:41:12,0.0196
6/1/22,13:51:12,0.0148
6/1/22,14:01:12,0.0172
6/1/22,14:11:12,0.0171
6/1/22,14:21:12,0.0159
6/1/22,14:31:12,0.017
6/1/22,14:41:12,0.0155
6/1/22,14:51:12,0.0175
6/1/22,15:01:12,0.0148
6/1/22,15:11:12,0.0182
6/1/22,15:21:12,0.015
6/1/22,15:31:12,0.0197
6/1/22,15:41:12,0.0143
6/1/22,15:51:12,0.0193
6/1/22,16:01:12,0.0146
6/1/22,16:11:12,0.0189
6/1/22,16:21:12,0.0158
6/1/22,16:31:12,0.0161
6/1/22,16:41:12,0.0171
6/1/22,16:51:12,0.0155
6/1/22,17:01:12,0.0186
6/1/22,17:11:12,0.017
6/1/22,17:21:12,0.0153
6/1/22,17:31:12,0.0153
6/1/22,17:41:12,0.0171
6/1/22,17:51:12,0.0173
6/1/22,18:01:12,0.0173
6/1/22,18:11:12,0.0172
6/1/22,18:21:12,0.0177
6/1/22,18:31:12,0.0173
6/1/22,18:41:12,0.0172
6/1/22,18:51:12,0.0192
6/1/22,19:01:12,0.0176
6/1/22,19:11:12,0.0173
6/1/22,19:21:12,0.015
6/1/22,19:31:12,0.0174
6/1/22,19:41:12,0.0197
6/1/22,19:51:12,0.02
6/1/22,20:01:12,0.0199
6/1/22,20:11:12,0.0178
6/1/22,20:21:12,0.0172
6/1/22,20:31:12,0.0147
6/1/22,20:41:12,0.0145
6/1/22,20:51:12,0.0154
6/1/22,21:01:12,0.0173
6/1/22,21:11:12,0.0177
6/1/22,21:21:12,0.019
6/1/22,21:31:12,0.0167
6/1/22,21:41:12,0.0155
6/1/22,21:51:12,0.0143
6/1/22,22:01:12,0.0152
6/1/22,22:11:12,0.0157
6/1/22,22:21:12,0.0153
6/1/22,22:31:12,0.0155
6/1/22,22:41:12,0.0158
6/1/22,22:51:12,0.0171
6/1/22,23:01:12,0.0188
6/1/22,23:11:12,0.0192
6/1/22,23:21:12,0.019
6/1/22,23:31:12,0.0183
6/1/22,23:41:12,0.0197
6/1/22,23:51:12,0.0173
6/2/22,0:01:12,0.0163
6/2/22,0:11:12,0.0168
6/2/22,0:21:12,0.0197
6/2/22,0:31:12,0.0191
6/2/22,0:41:12,0.0182
6/2/22,0:51:12,0.0174
6/2/22,1:01:12,0.0159
6/2/22,1:11:12,0.0157
6/2/22,1:21:12,0.0143
6/2/22,1:31:12,0.0156
6/2/22,1:41:12,0.0197
6/2/22,1:51:12,0.0174
6/2/22,2:01:12,0.0168
6/2/22,2:11:12,0.0167
6/2/22,2:21:12,0.0191
6/2/22,2:31:12,0.0173
6/2/22,2:41:12,0.0159
6/2/22,2:51:12,0.016
6/2/22,3:01:12,0.0167
6/2/22,3:11:12,0.017
6/2/22,3:21:12,0.0182
6/2/22,3:31:12,0.0179
6/2/22,3:41:12,0.0168
6/2/22,3:51:12,0.0164
6/2/22,4:01:12,0.0157
6/2/22,4:11:12,0.0163
6/2/22,4:21:12,0.0152
6/2/22,4:31:12,0.0161
6/2/22,4:41:12,0.0167
6/2/22,4:51:12,0.0152
6/2/22,5:01:12,0.0175
6/2/22,5:11:12,0.0197
6/2/22,5:21:12,0.0196
6/2/22,5:31:12,0.0197
6/2/22,5:41:12,0.0184
6/2/22,5:51:12,0.0185
6/2/22,6:01:12,0.0167
6/2/22,6:11:12,0.0161
6/2/22,6:21:12,0.0164
6/2/22,6:31:12,0.0185
6/2/22,6:41:12,0.0167
6/2/22,6:51:12,0.0158
6/2/22,7:01:12,0.017
6/2/22,7:11:12,0.0187
6/2/22,7:21:12,0.0194
6/2/22,7:31:12,0.0189
6/2/22,7:41:12,0.0171
6/2/22,7:51:12,0.0159
6/2/22,8:01:12,0.0146
6/2/22,8:11:12,0.0167
6/2/22,8:21:12,0.0172
6/2/22,8:31:12,0.0196
6/2/22,8:41:12,0.0197
6/2/22,8:51:12,0.0184
6/2/22,9:01:12,0.0173
6/2/22,9:11:12,0.0168
6/2/22,9:21:12,0.0148
6/2/22,9:31:12,0.0155
6/2/22,9:41:12,0.0185
6/2/22,9:51:12,0.019
6/2/22,10:01:12,0.0172
6/2/22,10:11:12,0.0157
6/2/22,10:21:12,0.0166
6/2/22,10:31:12,0.017
6/2/22,10:41:12,0.0172
6/2/22,10:51:12,0.0181
6/2/22,11:01:12,0.0181
6/2/22,11:11:12,0.0192
6/2/22,11:21:12,0.017
6/2/22,11:31:12,0.0166
6/2/22,11:41:12,0.0143
6/2/22,11:51:12,0.0163
6/2/22,12:01:12,0.0175
6/2/22,12:11:12,0.0174
6/2/22,12:21:12,0.015
6/2/22,12:31:12,0.0175
6/2/22,12:41:12,0.0179
6/2/22,12:51:12,0.0199
6/2/22,13:01:12,0.0203
6/2/22,13:11:12,0.0173
6/2/22,13:21:12,0.0173
6/2/22,13:31:12,0.0145
6/2/22,13:41:12,0.019
6/2/22,13:51:12,0.0168
6/2/22,14:01:12,0.0161
6/2/22,14:11:12,0.014
6/2/22,14:21:12,0.0141
6/2/22,14:31:12,0.0163
6/2/22,14:41:12,0.019
6/2/22,14:51:12,0.0152
6/2/22,15:01:12,0.0166
6/2/22,15:11:12,0.0175
6/2/22,15:21:12,0.0142
6/2/22,15:31:12,0.0173
6/2/22,15:41:12,0.0181
6/2/22,15:51:12,0.0163
6/2/22,16:01:12,0.017
6/2/22,16:11:12,0.0164
6/2/22,16:21:12,0.0168
6/2/22,16:31:12,0.0137
6/2/22,16:41:12,0.0184
6/2/22,16:51:12,0.0165
6/2/22,17:01:12,0.0179
6/2/22,17:11:12,0.017
6/2/22,17:21:12,0.0172
6/2/22,17:31:12,0.017
6/2/22,17:41:12,0.0139
6/2/22,17:51:12,0.0201
6/2/22,18:01:12,0.0149
6/2/22,18:11:12,0.0179
6/2/22,18:21:12,0.0172
6/2/22,18:31:12,0.0171
6/2/22,18:41:12,0.0192
6/2/22,18:51:12,0.0153
6/2/22,19:01:12,0.0196
6/2/22,19:11:12,0.0162
6/2/22,19:21:12,0.0175
6/2/22,19:31:12,0.0172
6/2/22,19:41:12,0.0199
6/2/22,19:51:12,0.0147
6/2/22,20:01:12,0.0176
6/2/22,20:11:12,0.0175
6/2/22,20:21:12,0.0164
6/2/22,20:31:12,0.0179
6/2/22,20:41:12,0.0159
6/2/22,20:51:12,0.0194
6/2/22,21:01:12,0.0175
6/2/22,21:11:12,0.0171
6/2/22,21:21:12,0.0188
6/2/22,21:31:12,0.0157
6/2/22,21:41:12,0.0191
6/2/22,21:51:12,0.0174
6/2/22,22:01:12,0.0173
6/2/22,22:11:12,0.0145
6/2/22,22:21:12,0.0164
6/2/22,22:31:12,0.0172
6/2/22,22:41:12,0.017
6/2/22,22:51:12,0.0172
6/2/22,23:01:12,0.0173
6/2/22,23:11:12,0.0177
6/2/22,23:21:12,0.0179
6/2/22,23:31:12,0.0175
6/2/22,23:41:12,0.0172
6/2/22,23:51:12,0.017
6/3/22,0:01:12,0.0171
6/3/22,0:11:12,0.0173
6/3/22,0:21:12,0.0144
6/3/22,0:31:12,0.016
6/3/22,0:41:12,0.0151
6/3/22,0:51:12,0.0172
