sample,datetime,wtemp_a_1,ltemp_a_2,wtrhgt__3,wtrhgt__4,batt_mi_5
96,04/29/2021 23:50:00,0.5,-0.2,-33,-33,3.99
97,04/30/2021 00:00:00,0.5,-0.2,-34,-33,3.99
98,04/30/2021 00:10:00,0.5,-0.2,-34,-34,3.99
99,04/30/2021 00:20:00,0.5,-0.2,-36,-35,3.99
100,04/30/2021 00:30:00,0.5,-0.6,-36,-36,3.99
101,04/30/2021 00:40:00,0.5,-0.6,-37,-37,3.99
102,04/30/2021 00:50:00,0.5,-0.6,-38,-38,3.99
103,04/30/2021 01:00:00,0.5,-0.6,-39,-39,3.99
104,04/30/2021 01:10:00,0.5,-0.6,-40,-40,3.99
105,04/30/2021 01:20:00,0.5,-0.6,-41,-41,3.99
106,04/30/2021 01:30:00,0.5,-0.9,-42,-42,3.99
107,04/30/2021 01:40:00,0.5,-0.9,-43,-42,3.99
108,04/30/2021 01:50:00,0.5,-0.9,-44,-43,3.99
109,04/30/2021 02:00:00,0.5,-0.9,-44,-44,3.99
110,04/30/2021 02:10:00,0.5,-0.9,-45,-45,3.99
111,04/30/2021 02:20:00,0.5,-0.9,-46,-46,3.99
112,04/30/2021 02:30:00,0.5,-1.3,-46,-46,3.99
113,04/30/2021 02:40:00,0.5,-1.3,-46,-46,3.99
114,04/30/2021 02:50:00,0.5,-1.3,-46,-46,3.99
115,04/30/2021 03:00:00,0.5,-1.3,-47,-47,3.99
116,04/30/2021 03:10:00,0.5,-1.3,-47,-47,3.99
117,04/30/2021 03:20:00,0.5,-1.3,-47,-47,3.99
118,04/30/2021 03:30:00,0.5,-1.3,-48,-47,3.99
119,04/30/2021 03:40:00,0.5,-1.6,-48,-48,3.99
120,04/30/2021 03:50:00,0.5,-1.6,-48,-48,3.99
121,04/30/2021 04:00:00,0.5,-1.6,-48,-48,3.99
122,04/30/2021 04:10:00,0.5,-1.6,-48,-48,3.99
123,04/30/2021 04:20:00,0.5,-1.6,-48,-48,3.99
124,04/30/2021 04:30:00,0.5,-1.6,-49,-48,3.99
125,04/30/2021 04:40:00,0.5,-1.6,-48,-48,3.99
126,04/30/2021 04:50:00,0.5,-1.6,-49,-49,3.99
127,04/30/2021 05:00:00,0.5,-1.6,-49,-49,3.99
128,04/30/2021 05:10:00,0.5,-2.0,-49,-49,3.99
129,04/30/2021 05:20:00,0.5,-2.0,-49,-49,3.99
130,04/30/2021 05:30:00,0.5,-2.0,-49,-49,3.99
131,04/30/2021 05:40:00,0.5,-2.0,-49,-49,3.99
132,04/30/2021 05:50:00,0.5,-2.0,-49,-49,3.99
133,04/30/2021 06:00:00,0.5,-2.0,-49,-49,3.99
134,04/30/2021 06:10:00,0.5,-2.0,-49,-49,3.99
135,04/30/2021 06:20:00,0.5,-2.0,-49,-49,3.99
136,04/30/2021 06:30:00,0.5,-2.0,-49,-49,3.99
137,04/30/2021 06:40:00,0.5,-2.0,-49,-49,3.99
138,04/30/2021 06:50:00,0.5,-2.0,-49,-49,3.99
139,04/30/2021 07:00:00,0.5,-2.0,-49,-49,3.99
140,04/30/2021 07:10:00,0.5,-2.0,-49,-49,3.99
141,04/30/2021 07:20:00,0.5,-2.0,-50,-50,3.99
142,04/30/2021 07:30:00,0.5,-2.0,-50,-50,3.99
143,04/30/2021 07:40:00,0.5,-1.6,-50,-50,3.99
144,04/30/2021 07:50:00,0.5,-1.6,-50,-50,3.99
145,04/30/2021 08:00:00,0.5,-1.6,-49,-49,3.99
146,04/30/2021 08:10:00,0.5,-1.3,-49,-49,3.99
147,04/30/2021 08:20:00,0.5,-1.3,-49,-49,3.99
148,04/30/2021 08:30:00,0.5,-0.9,-49,-49,3.99
149,04/30/2021 08:40:00,0.5,-0.9,-49,-49,3.99
150,04/30/2021 08:50:00,0.5,-0.6,-49,-49,3.99
151,04/30/2021 09:00:00,0.5,-0.6,-49,-49,3.99
152,04/30/2021 09:10:00,0.5,-0.2,-49,-49,3.99
153,04/30/2021 09:20:00,0.5,0.1,-49,-49,3.99
154,04/30/2021 09:30:00,0.5,0.1,-49,-49,3.99
155,04/30/2021 09:40:00,0.5,0.5,-49,-49,3.99
156,04/30/2021 09:50:00,0.5,0.5,-49,-49,3.99
157,04/30/2021 10:00:00,0.5,0.8,-50,-50,3.99
158,04/30/2021 10:10:00,0.5,0.8,-50,-50,3.99
159,04/30/2021 10:20:00,0.5,1.5,-50,-50,3.99
160,04/30/2021 10:30:00,0.5,1.9,-49,-49,3.99
161,04/30/2021 10:40:00,0.5,2.2,-49,-49,3.99
162,04/30/2021 10:50:00,0.5,2.9,-49,-49,3.99
163,04/30/2021 11:00:00,0.5,2.9,-49,-49,3.99
164,04/30/2021 11:10:00,0.5,3.2,-49,-49,3.99
165,04/30/2021 11:20:00,0.5,3.2,-50,-50,3.99
166,04/30/2021 11:30:00,0.5,3.5,-50,-50,3.99
167,04/30/2021 11:40:00,0.5,3.5,-50,-50,3.99
168,04/30/2021 11:50:00,0.5,3.9,-50,-50,3.99
169,04/30/2021 12:00:00,0.5,3.9,-50,-50,3.99
170,04/30/2021 12:10:00,0.5,4.2,-50,-50,3.99
171,04/30/2021 12:20:00,0.5,4.6,-49,-49,3.99
172,04/30/2021 12:30:00,0.5,4.9,-49,-49,3.99
173,04/30/2021 12:40:00,0.5,5.6,-49,-50,3.99
174,04/30/2021 12:50:00,0.5,6.2,-50,-50,3.99
175,04/30/2021 13:00:00,0.5,7.2,-50,-50,3.99
176,04/30/2021 13:10:00,0.5,7.5,-50,-50,3.99
177,04/30/2021 13:20:00,0.5,7.2,-50,-50,3.99
178,04/30/2021 13:30:00,0.5,6.9,-50,-50,3.99
179,04/30/2021 13:40:00,0.5,6.5,-50,-50,3.99
180,04/30/2021 13:50:00,0.5,6.2,-50,-50,3.99
181,04/30/2021 14:00:00,0.5,6.2,-50,-50,3.99
182,04/30/2021 14:10:00,0.5,6.9,-50,-50,3.99
183,04/30/2021 14:20:00,0.5,7.9,-49,-50,3.99
184,04/30/2021 14:30:00,0.5,8.5,-50,-50,3.99
185,04/30/2021 14:40:00,0.5,8.9,-50,-50,3.99
186,04/30/2021 14:50:00,0.5,9.8,-50,-50,3.99
187,04/30/2021 15:00:00,0.5,11.5,-50,-50,3.99
188,04/30/2021 15:10:00,0.5,13.1,-50,-50,3.99
189,04/30/2021 15:20:00,0.5,13.5,-50,-50,3.99
190,04/30/2021 15:30:00,0.5,15.1,-50,-50,3.99
191,04/30/2021 15:40:00,0.5,16.5,-50,-50,4.03
192,04/30/2021 15:50:00,0.5,16.1,-50,-50,3.99
193,04/30/2021 16:00:00,0.5,14.1,-50,-50,3.99
194,04/30/2021 16:10:00,0.5,12.5,-50,-50,3.99
195,04/30/2021 16:20:00,0.5,11.2,-50,-50,3.99
196,04/30/2021 16:30:00,0.5,11.2,-50,-50,3.99
197,04/30/2021 16:40:00,0.5,12.5,-49,-50,3.99
198,04/30/2021 16:50:00,0.5,15.5,-50,-50,3.99
199,04/30/2021 17:00:00,0.5,18.8,-50,-50,4.03
200,04/30/2021 17:10:00,0.5,21.3,-49,-50,4.03
201,04/30/2021 17:20:00,0.5,21.3,-18,-30,4.03
202,04/30/2021 17:30:00,0.5,19.2,-5,-11,3.99
203,04/30/2021 17:40:00,0.5,16.5,1,-1,3.99
204,04/30/2021 17:50:00,0.5,14.1,4,2,3.99
205,04/30/2021 18:00:00,0.5,12.1,6,5,3.99
206,04/30/2021 18:10:00,0.5,10.5,6,6,3.99
207,04/30/2021 18:20:00,0.5,8.9,7,7,3.99
208,04/30/2021 18:30:00,0.5,7.5,7,7,3.99
209,04/30/2021 18:40:00,0.5,6.2,6,6,3.99
210,04/30/2021 18:50:00,0.5,6.2,6,7,3.99
211,04/30/2021 19:00:00,0.5,5.9,6,6,3.99
212,04/30/2021 19:10:00,0.5,5.2,6,6,3.99
213,04/30/2021 19:20:00,0.5,4.6,5,5,3.99
214,04/30/2021 19:30:00,0.5,3.9,4,4,3.99
215,04/30/2021 19:40:00,0.5,3.2,3,3,3.99
216,04/30/2021 19:50:00,0.5,2.5,3,3,3.99
217,04/30/2021 20:00:00,0.5,2.2,2,2,3.99
218,04/30/2021 20:10:00,0.5,1.9,1,2,3.99
219,04/30/2021 20:20:00,0.5,1.5,1,1,3.99
220,04/30/2021 20:30:00,0.5,1.2,0,0,3.99
221,04/30/2021 20:40:00,0.5,0.8,-1,0,3.99
222,04/30/2021 20:50:00,0.5,0.8,-1,-1,3.99
223,04/30/2021 21:00:00,0.5,0.8,-2,-1,3.99
224,04/30/2021 21:10:00,0.5,0.5,-2,-2,3.99
225,04/30/2021 21:20:00,0.5,0.5,-3,-3,3.99
226,04/30/2021 21:30:00,0.5,0.5,-4,-3,3.99
227,04/30/2021 21:40:00,0.5,0.5,-4,-4,3.99
228,04/30/2021 21:50:00,0.5,0.1,-5,-4,3.99
229,04/30/2021 22:00:00,0.5,0.1,-5,-5,3.99
230,04/30/2021 22:10:00,0.5,0.1,-6,-6,3.99
231,04/30/2021 22:20:00,0.5,0.1,-6,-6,3.99
232,04/30/2021 22:30:00,0.5,0.1,-7,-7,3.99
233,04/30/2021 22:40:00,0.5,0.1,-8,-7,3.99
234,04/30/2021 22:50:00,0.5,0.1,-8,-8,3.99
235,04/30/2021 23:00:00,0.5,0.1,-9,-9,3.99
236,04/30/2021 23:10:00,0.5,0.1,-10,-9,3.99
237,04/30/2021 23:20:00,0.5,0.1,-10,-10,3.99
238,04/30/2021 23:30:00,0.5,0.1,-11,-11,3.99
239,04/30/2021 23:40:00,0.5,-0.2,-12,-11,3.99
240,04/30/2021 23:50:00,0.5,-0.2,-12,-12,3.99
241,05/01/2021 00:00:00,0.5,-0.2,-13,-13,3.99
242,05/01/2021 00:10:00,0.5,-0.2,-14,-13,3.99
243,05/01/2021 00:20:00,0.5,-0.2,-14,-14,3.99
244,05/01/2021 00:30:00,0.5,-0.2,-15,-15,3.99
245,05/01/2021 00:40:00,0.5,-0.2,-16,-15,3.99
246,05/01/2021 00:50:00,0.5,-0.2,-16,-16,3.99
247,05/01/2021 01:00:00,0.5,-0.2,-17,-17,3.99
248,05/01/2021 01:10:00,0.5,-0.2,-18,-17,3.99
249,05/01/2021 01:20:00,0.5,-0.2,-18,-18,3.99
250,05/01/2021 01:30:00,0.5,-0.2,-19,-18,3.99
251,05/01/2021 01:40:00,0.5,-0.2,-19,-19,3.99
252,05/01/2021 01:50:00,0.5,-0.2,-20,-20,3.99
253,05/01/2021 02:00:00,0.5,-0.2,-20,-20,3.99
254,05/01/2021 02:10:00,0.5,-0.2,-21,-21,3.99
255,05/01/2021 02:20:00,0.5,-0.2,-21,-21,3.99
256,05/01/2021 02:30:00,0.5,-0.2,-22,-22,3.99
257,05/01/2021 02:40:00,0.5,-0.2,-23,-22,3.99
258,05/01/2021 02:50:00,0.5,-0.2,-23,-23,3.99
259,05/01/2021 03:00:00,0.5,-0.2,-24,-24,3.99
260,05/01/2021 03:10:00,0.5,-0.2,-24,-24,3.99
261,05/01/2021 03:20:00,0.5,-0.2,-25,-25,3.99
262,05/01/2021 03:30:00,0.5,-0.6,-26,-25,3.99
263,05/01/2021 03:40:00,0.5,-0.6,-26,-26,3.99
264,05/01/2021 03:50:00,0.5,-0.6,-27,-27,3.99
265,05/01/2021 04:00:00,0.5,-0.6,-27,-27,3.99
266,05/01/2021 04:10:00,0.5,-0.6,-28,-28,3.99
267,05/01/2021 04:20:00,0.5,-0.9,-29,-29,3.99
268,05/01/2021 04:30:00,0.5,-0.9,-29,-29,3.99
269,05/01/2021 04:40:00,0.5,-0.9,-30,-30,3.99
270,05/01/2021 04:50:00,0.5,-0.9,-30,-30,3.99
271,05/01/2021 05:00:00,0.5,-0.9,-31,-30,3.99
272,05/01/2021 05:10:00,0.5,-0.9,-31,-30,3.99
273,05/01/2021 05:20:00,0.5,-0.9,-31,-31,3.99
274,05/01/2021 05:30:00,0.5,-0.9,-31,-31,3.99
275,05/01/2021 05:40:00,0.5,-0.9,-31,-31,3.99
276,05/01/2021 05:50:00,0.5,-0.9,-31,-31,3.99
277,05/01/2021 06:00:00,0.5,-1.3,-31,-31,3.99
278,05/01/2021 06:10:00,0.5,-1.3,-31,-31,3.99
279,05/01/2021 06:20:00,0.5,-1.3,-31,-31,3.99
280,05/01/2021 06:30:00,0.5,-1.3,-31,-31,3.99
281,05/01/2021 06:40:00,0.5,-1.3,-32,-31,3.99
282,05/01/2021 06:50:00,0.5,-1.3,-32,-32,3.99
283,05/01/2021 07:00:00,0.5,-1.3,-33,-32,3.99
284,05/01/2021 07:10:00,0.5,-0.9,-33,-33,3.99
285,05/01/2021 07:20:00,0.5,-0.9,-34,-34,3.99
286,05/01/2021 07:30:00,0.5,-0.6,-35,-34,3.99
287,05/01/2021 07:40:00,0.5,-0.2,-35,-35,3.99
288,05/01/2021 07:50:00,0.5,-0.2,-36,-35,3.99
289,05/01/2021 08:00:00,0.5,0.1,-36,-36,3.99
290,05/01/2021 08:10:00,0.5,0.1,-37,-37,3.99
291,05/01/2021 08:20:00,0.5,0.5,-37,-37,3.99
292,05/01/2021 08:30:00,0.5,0.5,-38,-38,3.99
293,05/01/2021 08:40:00,0.5,0.5,-39,-38,3.99
294,05/01/2021 08:50:00,0.5,0.5,-39,-39,3.99
295,05/01/2021 09:00:00,0.5,0.8,-40,-39,3.99
296,05/01/2021 09:10:00,0.5,0.8,-40,-40,3.99
297,05/01/2021 09:20:00,0.5,1.2,-41,-40,3.99
298,05/01/2021 09:30:00,0.5,1.2,-41,-41,3.99
299,05/01/2021 09:40:00,0.5,1.2,-42,-42,3.99
300,05/01/2021 09:50:00,0.5,1.5,-42,-42,3.99
301,05/01/2021 10:00:00,0.5,1.5,-43,-43,3.99
302,05/01/2021 10:10:00,0.5,1.5,-44,-43,3.99
303,05/01/2021 10:20:00,0.5,1.9,-44,-44,3.99
304,05/01/2021 10:30:00,0.5,2.5,-45,-44,3.99
305,05/01/2021 10:40:00,0.5,2.9,-45,-45,3.99
306,05/01/2021 10:50:00,0.5,3.2,-45,-45,3.99
307,05/01/2021 11:00:00,0.5,3.5,-46,-46,3.99
308,05/01/2021 11:10:00,0.5,3.9,-46,-46,3.99
309,05/01/2021 11:20:00,0.5,4.2,-46,-46,3.99
310,05/01/2021 11:30:00,0.5,4.2,-46,-46,3.99
311,05/01/2021 11:40:00,0.5,4.6,-47,-47,3.99
312,05/01/2021 11:50:00,0.5,5.2,-47,-47,3.99
313,05/01/2021 12:00:00,0.5,5.6,-47,-47,3.99
314,05/01/2021 12:10:00,0.5,5.9,-47,-47,3.99
315,05/01/2021 12:20:00,0.5,6.5,-48,-47,3.99
316,05/01/2021 12:30:00,0.5,6.9,-48,-48,3.99
317,05/01/2021 12:40:00,0.5,7.2,-48,-48,3.99
318,05/01/2021 12:50:00,0.5,7.2,-48,-48,3.99
319,05/01/2021 13:00:00,0.5,7.5,-48,-48,3.99
320,05/01/2021 13:10:00,0.5,7.2,-48,-48,3.99
321,05/01/2021 13:20:00,0.5,7.2,-48,-48,3.99
322,05/01/2021 13:30:00,0.5,6.9,-48,-48,3.99
323,05/01/2021 13:40:00,0.5,6.9,-48,-48,3.99
324,05/01/2021 13:50:00,0.5,6.9,-48,-48,3.99
325,05/01/2021 14:00:00,0.5,7.2,-49,-48,3.99
326,05/01/2021 14:10:00,0.5,7.5,-49,-49,3.99
327,05/01/2021 14:20:00,0.5,7.9,-49,-49,3.99
328,05/01/2021 14:30:00,0.5,7.9,-49,-49,3.99
329,05/01/2021 14:40:00,0.5,8.5,-49,-49,3.99
330,05/01/2021 14:50:00,0.5,8.9,-49,-49,3.99
331,05/01/2021 15:00:00,0.5,9.2,-49,-49,3.99
332,05/01/2021 15:10:00,0.5,9.5,-49,-49,3.99
333,05/01/2021 15:20:00,0.5,9.5,-49,-49,3.99
334,05/01/2021 15:30:00,0.5,10.5,-49,-49,3.99
335,05/01/2021 15:40:00,0.5,10.8,-49,-49,3.99
336,05/01/2021 15:50:00,0.5,10.2,-49,-49,3.99
337,05/01/2021 16:00:00,0.5,9.5,-49,-49,3.99
338,05/01/2021 16:10:00,0.5,9.2,-49,-49,3.99
339,05/01/2021 16:20:00,0.5,8.9,-49,-49,3.99
