sample,datetime,wtemp_a_1,wtrhgt__2,wtrhgt__3
13399,06/08/2021 14:40:00,7.7,-50,-50
13400,06/08/2021 14:50:00,7.7,-50,-50
13401,06/08/2021 15:00:00,7.8,-49,-50
13402,06/08/2021 15:10:00,7.8,-50,-50
13403,06/08/2021 15:20:00,7.8,-50,-50
13404,06/08/2021 15:30:00,7.8,-50,-50
13405,06/08/2021 15:40:00,7.8,-50,-50
13406,06/08/2021 15:50:00,7.8,-50,-50
13407,06/08/2021 16:00:00,7.8,-50,-50
13408,06/08/2021 16:10:00,7.8,-50,-50
13409,06/08/2021 16:20:00,7.8,-50,-50
13410,06/08/2021 16:30:00,7.8,-50,-50
13411,06/08/2021 16:40:00,7.8,-49,-50
13412,06/08/2021 16:50:00,7.8,-50,-50
13413,06/08/2021 17:00:00,7.8,-50,-50
13414,06/08/2021 17:10:00,7.8,-50,-50
13415,06/08/2021 17:20:00,7.8,-50,-50
13416,06/08/2021 17:30:00,7.8,-50,-50
13417,06/08/2021 17:40:00,7.8,-50,-50
13418,06/08/2021 17:50:00,7.8,-50,-50
13419,06/08/2021 18:00:00,7.8,-50,-50
13420,06/08/2021 18:10:00,7.8,-50,-50
13421,06/08/2021 18:20:00,7.8,-50,-50
13422,06/08/2021 18:30:00,7.8,-50,-50
13423,06/08/2021 18:40:00,7.8,-50,-50
13424,06/08/2021 18:50:00,7.8,-50,-50
13425,06/08/2021 19:00:00,7.8,-50,-50
13426,06/08/2021 19:10:00,7.8,-50,-50
13427,06/08/2021 19:20:00,7.8,-50,-50
13428,06/08/2021 19:30:00,7.7,-50,-50
13429,06/08/2021 19:40:00,7.7,-50,-50
13430,06/08/2021 19:50:00,7.7,-49,-50
13431,06/08/2021 20:00:00,7.7,-50,-50
13432,06/08/2021 20:10:00,7.7,-50,-50
13433,06/08/2021 20:20:00,7.7,-50,-50
13434,06/08/2021 20:30:00,7.7,-50,-50
13435,06/08/2021 20:40:00,7.7,-50,-50
13436,06/08/2021 20:50:00,7.7,-50,-50
13437,06/08/2021 21:00:00,7.7,-50,-50
13438,06/08/2021 21:10:00,7.7,-50,-50
13439,06/08/2021 21:20:00,7.7,-50,-50
13440,06/08/2021 21:30:00,7.7,-49,-50
13441,06/08/2021 21:40:00,7.7,-49,-50
13442,06/08/2021 21:50:00,7.7,-49,-49
13443,06/08/2021 22:00:00,7.7,-50,-49
13444,06/08/2021 22:10:00,7.7,-49,-49
13445,06/08/2021 22:20:00,7.7,-49,-49
13446,06/08/2021 22:30:00,7.7,-49,-49
13447,06/08/2021 22:40:00,7.7,-49,-49
13448,06/08/2021 22:50:00,7.7,-49,-49
13449,06/08/2021 23:00:00,7.7,-49,-49
13450,06/08/2021 23:10:00,7.7,-49,-50
13451,06/08/2021 23:20:00,7.7,-49,-49
13452,06/08/2021 23:30:00,7.7,-49,-49
13453,06/08/2021 23:40:00,7.7,-49,-49
13454,06/08/2021 23:50:00,7.7,-49,-49
13455,07/08/2021 00:00:00,7.7,-49,-49
13456,07/08/2021 00:10:00,7.7,-50,-49
13457,07/08/2021 00:20:00,7.7,-50,-50
13458,07/08/2021 00:30:00,7.7,-50,-50
13459,07/08/2021 00:40:00,7.7,-50,-50
13460,07/08/2021 00:50:00,7.7,-50,-50
13461,07/08/2021 01:00:00,7.7,-50,-50
13462,07/08/2021 01:10:00,7.7,-49,-50
13463,07/08/2021 01:20:00,7.7,-49,-49
13464,07/08/2021 01:30:00,7.7,-49,-49
13465,07/08/2021 01:40:00,7.7,-49,-49
13466,07/08/2021 01:50:00,7.7,-49,-49
13467,07/08/2021 02:00:00,7.7,-49,-49
13468,07/08/2021 02:10:00,7.7,-49,-49
13469,07/08/2021 02:20:00,7.7,-49,-49
13470,07/08/2021 02:30:00,7.7,-49,-49
13471,07/08/2021 02:40:00,7.7,-49,-49
13472,07/08/2021 02:50:00,7.7,-49,-49
13473,07/08/2021 03:00:00,7.7,-49,-49
13474,07/08/2021 03:10:00,7.7,-49,-49
13475,07/08/2021 03:20:00,7.7,-49,-49
13476,07/08/2021 03:30:00,7.7,-49,-49
13477,07/08/2021 03:40:00,7.7,-49,-49
13478,07/08/2021 03:50:00,7.7,-49,-49
13479,07/08/2021 04:00:00,7.7,-49,-49
13480,07/08/2021 04:10:00,7.7,-49,-49
13481,07/08/2021 04:20:00,7.7,-49,-49
13482,07/08/2021 04:30:00,7.7,-49,-49
13483,07/08/2021 04:40:00,7.7,-49,-49
13484,07/08/2021 04:50:00,7.7,-49,-49
13485,07/08/2021 05:00:00,7.7,-49,-49
13486,07/08/2021 05:10:00,7.7,-49,-49
13487,07/08/2021 05:20:00,7.7,-49,-49
13488,07/08/2021 05:30:00,7.7,-49,-49
13489,07/08/2021 05:40:00,7.7,-49,-49
13490,07/08/2021 05:50:00,7.7,-49,-49
13491,07/08/2021 06:00:00,7.7,-49,-49
13492,07/08/2021 06:10:00,7.7,-49,-49
13493,07/08/2021 06:20:00,7.8,-49,-49
13494,07/08/2021 06:30:00,7.8,-49,-49
13495,07/08/2021 06:40:00,7.8,-49,-49
13496,07/08/2021 06:50:00,7.8,-49,-49
13497,07/08/2021 07:00:00,7.8,-49,-49
13498,07/08/2021 07:10:00,7.8,-49,-49
13499,07/08/2021 07:20:00,7.8,-49,-49
13500,07/08/2021 07:30:00,7.8,-49,-49
13501,07/08/2021 07:40:00,7.8,-49,-49
13502,07/08/2021 07:50:00,7.8,-49,-49
13503,07/08/2021 08:00:00,7.8,-49,-49
13504,07/08/2021 08:10:00,7.8,-49,-49
13505,07/08/2021 08:20:00,7.8,-49,-49
13506,07/08/2021 08:30:00,7.8,-49,-49
13507,07/08/2021 08:40:00,7.8,-49,-49
13508,07/08/2021 08:50:00,7.8,-49,-49
13509,07/08/2021 09:00:00,7.8,-49,-49
13510,07/08/2021 09:10:00,7.8,-49,-49
13511,07/08/2021 09:20:00,7.8,-49,-49
13512,07/08/2021 09:30:00,7.8,-49,-49
13513,07/08/2021 09:40:00,7.8,-49,-49
13514,07/08/2021 09:50:00,7.8,-49,-49
13515,07/08/2021 10:00:00,7.8,-49,-49
13516,07/08/2021 10:10:00,7.8,-49,-49
13517,07/08/2021 10:20:00,7.8,-50,-50
13518,07/08/2021 10:30:00,7.8,-50,-50
13519,07/08/2021 10:40:00,7.8,-50,-50
13520,07/08/2021 10:50:00,7.8,-49,-50
13521,07/08/2021 11:00:00,7.8,-49,-49
13522,07/08/2021 11:10:00,7.8,-50,-50
13523,07/08/2021 11:20:00,7.8,-50,-50
13524,07/08/2021 11:30:00,7.8,-50,-50
13525,07/08/2021 11:40:00,7.8,-50,-50
13526,07/08/2021 11:50:00,7.8,-49,-50
13527,07/08/2021 12:00:00,7.8,-50,-50
13528,07/08/2021 12:10:00,7.8,-49,-50
13529,07/08/2021 12:20:00,7.8,-49,-50
13530,07/08/2021 12:30:00,7.8,-49,-49
13531,07/08/2021 12:40:00,7.8,-49,-49
13532,07/08/2021 12:50:00,7.8,-50,-50
13533,07/08/2021 13:00:00,7.8,-50,-50
13534,07/08/2021 13:10:00,7.8,-50,-50
13535,07/08/2021 13:20:00,7.8,-50,-50
13536,07/08/2021 13:30:00,7.8,-50,-50
13537,07/08/2021 13:40:00,7.8,-50,-50
13538,07/08/2021 13:50:00,7.8,-50,-50
13539,07/08/2021 14:00:00,7.8,-50,-50
13540,07/08/2021 14:10:00,7.8,-50,-50
13541,07/08/2021 14:20:00,7.8,-50,-50
13542,07/08/2021 14:30:00,7.8,-50,-50
13543,07/08/2021 14:40:00,7.8,-50,-50
13544,07/08/2021 14:50:00,7.8,-50,-50
13545,07/08/2021 15:00:00,7.8,-50,-50
13546,07/08/2021 15:10:00,7.8,-50,-50
13547,07/08/2021 15:20:00,7.8,-50,-50
13548,07/08/2021 15:30:00,7.8,-50,-50
13549,07/08/2021 15:40:00,7.8,-50,-50
13550,07/08/2021 15:50:00,7.8,-50,-50
13551,07/08/2021 16:00:00,7.8,-50,-50
13552,07/08/2021 16:10:00,7.8,-50,-50
13553,07/08/2021 16:20:00,7.8,-50,-50
13554,07/08/2021 16:30:00,7.8,-50,-50
13555,07/08/2021 16:40:00,7.8,-50,-50
13556,07/08/2021 16:50:00,7.8,-50,-50
13557,07/08/2021 17:00:00,7.8,-50,-50
13558,07/08/2021 17:10:00,7.8,-50,-50
13559,07/08/2021 17:20:00,7.8,-50,-50
13560,07/08/2021 17:30:00,7.8,-50,-50
13561,07/08/2021 17:40:00,7.8,-50,-50
13562,07/08/2021 17:50:00,7.8,-50,-50
13563,07/08/2021 18:00:00,7.8,-50,-50
13564,07/08/2021 18:10:00,7.8,-50,-50
13565,07/08/2021 18:20:00,7.8,-50,-50
13566,07/08/2021 18:30:00,7.8,-50,-50
13567,07/08/2021 18:40:00,7.8,-50,-50
13568,07/08/2021 18:50:00,7.8,-50,-50
13569,07/08/2021 19:00:00,7.8,-50,-50
13570,07/08/2021 19:10:00,7.8,-50,-50
13571,07/08/2021 19:20:00,7.8,-49,-50
13572,07/08/2021 19:30:00,7.8,-50,-50
13573,07/08/2021 19:40:00,7.8,-50,-50
13574,07/08/2021 19:50:00,7.8,-50,-50
13575,07/08/2021 20:00:00,7.8,-50,-50
13576,07/08/2021 20:10:00,7.8,-49,-50
13577,07/08/2021 20:20:00,7.8,-50,-50
13578,07/08/2021 20:30:00,7.8,-50,-50
13579,07/08/2021 20:40:00,7.8,-50,-50
13580,07/08/2021 20:50:00,7.8,-49,-49
13581,07/08/2021 21:00:00,7.8,-49,-50
13582,07/08/2021 21:10:00,7.8,-49,-49
13583,07/08/2021 21:20:00,7.8,-49,-49
13584,07/08/2021 21:30:00,7.8,-49,-49
13585,07/08/2021 21:40:00,7.8,-49,-49
13586,07/08/2021 21:50:00,7.8,-49,-49
13587,07/08/2021 22:00:00,7.8,-49,-49
13588,07/08/2021 22:10:00,7.8,-49,-49
13589,07/08/2021 22:20:00,7.8,-50,-50
13590,07/08/2021 22:30:00,7.8,-50,-50
13591,07/08/2021 22:40:00,7.8,-50,-50
13592,07/08/2021 22:50:00,7.8,-50,-50
13593,07/08/2021 23:00:00,7.8,-50,-50
13594,07/08/2021 23:10:00,7.8,-50,-50
13595,07/08/2021 23:20:00,7.8,-49,-50
13596,07/08/2021 23:30:00,7.8,-49,-49
13597,07/08/2021 23:40:00,7.8,-49,-49
13598,07/08/2021 23:50:00,7.8,-49,-49
13599,08/08/2021 00:00:00,7.8,-49,-49
13600,08/08/2021 00:10:00,7.8,-49,-49
13601,08/08/2021 00:20:00,7.8,-49,-49
13602,08/08/2021 00:30:00,7.8,-49,-49
13603,08/08/2021 00:40:00,7.8,-49,-49
13604,08/08/2021 00:50:00,7.8,-49,-49
13605,08/08/2021 01:00:00,7.8,-49,-49
13606,08/08/2021 01:10:00,7.8,-49,-49
13607,08/08/2021 01:20:00,7.8,-49,-49
13608,08/08/2021 01:30:00,7.8,-49,-49
13609,08/08/2021 01:40:00,7.8,-49,-49
13610,08/08/2021 01:50:00,7.8,-49,-49
13611,08/08/2021 02:00:00,7.8,-49,-49
13612,08/08/2021 02:10:00,7.8,-49,-49
13613,08/08/2021 02:20:00,7.8,-49,-49
13614,08/08/2021 02:30:00,7.8,-49,-49
13615,08/08/2021 02:40:00,7.8,-49,-49
13616,08/08/2021 02:50:00,7.8,-49,-49
13617,08/08/2021 03:00:00,7.8,-49,-49
13618,08/08/2021 03:10:00,7.8,-49,-49
13619,08/08/2021 03:20:00,7.8,-49,-49
13620,08/08/2021 03:30:00,7.8,-49,-49
13621,08/08/2021 03:40:00,7.8,-49,-49
13622,08/08/2021 03:50:00,7.8,-49,-49
13623,08/08/2021 04:00:00,7.8,-49,-49
13624,08/08/2021 04:10:00,7.8,-49,-49
13625,08/08/2021 04:20:00,7.8,-49,-49
13626,08/08/2021 04:30:00,7.8,-49,-49
13627,08/08/2021 04:40:00,7.8,-49,-49
13628,08/08/2021 04:50:00,7.8,-49,-49
13629,08/08/2021 05:00:00,7.8,-49,-49
13630,08/08/2021 05:10:00,7.8,-49,-49
13631,08/08/2021 05:20:00,7.8,-49,-49
13632,08/08/2021 05:30:00,7.8,-49,-49
13633,08/08/2021 05:40:00,7.8,-49,-49
13634,08/08/2021 05:50:00,7.8,-49,-49
13635,08/08/2021 06:00:00,7.8,-49,-49
13636,08/08/2021 06:10:00,7.8,-49,-49
13637,08/08/2021 06:20:00,7.8,-49,-49
13638,08/08/2021 06:30:00,7.8,-49,-49
13639,08/08/2021 06:40:00,7.8,-49,-49
13640,08/08/2021 06:50:00,7.8,-49,-49
13641,08/08/2021 07:00:00,7.8,-49,-49
13642,08/08/2021 07:10:00,7.8,-49,-49
13643,08/08/2021 07:20:00,7.8,-49,-49
13644,08/08/2021 07:30:00,7.8,-49,-49
13645,08/08/2021 07:40:00,7.8,-49,-49
13646,08/08/2021 07:50:00,7.8,-49,-49
13647,08/08/2021 08:00:00,7.8,-49,-49
13648,08/08/2021 08:10:00,7.8,-49,-49
13649,08/08/2021 08:20:00,7.8,-49,-49
13650,08/08/2021 08:30:00,7.8,-49,-49
13651,08/08/2021 08:40:00,7.8,-49,-49
13652,08/08/2021 08:50:00,7.8,-49,-49
13653,08/08/2021 09:00:00,7.8,-49,-49
13654,08/08/2021 09:10:00,7.8,-49,-49
13655,08/08/2021 09:20:00,7.8,-49,-49
13656,08/08/2021 09:30:00,7.8,-49,-49
13657,08/08/2021 09:40:00,7.8,-49,-49
13658,08/08/2021 09:50:00,7.8,-49,-49
13659,08/08/2021 10:00:00,7.8,-49,-49
13660,08/08/2021 10:10:00,7.8,-49,-49
13661,08/08/2021 10:20:00,7.8,-50,-50
13662,08/08/2021 10:30:00,7.8,-49,-50
13663,08/08/2021 10:40:00,7.8,-49,-49
13664,08/08/2021 10:50:00,7.8,-49,-50
13665,08/08/2021 11:00:00,7.8,-49,-50
13666,08/08/2021 11:10:00,7.8,-50,-50
13667,08/08/2021 11:20:00,7.8,-50,-50
13668,08/08/2021 11:30:00,7.8,-50,-50
13669,08/08/2021 11:40:00,7.8,-50,-50
13670,08/08/2021 11:50:00,7.8,-50,-50
13671,08/08/2021 12:00:00,7.8,-50,-50
13672,08/08/2021 12:10:00,7.8,-50,-50
13673,08/08/2021 12:20:00,7.8,-50,-50
13674,08/08/2021 12:30:00,7.8,-50,-50
13675,08/08/2021 12:40:00,7.8,-50,-50
13676,08/08/2021 12:50:00,7.8,-50,-50
13677,08/08/2021 13:00:00,7.8,-50,-50
13678,08/08/2021 13:10:00,7.8,-50,-50
13679,08/08/2021 13:20:00,7.8,-50,-50
13680,08/08/2021 13:30:00,7.8,-50,-50
