Timestamp,GMP252 U1011935 - Carbon dioxide concentration (ppm)
6/7/22 8:48,216.66763
6/7/22 8:48,217.36018
6/7/22 8:48,218.17526
6/7/22 8:48,218.72816
6/7/22 8:48,221.08687
6/7/22 8:48,222.0438
6/7/22 8:48,222.60846
6/7/22 8:48,222.37169
6/7/22 8:48,222.53105
6/7/22 8:49,223.08218
6/7/22 8:49,223.63737
6/7/22 8:49,225.77586
6/7/22 8:49,227.57515
6/7/22 8:49,231.32826
6/7/22 8:49,235.90045
6/7/22 8:49,258.41174
6/7/22 8:49,265.40198
6/7/22 8:49,267.01508
6/7/22 8:49,267.08408
6/7/22 8:49,265.36115
6/7/22 8:49,262.77
6/7/22 8:50,261.68594
6/7/22 8:50,258.97244
6/7/22 8:50,255.47697
6/7/22 8:50,254.53554
6/7/22 8:50,253.32982
6/7/22 8:50,253.12186
6/7/22 8:50,252.72551
6/7/22 8:50,252.44867
6/7/22 8:50,252.21149
6/7/22 8:50,252.3283
6/7/22 8:50,252.47903
6/7/22 8:50,252.55257
6/7/22 8:51,252.71866
6/7/22 8:51,253.26595
6/7/22 8:51,253.74179
6/7/22 8:51,255.54047
6/7/22 8:51,257.34448
6/7/22 8:51,258.98782
6/7/22 8:51,259.78256
6/7/22 8:51,260.1248
6/7/22 8:51,260.34906
6/7/22 8:51,260.44876
6/7/22 8:51,260.52594
6/7/22 8:51,260.93964
6/7/22 8:52,261.8783
6/7/22 8:52,262.7288
6/7/22 8:52,263.31274
6/7/22 8:52,263.58505
6/7/22 8:52,263.76184
6/7/22 8:52,263.75613
6/7/22 8:52,263.62875
6/7/22 8:52,263.4382
6/7/22 8:52,263.3695
6/7/22 8:52,263.21814
6/7/22 8:52,262.63315
6/7/22 8:52,260.8776
6/7/22 8:53,260.0543
6/7/22 8:53,259.675
6/7/22 8:53,259.29578
6/7/22 8:53,258.88022
6/7/22 8:53,258.60587
6/7/22 8:53,258.63168
6/7/22 8:53,258.65295
6/7/22 8:53,258.6592
6/7/22 8:53,258.52765
6/7/22 8:53,258.72452
6/7/22 8:53,266.86023
6/7/22 8:53,285.05783
6/7/22 8:54,293.67163
6/7/22 8:54,300.65076
6/7/22 8:54,303.72787
6/7/22 8:54,305.52542
6/7/22 8:54,304.95563
6/7/22 8:54,303.94318
6/7/22 8:54,300.39713
6/7/22 8:54,299.7354
6/7/22 8:54,299.63153
6/7/22 8:54,299.3655
6/7/22 8:54,296.95663
6/7/22 8:54,295.0334
6/7/22 8:55,292.4917
6/7/22 8:55,288.96512
6/7/22 8:55,287.8589
6/7/22 8:55,285.91873
6/7/22 8:55,284.8024
6/7/22 8:55,283.64078
6/7/22 8:55,283.0459
6/7/22 8:55,282.2312
6/7/22 8:55,280.7825
6/7/22 8:55,279.67883
6/7/22 8:55,277.67023
6/7/22 8:55,276.60028
6/7/22 8:56,275.5337
6/7/22 8:56,274.9516
6/7/22 8:56,273.77362
6/7/22 8:56,273.26428
6/7/22 8:56,273.59534
6/7/22 8:56,274.5432
6/7/22 8:56,275.53406
6/7/22 8:56,276.13214
6/7/22 8:56,276.01117
6/7/22 8:56,275.36267
6/7/22 8:56,274.31628
6/7/22 8:56,272.838
6/7/22 8:57,273.58252
6/7/22 8:57,274.9513
6/7/22 8:57,276.12708
6/7/22 8:57,276.23132
6/7/22 8:57,276.12173
6/7/22 8:57,275.9493
6/7/22 8:57,275.6188
6/7/22 8:57,275.36792
6/7/22 8:57,278.32043
6/7/22 8:57,291.50037
6/7/22 8:57,299.60388
6/7/22 8:57,303.45566
6/7/22 8:58,303.9992
6/7/22 8:58,304.51508
6/7/22 8:58,303.99695
6/7/22 8:58,298.30743
6/7/22 8:58,292.29755
6/7/22 8:58,289.61188
6/7/22 8:58,282.2525
6/7/22 8:58,278.82965
6/7/22 8:58,275.38525
6/7/22 8:58,274.24133
6/7/22 8:58,273.63574
6/7/22 8:58,273.94757
6/7/22 8:59,274.97583
6/7/22 8:59,275.49057
6/7/22 8:59,275.63318
6/7/22 8:59,275.62552
6/7/22 8:59,275.54285
6/7/22 8:59,275.4363
6/7/22 8:59,275.44302
6/7/22 8:59,275.9853
6/7/22 8:59,276.06992
6/7/22 8:59,276.11566
6/7/22 8:59,276.12793
6/7/22 8:59,276.08136
6/7/22 9:00,275.9165
6/7/22 9:00,275.87134
6/7/22 9:00,277.34656
6/7/22 9:00,277.91855
6/7/22 9:00,278.02435
6/7/22 9:00,277.9373
6/7/22 9:00,277.69763
6/7/22 9:00,276.37524
6/7/22 9:00,274.66306
6/7/22 9:00,271.4857
6/7/22 9:00,269.57516
6/7/22 9:00,268.61728
6/7/22 9:01,268.55066
6/7/22 9:01,272.34766
6/7/22 9:01,274.7943
6/7/22 9:01,275.53363
6/7/22 9:01,275.46115
6/7/22 9:01,275.3034
6/7/22 9:01,275.02313
6/7/22 9:01,274.81024
6/7/22 9:01,274.51025
6/7/22 9:01,274.3949
6/7/22 9:01,274.45886
6/7/22 9:01,274.21024
6/7/22 9:02,274.01282
6/7/22 9:02,273.5573
6/7/22 9:02,271.962
6/7/22 9:02,268.2602
6/7/22 9:02,266.28387
6/7/22 9:02,264.95605
6/7/22 9:02,264.77252
6/7/22 9:02,264.56473
6/7/22 9:02,263.51025
6/7/22 9:02,262.78555
6/7/22 9:02,261.97748
6/7/22 9:02,261.0435
6/7/22 9:03,259.90952
6/7/22 9:03,259.504
6/7/22 9:03,258.84564
6/7/22 9:03,258.27563
6/7/22 9:03,257.84076
6/7/22 9:03,256.81415
6/7/22 9:03,256.77414
6/7/22 9:03,257.1984
6/7/22 9:03,257.2058
6/7/22 9:03,257.625
6/7/22 9:03,259.39728
6/7/22 9:03,259.73935
6/7/22 9:04,260.20908
6/7/22 9:04,260.66342
6/7/22 9:04,261.56958
6/7/22 9:04,262.0148
6/7/22 9:04,263.36865
6/7/22 9:04,270.14578
6/7/22 9:04,327.06332
6/7/22 9:04,343.0763
6/7/22 9:04,343.68134
6/7/22 9:04,337.52075
6/7/22 9:04,327.14847
6/7/22 9:04,315.16513
6/7/22 9:05,310.75018
6/7/22 9:05,306.18365
6/7/22 9:05,302.2044
6/7/22 9:05,297.16803
6/7/22 9:05,294.36884
6/7/22 9:05,291.4457
6/7/22 9:05,286.29044
6/7/22 9:05,282.44193
6/7/22 9:05,279.00595
6/7/22 9:05,277.08517
6/7/22 9:05,273.77078
6/7/22 9:05,270.48206
6/7/22 9:06,269.24576
6/7/22 9:06,268.50616
6/7/22 9:06,268.2106
6/7/22 9:06,267.0368
6/7/22 9:06,266.77737
6/7/22 9:06,266.56927
6/7/22 9:06,266.45532
6/7/22 9:06,265.9742
6/7/22 9:06,265.42123
6/7/22 9:06,264.91556
6/7/22 9:06,263.85974
6/7/22 9:06,263.39966
6/7/22 9:07,263.1189
6/7/22 9:07,262.62927
6/7/22 9:07,262.02512
6/7/22 9:07,261.95737
6/7/22 9:07,261.93765
6/7/22 9:07,262.06366
6/7/22 9:07,262.87613
6/7/22 9:07,263.56778
6/7/22 9:07,263.679
6/7/22 9:07,263.93994
6/7/22 9:07,264.26022
6/7/22 9:07,265.12448
6/7/22 9:08,266.02707
6/7/22 9:08,266.47336
6/7/22 9:08,266.63626
6/7/22 9:08,266.3483
6/7/22 9:08,263.0368
6/7/22 9:08,260.2756
6/7/22 9:08,256.79877
6/7/22 9:08,255.22313
6/7/22 9:08,253.11504
6/7/22 9:08,251.65613
6/7/22 9:08,250.27255
6/7/22 9:08,248.41112
6/7/22 9:09,247.51114
6/7/22 9:09,245.88025
6/7/22 9:09,245.29501
6/7/22 9:09,245.1768
6/7/22 9:09,245.12256
6/7/22 9:09,245.15933
6/7/22 9:09,245.79347
6/7/22 9:09,246.2065
6/7/22 9:09,246.65215
6/7/22 9:09,247.09798
6/7/22 9:09,247.98697
6/7/22 9:09,250.01321
6/7/22 9:10,252.43811
6/7/22 9:10,253.9202
6/7/22 9:10,254.53116
6/7/22 9:10,255.57912
6/7/22 9:10,256.55682
6/7/22 9:10,257.5276
6/7/22 9:10,258.4155
6/7/22 9:10,262.854
6/7/22 9:10,266.35803
6/7/22 9:10,267.28558
6/7/22 9:10,268.18243
6/7/22 9:10,268.24377
6/7/22 9:11,267.76324
6/7/22 9:11,265.9865
6/7/22 9:11,262.63074
6/7/22 9:11,259.80206
6/7/22 9:11,256.08902
6/7/22 9:11,254.40442
6/7/22 9:11,254.16512
6/7/22 9:11,254.13765
6/7/22 9:11,254.11932
6/7/22 9:11,254.0798
6/7/22 9:11,254.09995
6/7/22 9:11,254.78406
6/7/22 9:12,257.24628
6/7/22 9:12,260.67975
6/7/22 9:12,263.4494
6/7/22 9:12,264.06625
6/7/22 9:12,264.41364
6/7/22 9:12,264.6753
6/7/22 9:12,264.286
6/7/22 9:12,263.51285
6/7/22 9:12,262.97318
6/7/22 9:12,262.68823
6/7/22 9:12,262.68668
6/7/22 9:12,262.68503
6/7/22 9:13,264.2559
6/7/22 9:13,274.98355
6/7/22 9:13,285.54257
6/7/22 9:13,322.353
6/7/22 9:13,331.6875
6/7/22 9:13,335.5357
6/7/22 9:13,336.57245
6/7/22 9:13,335.42178
6/7/22 9:13,329.22504
6/7/22 9:13,321.50778
6/7/22 9:13,306.23428
6/7/22 9:13,296.559
6/7/22 9:14,279.71317
6/7/22 9:14,272.65652
6/7/22 9:14,270.2416
6/7/22 9:14,266.82977
6/7/22 9:14,264.58902
6/7/22 9:14,261.03934
6/7/22 9:14,259.61334
6/7/22 9:14,258.16797
6/7/22 9:14,257.4446
6/7/22 9:14,257.02542
6/7/22 9:14,256.91235
6/7/22 9:14,256.87555
6/7/22 9:15,257.16135
6/7/22 9:15,257.13818
6/7/22 9:15,257.08337
6/7/22 9:15,257.20148
6/7/22 9:15,257.43027
6/7/22 9:15,257.75168
6/7/22 9:15,258.2051
6/7/22 9:15,258.34753
6/7/22 9:15,258.16907
6/7/22 9:15,258.47992
6/7/22 9:15,258.66855
6/7/22 9:15,258.25604
6/7/22 9:16,257.5083
6/7/22 9:16,256.72137
6/7/22 9:16,256.69135
6/7/22 9:16,256.90143
6/7/22 9:16,256.89447
6/7/22 9:16,256.84808
6/7/22 9:16,256.787
6/7/22 9:16,256.54755
6/7/22 9:16,255.73097
6/7/22 9:16,255.69176
6/7/22 9:16,255.72556
6/7/22 9:16,255.7033
6/7/22 9:17,256.04138
6/7/22 9:17,256.1281
6/7/22 9:17,256.0999
6/7/22 9:17,256.10703
6/7/22 9:17,256.28433
6/7/22 9:17,256.28433
6/7/22 9:17,256.80045
6/7/22 9:17,257.1234
6/7/22 9:17,259.55597
6/7/22 9:17,259.55597
6/7/22 9:17,261.00775
6/7/22 9:17,261.63184
6/7/22 9:18,262.72903
6/7/22 9:18,267.50528
6/7/22 9:18,270.84198
6/7/22 9:18,271.87573
6/7/22 9:18,272.04608
6/7/22 9:18,271.59476
6/7/22 9:18,270.83197
6/7/22 9:18,270.20145
6/7/22 9:18,267.9254
6/7/22 9:18,266.4739
6/7/22 9:18,264.82352
6/7/22 9:18,263.48492
6/7/22 9:19,262.89276
6/7/22 9:19,262.05084
6/7/22 9:19,260.76746
6/7/22 9:19,258.36652
6/7/22 9:19,256.14377
6/7/22 9:19,253.50815
6/7/22 9:19,252.09036
6/7/22 9:19,250.62485
6/7/22 9:19,249.78076
6/7/22 9:19,249.53085
6/7/22 9:19,249.30806
6/7/22 9:19,249.20882
6/7/22 9:20,249.16652
6/7/22 9:20,249.11948
6/7/22 9:20,248.96663
6/7/22 9:20,249.17996
6/7/22 9:20,249.25804
6/7/22 9:20,249.24345
6/7/22 9:20,249.36685
6/7/22 9:20,249.62286
6/7/22 9:20,249.59116
6/7/22 9:20,249.69183
6/7/22 9:20,250.06572
6/7/22 9:20,250.5094
6/7/22 9:21,251.59213
6/7/22 9:21,251.97537
6/7/22 9:21,252.58556
6/7/22 9:21,253.53459
6/7/22 9:21,254.60732
6/7/22 9:21,254.72961
6/7/22 9:21,254.72847
6/7/22 9:21,254.71355
6/7/22 9:21,254.99922
6/7/22 9:21,256.9057
6/7/22 9:21,259.6462
6/7/22 9:21,261.7968
6/7/22 9:22,261.9277
6/7/22 9:22,261.93753
6/7/22 9:22,261.88614
6/7/22 9:22,261.88272
6/7/22 9:22,261.89993
6/7/22 9:22,261.99496
6/7/22 9:22,262.17383
6/7/22 9:22,262.14697
6/7/22 9:22,261.70447
6/7/22 9:22,261.48724
6/7/22 9:22,261.55057
6/7/22 9:22,261.6931
6/7/22 9:23,261.87308
6/7/22 9:23,264.29407
6/7/22 9:23,266.0496
6/7/22 9:23,266.68497
6/7/22 9:23,266.73984
6/7/22 9:23,266.74808
6/7/22 9:23,266.75146
6/7/22 9:23,266.72144
6/7/22 9:23,266.3464
6/7/22 9:23,265.61395
6/7/22 9:23,264.55386
6/7/22 9:23,263.68018
6/7/22 9:24,262.1171
6/7/22 9:24,261.5904
6/7/22 9:24,261.02243
6/7/22 9:24,260.00266
6/7/22 9:24,259.47357
6/7/22 9:24,258.9612
6/7/22 9:24,258.8684
6/7/22 9:24,258.30997
6/7/22 9:24,257.3413
6/7/22 9:24,255.89545
6/7/22 9:24,255.20052
6/7/22 9:24,253.63567
6/7/22 9:25,251.7655
6/7/22 9:25,251.2989
6/7/22 9:25,251.13593
6/7/22 9:25,250.15897
6/7/22 9:25,248.5349
6/7/22 9:25,248.42766
6/7/22 9:25,248.26465
6/7/22 9:25,247.77275
6/7/22 9:25,247.67996
6/7/22 9:25,247.76462
6/7/22 9:25,247.75183
6/7/22 9:25,247.58968
6/7/22 9:26,247.4888
6/7/22 9:26,247.47678
6/7/22 9:26,247.45813
6/7/22 9:26,247.43048
6/7/22 9:26,247.41772
6/7/22 9:26,247.36407
6/7/22 9:26,247.0008
6/7/22 9:26,246.74922
6/7/22 9:26,246.5628
6/7/22 9:26,246.53145
6/7/22 9:26,246.40392
6/7/22 9:26,245.95119
6/7/22 9:27,245.3237
6/7/22 9:27,245.11221
6/7/22 9:27,245.07994
6/7/22 9:27,245.29721
6/7/22 9:27,245.79259
6/7/22 9:27,246.4083
6/7/22 9:27,246.73448
6/7/22 9:27,247.17688
6/7/22 9:27,247.42474
6/7/22 9:27,247.41798
6/7/22 9:27,247.41496
6/7/22 9:27,247.51488
6/7/22 9:28,247.73549
6/7/22 9:28,248.08472
6/7/22 9:28,248.31267
6/7/22 9:28,248.38567
6/7/22 9:28,248.45496
6/7/22 9:28,248.39798
6/7/22 9:28,248.36803
6/7/22 9:28,248.388
6/7/22 9:28,248.40535
6/7/22 9:28,248.38052
6/7/22 9:28,248.38274
6/7/22 9:28,248.39572
6/7/22 9:29,248.30716
6/7/22 9:29,248.25575
6/7/22 9:29,248.09697
6/7/22 9:29,247.49695
6/7/22 9:29,247.07234
6/7/22 9:29,247.03008
6/7/22 9:29,246.6672
6/7/22 9:29,246.2767
6/7/22 9:29,246.00305
6/7/22 9:29,246.00882
6/7/22 9:29,246.03006
6/7/22 9:29,246.12866
6/7/22 9:30,245.99873
6/7/22 9:30,245.07495
6/7/22 9:30,244.80756
6/7/22 9:30,244.63744
6/7/22 9:30,244.61554
6/7/22 9:30,244.78278
6/7/22 9:30,245.11388
6/7/22 9:30,245.41858
6/7/22 9:30,245.72415
6/7/22 9:30,245.67627
6/7/22 9:30,245.46428
6/7/22 9:30,245.37935
6/7/22 9:31,244.99663
6/7/22 9:31,244.48996
6/7/22 9:31,244.41866
6/7/22 9:31,244.84679
6/7/22 9:31,245.27766
6/7/22 9:31,245.43663
6/7/22 9:31,245.26653
6/7/22 9:31,245.22585
6/7/22 9:31,245.21135
6/7/22 9:31,245.41145
6/7/22 9:31,245.39766
6/7/22 9:31,245.35716
6/7/22 9:32,245.12144
6/7/22 9:32,244.72148
6/7/22 9:32,244.63156
6/7/22 9:32,244.65273
6/7/22 9:32,244.7903
6/7/22 9:32,244.7801
6/7/22 9:32,244.87535
6/7/22 9:32,246.05121
6/7/22 9:32,247.64719
6/7/22 9:32,250.71909
6/7/22 9:32,252.19502
6/7/22 9:32,254.0323
6/7/22 9:33,255.31496
6/7/22 9:33,257.30905
6/7/22 9:33,257.99075
6/7/22 9:33,257.93295
6/7/22 9:33,257.795
6/7/22 9:33,256.8366
6/7/22 9:33,256.35742
6/7/22 9:33,256.15585
6/7/22 9:33,255.7863
6/7/22 9:33,255.97955
6/7/22 9:33,256.11868
6/7/22 9:33,256.78766
6/7/22 9:34,257.67996
6/7/22 9:34,261.2894
6/7/22 9:34,262.89337
6/7/22 9:34,263.08163
6/7/22 9:34,263.0988
6/7/22 9:34,263.1908
6/7/22 9:34,263.3096
6/7/22 9:34,263.32986
6/7/22 9:34,263.36505
6/7/22 9:34,263.04465
6/7/22 9:34,261.64523
6/7/22 9:34,261.33847
6/7/22 9:35,259.78424
6/7/22 9:35,257.2237
6/7/22 9:35,255.68356
6/7/22 9:35,254.01407
6/7/22 9:35,253.35596
6/7/22 9:35,252.75249
6/7/22 9:35,252.08073
