"TOA5","ESLC1_CR800_42968","CR800","42968","CR800.Std.32.02","CPU:ESLC1_CR800_42968_FEF_10min_program_2022Calibrated.CR8","35806","Data_10min"
"TIMESTAMP","RECORD","SC_uS","SC_1","Ct_1","Ct_2","Temp_C","CDOM","CDOM_ave_mV","CDOM_ave","CDOM_stdev","CDOM_med","Turb","Turb_ave_mV","Turb_ave","Turb_stdev","Turb_med","CDOM_mV","TURB_mV"
"TS","RN","uS/cm","","","","Deg C","ppb QSE","millivolts","ppb QSE","ppb QSE","ppb QSE","NTU","millivolts","NTU","NTU","NTU","millivolts","millivolts"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2022-04-22 16:40:00",23,124.0742,136.4273,0.1292419,121.7398,19.62,2.859281,103.5627,2.80338,0.02635179,2.777294,169.6678,2552.457,169.5609,0.06474242,169.5773,104.0541,2551.352
"2022-04-22 16:50:00",24,124.0486,136.4023,0.1292183,121.7175,19.62,2.818287,102.2113,2.762387,0.02635185,2.7363,169.306,2547.543,169.232,0.05199275,169.2156,102.7027,2545.946
"2022-04-22 17:00:00",25,124.0851,136.438,0.1292183,121.7175,19.61,2.818287,102.457,2.76984,0.02934415,2.777294,168.8538,2540.418,168.7552,0.04650413,168.7634,102.7027,2540.541
"2022-04-22 17:10:00",26,124.0104,136.3648,0.1291831,121.684,19.62,2.777294,101.7199,2.74748,0.02527585,2.7363,168.7634,2539.312,168.6812,0.06041135,168.673,101.3514,2537.838
"2022-04-22 17:20:00",27,123.985,136.3398,0.1291597,121.6617,19.62,2.777294,101.2285,2.732573,0.02108152,2.7363,168.4921,2535.995,168.4592,0.04349788,168.4921,101.3514,2535.135
"2022-04-22 17:30:00",28,123.9958,136.3505,0.1291361,121.6394,19.61,2.777294,100.1229,2.699033,0.04440896,2.695306,168.4017,2534.153,168.3359,0.05576523,168.3112,98.64866,2532.433
"2022-04-22 17:40:00",29,123.9578,136.3131,0.1291346,121.6379,19.62,2.7363,100.2457,2.702759,0.01581114,2.695306,168.3112,2532.924,168.2536,0.04351256,168.2208,100,2532.433
"2022-04-22 17:50:00",30,123.953,136.3084,0.1291302,121.6337,19.62,2.7363,100,2.695306,0.03027595,2.695306,168.1303,2529.73,168.0399,0.03856325,168.0399,100,2529.73
"2022-04-22 18:00:00",31,123.9213,136.2773,0.1291346,121.6379,19.63,2.7363,99.87715,2.691579,0.02738569,2.695306,167.9495,2527.764,167.9084,0.04502458,167.859,100,2527.027
"2022-04-22 18:10:00",32,123.886,136.2426,0.1291356,121.6389,19.64,2.7363,98.89436,2.661765,0.05190712,2.654312,167.7686,2524.816,167.711,0.04349788,167.6782,100,2524.325
