datetime,wtrhgtavg_obs,CR _length_krtobtm(mm),stickup_ht(mm),blttotp_well(mm),CR_zerotobtm(mm),wtrhgt_blwgrnd(mm)
3/25/2020 19:40,-49,1454,584,76,75,-920
3/25/2020 19:50,-49,1454,584,76,75,-920
3/25/2020 20:00,-49,1454,584,76,75,-920
3/25/2020 20:10,-49,1454,584,76,75,-920
3/25/2020 20:20,-49,1454,584,76,75,-920
3/25/2020 20:30,-49,1454,584,76,75,-920
3/25/2020 20:40,-49,1454,584,76,75,-920
3/25/2020 20:50,-49,1454,584,76,75,-920
3/25/2020 21:00,-49,1454,584,76,75,-920
3/25/2020 21:10,-49,1454,584,76,75,-920
3/25/2020 21:20,-49,1454,584,76,75,-920
3/25/2020 21:30,-49,1454,584,76,75,-920
3/25/2020 21:40,-49,1454,584,76,75,-920
3/25/2020 21:50,-49,1454,584,76,75,-920
3/25/2020 22:00,-49,1454,584,76,75,-920
3/25/2020 22:10,-49,1454,584,76,75,-920
3/25/2020 22:20,-49,1454,584,76,75,-920
3/25/2020 22:30,-49,1454,584,76,75,-920
3/25/2020 22:40,-49,1454,584,76,75,-920
3/25/2020 22:50,-49,1454,584,76,75,-920
3/25/2020 23:00,-49,1454,584,76,75,-920
3/25/2020 23:10,-49,1454,584,76,75,-920
3/25/2020 23:20,-49,1454,584,76,75,-920
3/25/2020 23:30,-49,1454,584,76,75,-920
3/25/2020 23:40,-49,1454,584,76,75,-920
3/25/2020 23:50,-49,1454,584,76,75,-920
3/26/2020 0:00,-49,1454,584,76,75,-920
3/26/2020 0:10,-49,1454,584,76,75,-920
3/26/2020 0:20,-49,1454,584,76,75,-920
3/26/2020 0:30,-49,1454,584,76,75,-920
3/26/2020 0:40,-49,1454,584,76,75,-920
3/26/2020 0:50,-49,1454,584,76,75,-920
3/26/2020 1:00,-49,1454,584,76,75,-920
3/26/2020 1:10,-49,1454,584,76,75,-920
3/26/2020 1:20,-49,1454,584,76,75,-920
3/26/2020 1:30,-49,1454,584,76,75,-920
3/26/2020 1:40,-49,1454,584,76,75,-920
3/26/2020 1:50,-49,1454,584,76,75,-920
3/26/2020 2:00,-49,1454,584,76,75,-920
3/26/2020 2:10,-49,1454,584,76,75,-920
3/26/2020 2:20,-49,1454,584,76,75,-920
3/26/2020 2:30,-49,1454,584,76,75,-920
3/26/2020 2:40,-49,1454,584,76,75,-920
3/26/2020 2:50,-49,1454,584,76,75,-920
3/26/2020 3:00,-49,1454,584,76,75,-920
3/26/2020 3:10,-49,1454,584,76,75,-920
3/26/2020 3:20,-49,1454,584,76,75,-920
3/26/2020 3:30,-49,1454,584,76,75,-920
3/26/2020 3:40,-48,1454,584,76,75,-919
3/26/2020 3:50,-48,1454,584,76,75,-919
3/26/2020 4:00,-48,1454,584,76,75,-919
3/26/2020 4:10,-48,1454,584,76,75,-919
3/26/2020 4:20,-48,1454,584,76,75,-919
3/26/2020 4:30,-48,1454,584,76,75,-919
3/26/2020 4:40,-48,1454,584,76,75,-919
3/26/2020 4:50,-48,1454,584,76,75,-919
3/26/2020 5:00,-48,1454,584,76,75,-919
3/26/2020 5:10,-48,1454,584,76,75,-919
3/26/2020 5:20,-48,1454,584,76,75,-919
3/26/2020 5:30,-48,1454,584,76,75,-919
3/26/2020 5:40,-48,1454,584,76,75,-919
