sample,datetime,wtemp_a_1,ltemp_a_2,wtrhgt__3,wtrhgt__4
1867,03/19/2020 07:00:00,0.3,-2.4,-53,-54
1868,03/19/2020 07:10:00,0.3,-2.3,-53,-54
1869,03/19/2020 07:20:00,0.3,-2.2,-54,-54
1870,03/19/2020 07:30:00,0.3,-2.1,-54,-54
1871,03/19/2020 07:40:00,0.3,-1.9,-54,-54
1872,03/19/2020 07:50:00,0.3,-1.7,-54,-54
1873,03/19/2020 08:00:00,0.3,-1.4,-54,-54
1874,03/19/2020 08:10:00,0.3,-1.2,-54,-54
1875,03/19/2020 08:20:00,0.3,-1.1,-54,-54
1876,03/19/2020 08:30:00,0.3,-1.1,-54,-54
1877,03/19/2020 08:40:00,0.3,-1.1,-54,-54
1878,03/19/2020 08:50:00,0.3,-1.1,-54,-54
1879,03/19/2020 09:00:00,0.3,-1.1,-54,-54
1880,03/19/2020 09:10:00,0.3,-1.0,-54,-54
1881,03/19/2020 09:20:00,0.3,-1.0,-54,-54
1882,03/19/2020 09:30:00,0.3,-1.0,-54,-54
1883,03/19/2020 09:40:00,0.3,-1.0,-54,-54
1884,03/19/2020 09:50:00,0.3,-1.0,-54,-54
1885,03/19/2020 10:00:00,0.3,-1.0,-54,-54
1886,03/19/2020 10:10:00,0.3,-0.9,-54,-54
1887,03/19/2020 10:20:00,0.3,-0.8,-54,-54
1888,03/19/2020 10:30:00,0.3,-0.7,-54,-54
1889,03/19/2020 10:40:00,0.3,-0.8,-54,-54
1890,03/19/2020 10:50:00,0.3,-0.8,-54,-54
1891,03/19/2020 11:00:00,0.3,-0.8,-54,-54
1892,03/19/2020 11:10:00,0.3,-0.7,-54,-54
1893,03/19/2020 11:20:00,0.3,-0.8,-54,-54
1894,03/19/2020 11:30:00,0.3,-0.9,-54,-54
1895,03/19/2020 11:40:00,0.3,-1.0,-54,-54
1896,03/19/2020 11:50:00,0.3,-1.1,-54,-54
1897,03/19/2020 12:00:00,0.3,-1.2,-54,-54
1898,03/19/2020 12:10:00,0.3,-1.3,-54,-54
1899,03/19/2020 12:20:00,0.3,-1.4,-54,-54
1900,03/19/2020 12:30:00,0.3,-1.5,-54,-54
1901,03/19/2020 12:40:00,0.3,-1.5,-54,-54
1902,03/19/2020 12:50:00,0.3,-1.6,-54,-54
1903,03/19/2020 13:00:00,0.3,-1.7,-54,-54
