datetime,wtrhgtavg_obs,CR _length_krtobtm(mm),stickup_ht(mm),blttotp_well(mm),CR_zerotobtm(mm),wtrhgt_blwgrnd(mm)
3/19/2020 6:50,-12,1117,248,78,35,-924
3/19/2020 7:00,-12,1117,248,78,35,-924
3/19/2020 7:10,-12,1117,248,78,35,-924
3/19/2020 7:20,-12,1117,248,78,35,-924
3/19/2020 7:30,-12,1117,248,78,35,-924
3/19/2020 7:40,-12,1117,248,78,35,-924
3/19/2020 7:50,-12,1117,248,78,35,-924
3/19/2020 8:00,-12,1117,248,78,35,-924
3/19/2020 8:10,-12,1117,248,78,35,-924
3/19/2020 8:20,-12,1117,248,78,35,-924
3/19/2020 8:30,-12,1117,248,78,35,-924
3/19/2020 8:40,-12,1117,248,78,35,-924
3/19/2020 8:50,-12,1117,248,78,35,-924
3/19/2020 9:00,-12,1117,248,78,35,-924
3/19/2020 9:10,-12,1117,248,78,35,-924
3/19/2020 9:20,-12,1117,248,78,35,-924
3/19/2020 9:30,-12,1117,248,78,35,-924
3/19/2020 9:40,-12,1117,248,78,35,-924
3/19/2020 9:50,-12,1117,248,78,35,-924
3/19/2020 10:00,-12,1117,248,78,35,-924
3/19/2020 10:10,-12,1117,248,78,35,-924
3/19/2020 10:20,-12,1117,248,78,35,-924
3/19/2020 10:30,-12,1117,248,78,35,-924
3/19/2020 10:40,-12,1117,248,78,35,-924
3/19/2020 10:50,-12,1117,248,78,35,-924
3/19/2020 11:00,-12,1117,248,78,35,-924
3/19/2020 11:10,-12,1117,248,78,35,-924
3/19/2020 11:20,-12,1117,248,78,35,-924
3/19/2020 11:30,-12,1117,248,78,35,-924
3/19/2020 11:40,-12,1117,248,78,35,-924
3/19/2020 11:50,-12,1117,248,78,35,-924
3/19/2020 12:00,-12,1117,248,78,35,-924
3/19/2020 12:10,-12,1117,248,78,35,-924
3/19/2020 12:20,-12,1117,248,78,35,-924
3/19/2020 12:30,-12,1117,248,78,35,-924
3/19/2020 12:40,-12,1117,248,78,35,-924
3/19/2020 12:50,-12,1117,248,78,35,-924
3/19/2020 13:00,-12,1117,248,78,35,-924
3/19/2020 13:10,-12,1117,248,78,35,-924
3/19/2020 13:20,-12,1117,248,78,35,-924
3/19/2020 13:30,-12,1117,248,78,35,-924
3/19/2020 13:40,-12,1117,248,78,35,-924
3/19/2020 13:50,-12,1117,248,78,35,-924
3/19/2020 14:00,-12,1117,248,78,35,-924
3/19/2020 14:10,-12,1117,248,78,35,-924
3/19/2020 14:20,-12,1117,248,78,35,-924
3/19/2020 14:30,-12,1117,248,78,35,-924
3/19/2020 14:40,-12,1117,248,78,35,-924
3/19/2020 14:50,-12,1117,248,78,35,-924
3/19/2020 15:00,-12,1117,248,78,35,-924
3/19/2020 15:10,-12,1117,248,78,35,-924
3/19/2020 15:20,-12,1117,248,78,35,-924
3/19/2020 15:30,-12,1117,248,78,35,-924
3/19/2020 15:40,-12,1117,248,78,35,-924
3/19/2020 15:50,-12,1117,248,78,35,-924
3/19/2020 16:00,-12,1117,248,78,35,-924
3/19/2020 16:10,-12,1117,248,78,35,-924
3/19/2020 16:20,-12,1117,248,78,35,-924
3/19/2020 16:30,-12,1117,248,78,35,-924
3/19/2020 16:40,-12,1117,248,78,35,-924
3/19/2020 16:50,-12,1117,248,78,35,-924
3/19/2020 17:00,-12,1117,248,78,35,-924
3/19/2020 17:10,-12,1117,248,78,35,-924
