"TOA5","DH1_CR1000_63433","CR1000","63433","CR1000.Std.27","CPU:DH1_CR1000_63433_FEF_10min_program_2021Calibrated.CR1","49380","Data_10min"
"TIMESTAMP","RECORD","SC_uS","SC_1","Ct_1","Ct_2","Temp_C","CDOM","CDOM_ave_mV","CDOM_ave","CDOM_stdev","CDOM_med","Turb","Turb_ave_mV","Turb_ave","Turb_stdev","Turb_med","CDOM_mV","TURB_mV"
"TS","RN","uS/cm","","","","Deg C","ppb QSE","millivolts","ppb QSE","ppb QSE","ppb QSE","NTU","millivolts","NTU","NTU","NTU","millivolts","millivolts"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2021-05-12 18:40:00",23,127.6793,138.478,0.0788661,73.86724,1.671,17.98753,540.7026,17.85275,0.09150133,17.84854,445.5595,4932.723,445.4461,0.03585602,445.4348,536.451,4932.599
"2021-05-12 18:50:00",24,127.6832,138.4819,0.07884365,73.8459,1.663,18.03386,543.8288,17.95805,0.02978094,17.9412,445.5595,4932.723,445.4461,0.03585602,445.4348,546.0797,4932.599
"2021-05-12 19:00:00",25,127.6501,138.4484,0.07879864,73.80313,1.654,17.9412,539.9523,17.82748,0.06946149,17.80222,445.4348,4932.598,445.4348,0,445.4348,539.2021,4932.599
"2021-05-12 19:10:00",26,127.7777,138.5777,0.07878731,73.79237,1.625,17.75589,534.4503,17.64217,0.0694617,17.6169,445.4348,4932.598,445.4348,0,445.4348,533.7,4932.599
"2021-05-12 19:20:00",27,127.7868,138.5869,0.07876477,73.77094,1.615,17.57121,530.2174,17.4996,0.04575293,17.47854,445.4506,4932.773,445.4506,0,445.4506,532.3433,4932.773
"2021-05-12 19:30:00",28,127.8162,138.6167,0.07875344,73.76018,1.606,17.61711,528.5793,17.44443,0.06275418,17.43179,445.44,4932.657,445.44,0,445.44,526.8286,4932.657
"2021-05-12 19:40:00",29,127.8521,138.653,0.07871742,73.72594,1.586,17.5243,528.95,17.45692,0.06045014,17.47798,445.4363,4932.615,445.4363,0,445.4363,526.8242,4932.616
"2021-05-12 19:50:00",30,127.8851,138.6865,0.07870806,73.71706,1.577,17.43161,523.697,17.27999,0.07674072,17.24629,445.4354,4932.605,445.4354,0,445.4354,522.6966,4932.605
"2021-05-12 20:00:00",31,127.9283,138.7302,0.07867886,73.68931,1.559,17.20057,519.5883,17.1416,0.05956511,17.15424,445.4508,4932.4,445.4168,0.05554789,445.4508,515.8368,4932.775
"2021-05-12 20:10:00",32,127.9514,138.7536,0.07866871,73.67966,1.551,17.38957,525.5748,17.34323,0.0558887,17.34323,445.5436,4933.298,445.4982,0.06001327,445.5436,526.9506,4933.799
"2021-05-12 20:20:00",33,127.9464,138.7486,0.07864656,73.65862,1.544,17.52993,528.2408,17.43303,0.04615136,17.3909,445.577,4933.542,445.5203,0.06211964,445.4522,526.99,4934.167
"2021-05-12 20:30:00",34,127.9951,138.7979,0.07862411,73.63728,1.527,17.39121,524.3724,17.30274,0.06076278,17.29852,445.5849,4933.378,445.5055,0.06001327,445.4601,522.8713,4932.878
"2021-05-12 20:40:00",35,128.0155,138.8185,0.0786128,73.62652,1.519,17.20595,516.8703,17.05006,0.07722828,17.02057,445.5877,4933.41,445.5083,0.06001327,445.4629,518.7466,4932.909
"2021-05-12 20:50:00",36,127.9814,138.7841,0.07856771,73.58367,1.51,17.15963,517.6216,17.07536,0.06192062,17.06694,445.5884,4933.167,445.4863,0.04811767,445.4636,518.7475,4932.917
"2021-05-12 21:00:00",37,128.0988,138.903,0.07857903,73.59443,1.491,17.0206,512.243,16.89421,0.06581167,16.88157,445.5886,4933.169,445.4865,0.07173527,445.4639,510.4918,4932.919
