Plot Title:  21190572,,,,,,,
#,"Date Time, GMT-06:00","Abs Pres, kPa (LGR S/N: 21190572, SEN S/N: 21190572)","Temp, °C (LGR S/N: 21190572, SEN S/N: 21190572)",Coupler Detached (LGR S/N: 21190572),Coupler Attached (LGR S/N: 21190572),Host Connected (LGR S/N: 21190572),End Of File (LGR S/N: 21190572)
1,5/24/22 8:12,72.67,16.237,,,,
2,5/24/22 8:12,,,Logged,,,
3,5/24/22 8:17,72.705,16.427,,,,
4,5/24/22 8:22,72.738,15.855,,,,
5,5/24/22 8:27,72.741,15.473,,,,
6,5/24/22 8:32,72.762,15.187,,,,
7,5/24/22 8:37,72.26,14.996,,,,
8,5/24/22 8:42,72.246,14.517,,,,
9,5/24/22 8:47,72.259,14.134,,,,
10,5/24/22 8:52,72.268,13.846,,,,
11,5/24/22 8:57,72.264,13.654,,,,
12,5/24/22 9:02,72.249,13.461,,,,
13,5/24/22 9:07,72.241,13.365,,,,
14,5/24/22 9:12,72.247,13.173,,,,
15,5/24/22 9:17,72.229,13.076,,,,
16,5/24/22 9:22,72.232,12.98,,,,
17,5/24/22 9:27,72.224,12.883,,,,
18,5/24/22 9:32,72.217,12.787,,,,
19,5/24/22 9:37,72.209,12.69,,,,
20,5/24/22 9:42,72.201,12.594,,,,
21,5/24/22 9:47,72.215,12.497,,,,
22,5/24/22 9:52,72.246,12.497,,,,
23,5/24/22 9:57,72.228,12.401,,,,
24,5/24/22 10:02,72.22,12.304,,,,
25,5/24/22 10:07,72.191,12.207,,,,
26,5/24/22 10:12,72.194,12.11,,,,
27,5/24/22 10:17,72.204,12.11,,,,
28,5/24/22 10:22,72.186,12.013,,,,
29,5/24/22 10:27,72.178,11.916,,,,
30,5/24/22 10:32,72.181,11.819,,,,
31,5/24/22 10:37,72.181,11.819,,,,
32,5/24/22 10:42,72.173,11.722,,,,
33,5/24/22 10:47,72.162,11.722,,,,
34,5/24/22 10:52,72.165,11.625,,,,
35,5/24/22 10:57,72.109,11.722,,,,
36,5/24/22 11:02,72.059,14.996,,,,
37,5/24/22 11:07,72.059,16.141,,,,
38,5/24/22 11:12,72.12,16.999,,,,
39,5/24/22 11:17,72.217,17.475,,,,
40,5/24/22 11:22,74.671,10.748,,,,
41,5/24/22 11:27,74.593,7.179,,,,
42,5/24/22 11:32,74.532,5.552,,,,
43,5/24/22 11:37,74.515,4.727,,,,
44,5/24/22 11:42,74.494,4.207,,,,
45,5/24/22 11:47,74.473,3.893,,,,
46,5/24/22 11:52,74.473,3.683,,,,
47,5/24/22 11:57,74.473,3.578,,,,
48,5/24/22 12:02,74.452,3.472,,,,
49,5/24/22 12:07,74.441,3.367,,,,
50,5/24/22 12:12,74.451,3.261,,,,
51,5/24/22 12:17,74.44,3.261,,,,
52,5/24/22 12:22,72.174,5.45,,,,
53,5/24/22 12:27,72.187,4.831,,,,
54,5/24/22 12:32,72.179,4.311,,,,
55,5/24/22 12:37,72.179,3.998,,,,
56,5/24/22 12:42,72.179,3.788,,,,
57,5/24/22 12:47,72.179,3.578,,,,
58,5/24/22 12:52,72.179,3.472,,,,
59,5/24/22 12:57,72.305,3.367,,,,
60,5/24/22 13:02,72.316,3.367,,,,
61,5/24/22 13:07,72.305,3.261,,,,
62,5/24/22 13:12,72.305,3.261,,,,
63,5/24/22 13:17,72.316,3.155,,,,
64,5/24/22 13:22,72.305,3.155,,,,
65,5/24/22 13:27,72.316,3.155,,,,
66,5/24/22 13:32,72.326,3.155,,,,
67,5/24/22 13:37,72.326,3.155,,,,
68,5/24/22 13:42,72.347,3.155,,,,
69,5/24/22 13:47,72.337,3.155,,,,
70,5/24/22 13:52,72.326,3.155,,,,
71,5/24/22 13:57,72.326,3.049,,,,
72,5/24/22 14:02,72.326,3.049,,,,
73,5/24/22 14:07,72.326,3.049,,,,
74,5/24/22 14:12,72.326,3.049,,,,
75,5/24/22 14:17,72.326,3.049,,,,
76,5/24/22 14:22,72.326,3.049,,,,
77,5/24/22 14:27,72.336,3.049,,,,
78,5/24/22 14:32,72.326,3.049,,,,
79,5/24/22 14:37,72.336,3.049,,,,
80,5/24/22 14:42,72.336,3.049,,,,
81,5/24/22 14:47,72.326,3.049,,,,
82,5/24/22 14:52,72.326,3.049,,,,
83,5/24/22 14:57,72.326,3.049,,,,
84,5/24/22 15:02,72.347,3.049,,,,
85,5/24/22 15:07,72.347,3.049,,,,
86,5/24/22 15:12,72.336,3.049,,,,
87,5/24/22 15:17,72.336,3.049,,,,
88,5/24/22 15:22,72.347,3.049,,,,
89,5/24/22 15:27,72.357,3.049,,,,
90,5/24/22 15:32,72.357,3.049,,,,
91,5/24/22 15:37,72.347,3.049,,,,
92,5/24/22 15:42,72.347,3.049,,,,
93,5/24/22 15:47,72.357,3.049,,,,
94,5/24/22 15:52,72.357,3.049,,,,
95,5/24/22 15:57,72.357,3.049,,,,
96,5/24/22 16:02,72.368,3.049,,,,
97,5/24/22 16:07,72.357,3.049,,,,
98,5/24/22 16:12,72.357,3.049,,,,
99,5/24/22 16:17,72.368,3.049,,,,
100,5/24/22 16:22,72.368,3.049,,,,
101,5/24/22 16:27,72.368,3.049,,,,
102,5/24/22 16:32,72.378,3.049,,,,
103,5/24/22 16:37,72.378,3.049,,,,
104,5/24/22 16:42,72.389,3.049,,,,
105,5/24/22 16:47,72.399,3.049,,,,
106,5/24/22 16:52,72.399,3.049,,,,
107,5/24/22 16:57,72.389,3.049,,,,
108,5/24/22 17:02,72.378,3.049,,,,
109,5/24/22 17:07,72.378,3.049,,,,
110,5/24/22 17:12,72.378,3.049,,,,
111,5/24/22 17:17,72.399,3.049,,,,
112,5/24/22 17:22,72.399,3.049,,,,
113,5/24/22 17:27,72.41,3.049,,,,
114,5/24/22 17:32,72.421,3.049,,,,
115,5/24/22 17:37,72.442,3.049,,,,
116,5/24/22 17:42,72.442,3.049,,,,
117,5/24/22 17:47,72.452,3.049,,,,
118,5/24/22 17:52,72.442,3.049,,,,
