watershed,site,date,time,adj_wtr_ht,level_flag
fool,fc4,2020-08-06,10:00,152,In Range
fool,fc4,2020-08-06,10:10,152,In Range
fool,fc4,2020-08-06,10:20,152,In Range
fool,fc4,2020-08-06,10:30,152,In Range
fool,fc4,2020-08-06,10:40,152,In Range
fool,fc4,2020-08-06,10:50,152,In Range
fool,fc4,2020-08-06,11:00,152,In Range
fool,fc4,2020-08-06,11:10,152,In Range
fool,fc4,2020-08-06,11:20,152,In Range
fool,fc4,2020-08-06,11:30,152,In Range
fool,fc4,2020-08-06,11:40,152,In Range
fool,fc4,2020-08-06,11:50,152,In Range
fool,fc4,2020-08-06,12:00,152,In Range
fool,fc4,2020-08-06,12:10,152,In Range
fool,fc4,2020-08-06,12:20,152,In Range
fool,fc4,2020-08-06,12:30,152,In Range
fool,fc4,2020-08-06,12:40,152,In Range
fool,fc4,2020-08-06,12:50,152,In Range
fool,fc4,2020-08-06,13:00,152,In Range
fool,fc4,2020-08-06,13:10,152,In Range
fool,fc4,2020-08-06,13:20,152,In Range
fool,fc4,2020-08-06,13:30,152,In Range
fool,fc4,2020-08-06,13:40,152,In Range
fool,fc4,2020-08-06,13:50,152,In Range
fool,fc4,2020-08-06,14:00,152,In Range
fool,fc4,2020-08-06,14:10,152,In Range
fool,fc4,2020-08-06,14:20,152,In Range
fool,fc4,2020-08-06,14:30,152,In Range
fool,fc4,2020-08-06,14:40,152,In Range
fool,fc4,2020-08-06,14:50,152,In Range
fool,fc4,2020-08-06,15:00,152,In Range
fool,fc4,2020-08-06,15:10,152,In Range
fool,fc4,2020-08-06,15:20,152,In Range
fool,fc4,2020-08-06,15:30,152,In Range
fool,fc4,2020-08-06,15:40,152,In Range
fool,fc4,2020-08-06,15:50,152,In Range
fool,fc4,2020-08-06,16:00,152,In Range
fool,fc4,2020-08-06,16:10,152,In Range
fool,fc4,2020-08-06,16:20,152,In Range
fool,fc4,2020-08-06,16:30,152,In Range
fool,fc4,2020-08-06,16:40,152,In Range
fool,fc4,2020-08-06,16:50,152,In Range
fool,fc4,2020-08-06,17:00,152,In Range
fool,fc4,2020-08-06,17:10,152,In Range
fool,fc4,2020-08-06,17:20,152,In Range
fool,fc4,2020-08-06,17:30,152,In Range
fool,fc4,2020-08-06,17:40,152,In Range
fool,fc4,2020-08-06,17:50,152,In Range
fool,fc4,2020-08-06,18:00,152,In Range
fool,fc4,2020-08-06,18:10,152,In Range
fool,fc4,2020-08-06,18:20,152,In Range
fool,fc4,2020-08-06,18:30,152,In Range
fool,fc4,2020-08-06,18:40,152,In Range
fool,fc4,2020-08-06,18:50,153,In Range
fool,fc4,2020-08-06,19:00,153,In Range
fool,fc4,2020-08-06,19:10,153,In Range
fool,fc4,2020-08-06,19:20,152,In Range
fool,fc4,2020-08-06,19:30,152,In Range
fool,fc4,2020-08-06,19:40,153,In Range
fool,fc4,2020-08-06,19:50,153,In Range
fool,fc4,2020-08-06,20:00,153,In Range
fool,fc4,2020-08-06,20:10,153,In Range
fool,fc4,2020-08-06,20:20,153,In Range
fool,fc4,2020-08-06,20:30,153,In Range
fool,fc4,2020-08-06,20:40,153,In Range
fool,fc4,2020-08-06,20:50,153,In Range
fool,fc4,2020-08-06,21:00,153,In Range
fool,fc4,2020-08-06,21:10,153,In Range
fool,fc4,2020-08-06,21:20,153,In Range
fool,fc4,2020-08-06,21:30,153,In Range
fool,fc4,2020-08-06,21:40,154,In Range
fool,fc4,2020-08-06,21:50,154,In Range
fool,fc4,2020-08-06,22:00,154,In Range
fool,fc4,2020-08-06,22:10,154,In Range
fool,fc4,2020-08-06,22:20,154,In Range
fool,fc4,2020-08-06,22:30,154,In Range
fool,fc4,2020-08-06,22:40,154,In Range
fool,fc4,2020-08-06,22:50,154,In Range
fool,fc4,2020-08-06,23:00,154,In Range
fool,fc4,2020-08-06,23:10,154,In Range
fool,fc4,2020-08-06,23:20,154,In Range
fool,fc4,2020-08-06,23:30,154,In Range
fool,fc4,2020-08-06,23:40,154,In Range
fool,fc4,2020-08-06,23:50,154,In Range
fool,fc4,2020-08-07,00:00,154,In Range
fool,fc4,2020-08-07,00:10,154,In Range
fool,fc4,2020-08-07,00:20,154,In Range
fool,fc4,2020-08-07,00:30,154,In Range
fool,fc4,2020-08-07,00:40,154,In Range
fool,fc4,2020-08-07,00:50,154,In Range
fool,fc4,2020-08-07,01:00,154,In Range
fool,fc4,2020-08-07,01:10,155,In Range
fool,fc4,2020-08-07,01:20,155,In Range
fool,fc4,2020-08-07,01:30,155,In Range
fool,fc4,2020-08-07,01:40,155,In Range
fool,fc4,2020-08-07,01:50,155,In Range
fool,fc4,2020-08-07,02:00,155,In Range
fool,fc4,2020-08-07,02:10,155,In Range
fool,fc4,2020-08-07,02:20,155,In Range
fool,fc4,2020-08-07,02:30,155,In Range
fool,fc4,2020-08-07,02:40,155,In Range
fool,fc4,2020-08-07,02:50,155,In Range
fool,fc4,2020-08-07,03:00,155,In Range
fool,fc4,2020-08-07,03:10,155,In Range
fool,fc4,2020-08-07,03:20,155,In Range
fool,fc4,2020-08-07,03:30,155,In Range
