sample,datetime,wtemp_a_1,ltemp_a_2,wtrhgt__3,wtrhgt__4,batt_mi_5
105,4/30/21 1:20,0.5,-0.6,-41,-41,3.99
106,4/30/21 1:30,0.5,-0.9,-42,-42,3.99
107,4/30/21 1:40,0.5,-0.9,-43,-42,3.99
108,4/30/21 1:50,0.5,-0.9,-44,-43,3.99
109,4/30/21 2:00,0.5,-0.9,-44,-44,3.99
110,4/30/21 2:10,0.5,-0.9,-45,-45,3.99
111,4/30/21 2:20,0.5,-0.9,-46,-46,3.99
112,4/30/21 2:30,0.5,-1.3,-46,-46,3.99
113,4/30/21 2:40,0.5,-1.3,-46,-46,3.99
114,4/30/21 2:50,0.5,-1.3,-46,-46,3.99
115,4/30/21 3:00,0.5,-1.3,-47,-47,3.99
116,4/30/21 3:10,0.5,-1.3,-47,-47,3.99
117,4/30/21 3:20,0.5,-1.3,-47,-47,3.99
118,4/30/21 3:30,0.5,-1.3,-48,-47,3.99
119,4/30/21 3:40,0.5,-1.6,-48,-48,3.99
120,4/30/21 3:50,0.5,-1.6,-48,-48,3.99
121,4/30/21 4:00,0.5,-1.6,-48,-48,3.99
122,4/30/21 4:10,0.5,-1.6,-48,-48,3.99
123,4/30/21 4:20,0.5,-1.6,-48,-48,3.99
124,4/30/21 4:30,0.5,-1.6,-49,-48,3.99
125,4/30/21 4:40,0.5,-1.6,-48,-48,3.99
126,4/30/21 4:50,0.5,-1.6,-49,-49,3.99
127,4/30/21 5:00,0.5,-1.6,-49,-49,3.99
128,4/30/21 5:10,0.5,-2,-49,-49,3.99
129,4/30/21 5:20,0.5,-2,-49,-49,3.99
130,4/30/21 5:30,0.5,-2,-49,-49,3.99
131,4/30/21 5:40,0.5,-2,-49,-49,3.99
132,4/30/21 5:50,0.5,-2,-49,-49,3.99
133,4/30/21 6:00,0.5,-2,-49,-49,3.99
134,4/30/21 6:10,0.5,-2,-49,-49,3.99
135,4/30/21 6:20,0.5,-2,-49,-49,3.99
136,4/30/21 6:30,0.5,-2,-49,-49,3.99
137,4/30/21 6:40,0.5,-2,-49,-49,3.99
138,4/30/21 6:50,0.5,-2,-49,-49,3.99
139,4/30/21 7:00,0.5,-2,-49,-49,3.99
140,4/30/21 7:10,0.5,-2,-49,-49,3.99
141,4/30/21 7:20,0.5,-2,-50,-50,3.99
142,4/30/21 7:30,0.5,-2,-50,-50,3.99
143,4/30/21 7:40,0.5,-1.6,-50,-50,3.99
144,4/30/21 7:50,0.5,-1.6,-50,-50,3.99
145,4/30/21 8:00,0.5,-1.6,-49,-49,3.99
146,4/30/21 8:10,0.5,-1.3,-49,-49,3.99
147,4/30/21 8:20,0.5,-1.3,-49,-49,3.99
148,4/30/21 8:30,0.5,-0.9,-49,-49,3.99
149,4/30/21 8:40,0.5,-0.9,-49,-49,3.99
150,4/30/21 8:50,0.5,-0.6,-49,-49,3.99
151,4/30/21 9:00,0.5,-0.6,-49,-49,3.99
152,4/30/21 9:10,0.5,-0.2,-49,-49,3.99
153,4/30/21 9:20,0.5,0.1,-49,-49,3.99
154,4/30/21 9:30,0.5,0.1,-49,-49,3.99
155,4/30/21 9:40,0.5,0.5,-49,-49,3.99
156,4/30/21 9:50,0.5,0.5,-49,-49,3.99
157,4/30/21 10:00,0.5,0.8,-50,-50,3.99
158,4/30/21 10:10,0.5,0.8,-50,-50,3.99
159,4/30/21 10:20,0.5,1.5,-50,-50,3.99
160,4/30/21 10:30,0.5,1.9,-49,-49,3.99
161,4/30/21 10:40,0.5,2.2,-49,-49,3.99
162,4/30/21 10:50,0.5,2.9,-49,-49,3.99
163,4/30/21 11:00,0.5,2.9,-49,-49,3.99
164,4/30/21 11:10,0.5,3.2,-49,-49,3.99
165,4/30/21 11:20,0.5,3.2,-50,-50,3.99
