Plot Title:  21190584,,,,,,,
#,"Date Time, GMT-06:00","Abs Pres, kPa (LGR S/N: 21190584, SEN S/N: 21190584)","Temp, °C (LGR S/N: 21190584, SEN S/N: 21190584)",Coupler Detached (LGR S/N: 21190584),Coupler Attached (LGR S/N: 21190584),Host Connected (LGR S/N: 21190584),End Of File (LGR S/N: 21190584)
1,5/24/22 8:03,72.772,13.558,,,,
2,5/24/22 8:03,,,Logged,,,
3,5/24/22 8:08,72.777,14.709,,,,
4,5/24/22 8:13,72.796,14.517,,,,
5,5/24/22 8:18,72.794,14.325,,,,
6,5/24/22 8:23,72.787,14.23,,,,
7,5/24/22 8:28,72.802,14.134,,,,
8,5/24/22 8:33,72.799,13.942,,,,
9,5/24/22 8:38,72.302,13.75,,,,
10,5/24/22 8:43,72.284,13.654,,,,
11,5/24/22 8:48,72.292,13.461,,,,
12,5/24/22 8:53,72.3,13.269,,,,
13,5/24/22 8:58,72.293,13.173,,,,
14,5/24/22 9:03,72.268,12.98,,,,
15,5/24/22 9:08,72.261,12.883,,,,
16,5/24/22 9:13,72.265,12.787,,,,
17,5/24/22 9:18,72.269,12.69,,,,
18,5/24/22 9:23,72.262,12.594,,,,
19,5/24/22 9:28,72.254,12.497,,,,
20,5/24/22 9:33,72.258,12.401,,,,
21,5/24/22 9:38,72.258,12.401,,,,
22,5/24/22 9:43,72.24,12.304,,,,
23,5/24/22 9:48,72.255,12.207,,,,
24,5/24/22 9:53,72.277,12.207,,,,
25,5/24/22 9:58,72.237,12.11,,,,
26,5/24/22 10:03,72.251,12.013,,,,
27,5/24/22 10:08,72.244,11.916,,,,
28,5/24/22 10:13,72.226,11.819,,,,
29,5/24/22 10:18,72.237,11.819,,,,
30,5/24/22 10:23,72.208,11.722,,,,
31,5/24/22 10:28,72.2,11.625,,,,
32,5/24/22 10:33,72.204,11.528,,,,
33,5/24/22 10:38,72.215,11.528,,,,
34,5/24/22 10:43,72.208,11.431,,,,
35,5/24/22 10:48,72.197,11.431,,,,
36,5/24/22 10:53,72.197,11.431,,,,
37,5/24/22 10:58,72.167,11.334,,,,
38,5/24/22 11:03,72.175,11.431,,,,
39,5/24/22 11:08,72.164,11.431,,,,
40,5/24/22 11:13,72.134,11.625,,,,
41,5/24/22 11:18,72.116,11.819,,,,
42,5/24/22 11:23,72.153,12.013,,,,
43,5/24/22 11:28,72.139,13.173,,,,
44,5/24/22 11:33,72.175,14.134,,,,
45,5/24/22 11:38,72.165,15.091,,,,
46,5/24/22 11:43,72.272,14.421,,,,
47,5/24/22 11:48,72.079,14.804,,,,
48,5/24/22 11:53,74.5,8.779,,,,
49,5/24/22 11:58,74.299,5.655,,,,
50,5/24/22 12:03,74.16,4.102,,,,
51,5/24/22 12:08,74.072,3.261,,,,
52,5/24/22 12:13,74.001,2.624,,,,
53,5/24/22 12:18,73.961,2.195,,,,
54,5/24/22 12:23,73.93,1.872,,,,
55,5/24/22 12:28,73.921,1.656,,,,
56,5/24/22 12:33,73.91,1.548,,,,
57,5/24/22 12:38,73.878,1.439,,,,
58,5/24/22 12:43,72.186,1.656,,,,
59,5/24/22 12:48,72.556,1.764,,,,
60,5/24/22 12:53,73.006,1.33,,,,
61,5/24/22 12:58,73.388,1.221,,,,
62,5/24/22 13:03,73.607,1.112,,,,
63,5/24/22 13:08,73.683,1.003,,,,
64,5/24/22 13:13,73.76,1.003,,,,
65,5/24/22 13:18,73.814,1.003,,,,
66,5/24/22 13:23,73.847,1.003,,,,
67,5/24/22 13:28,73.847,0.893,,,,
68,5/24/22 13:33,73.891,0.893,,,,
69,5/24/22 13:38,73.913,0.893,,,,
70,5/24/22 13:43,73.902,0.893,,,,
71,5/24/22 13:48,73.891,0.893,,,,
72,5/24/22 13:53,73.913,0.893,,,,
73,5/24/22 13:58,73.913,0.893,,,,
74,5/24/22 14:03,73.902,0.893,,,,
75,5/24/22 14:08,73.902,0.893,,,,
76,5/24/22 14:13,73.913,0.893,,,,
77,5/24/22 14:18,73.913,0.893,,,,
78,5/24/22 14:23,73.902,0.893,,,,
79,5/24/22 14:28,73.913,0.893,,,,
80,5/24/22 14:33,73.923,0.893,,,,
81,5/24/22 14:38,73.923,0.893,,,,
82,5/24/22 14:43,73.913,0.893,,,,
83,5/24/22 14:48,73.913,0.893,,,,
84,5/24/22 14:53,73.913,0.893,,,,
85,5/24/22 14:58,73.913,0.893,,,,
86,5/24/22 15:03,73.923,0.893,,,,
87,5/24/22 15:08,73.913,0.893,,,,
88,5/24/22 15:13,73.923,0.893,,,,
89,5/24/22 15:18,73.923,0.893,,,,
90,5/24/22 15:23,73.923,0.893,,,,
91,5/24/22 15:28,73.923,0.893,,,,
92,5/24/22 15:33,73.902,0.893,,,,
93,5/24/22 15:38,73.923,0.893,,,,
94,5/24/22 15:43,73.913,0.893,,,,
95,5/24/22 15:48,73.923,0.893,,,,
96,5/24/22 15:53,73.913,0.893,,,,
97,5/24/22 15:58,73.923,0.893,,,,
98,5/24/22 16:03,73.923,0.893,,,,
99,5/24/22 16:08,73.923,0.893,,,,
100,5/24/22 16:13,73.934,0.893,,,,
101,5/24/22 16:18,73.923,0.893,,,,
102,5/24/22 16:23,73.923,0.893,,,,
103,5/24/22 16:28,73.923,0.893,,,,
104,5/24/22 16:33,73.934,0.893,,,,
105,5/24/22 16:38,73.945,0.893,,,,
106,5/24/22 16:43,73.945,0.893,,,,
107,5/24/22 16:48,73.956,0.893,,,,
108,5/24/22 16:53,73.956,0.893,,,,
109,5/24/22 16:58,73.934,0.893,,,,
110,5/24/22 17:03,73.945,0.893,,,,
111,5/24/22 17:08,73.956,0.893,,,,
112,5/24/22 17:13,73.956,0.893,,,,
113,5/24/22 17:18,73.967,0.893,,,,
114,5/24/22 17:23,73.967,0.893,,,,
115,5/24/22 17:28,73.967,0.893,,,,
116,5/24/22 17:33,73.989,0.893,,,,
117,5/24/22 17:38,73.978,0.893,,,,
118,5/24/22 17:43,74,0.893,,,,
119,5/24/22 17:48,73.989,0.893,,,,
120,5/24/22 17:53,74,0.893,,,,
121,5/24/22 17:58,74,0.893,,,,
122,5/24/22 18:03,73.989,0.893,,,,
123,5/24/22 18:08,74,0.893,,,,
124,5/24/22 18:13,73.989,0.893,,,,
125,5/24/22 18:18,74,0.893,,,,
126,5/24/22 18:23,74,0.893,,,,
127,5/24/22 18:28,74.011,0.893,,,,
128,5/24/22 18:33,74.011,0.893,,,,
129,5/24/22 18:38,74.022,0.893,,,,
130,5/24/22 18:43,74.022,0.893,,,,
131,5/24/22 18:48,74.011,0.893,,,,
132,5/24/22 18:53,74.022,0.893,,,,
