"Plot Title: 20879900"
"#","Date Time, GMT-06:00","Abs Pres, kPa (LGR S/N: 20879900, SEN S/N: 20879900)","Temp, °C (LGR S/N: 20879900, SEN S/N: 20879900)","Coupler Detached (LGR S/N: 20879900)","Coupler Attached (LGR S/N: 20879900)","Host Connected (LGR S/N: 20879900)","Stopped (LGR S/N: 20879900)","End Of File (LGR S/N: 20879900)"
101,09/17/20 09:30:00 AM,70.618,3.155,,,,,
102,09/17/20 09:40:00 AM,70.625,3.472,,,,,
103,09/17/20 09:50:00 AM,70.632,3.788,,,,,
104,09/17/20 10:00:00 AM,70.634,4.207,,,,,
105,09/17/20 10:10:00 AM,70.636,4.623,,,,,
106,09/17/20 10:20:00 AM,70.637,5.037,,,,,
107,09/17/20 10:30:00 AM,70.648,5.450,,,,,
108,09/17/20 10:40:00 AM,70.634,5.962,,,,,
109,09/17/20 10:50:00 AM,70.645,6.370,,,,,
110,09/17/20 11:00:00 AM,70.645,6.775,,,,,
111,09/17/20 11:10:00 AM,70.649,7.280,,,,,
112,09/17/20 11:20:00 AM,70.658,7.682,,,,,
113,09/17/20 11:30:00 AM,70.643,8.182,,,,,
114,09/17/20 11:40:00 AM,70.646,8.680,,,,,
115,09/17/20 11:50:00 AM,70.639,9.176,,,,,
116,09/17/20 12:00:00 PM,70.626,9.768,,,,,
117,09/17/20 12:10:00 PM,70.624,10.846,,,,,
118,09/17/20 12:20:00 PM,70.607,12.304,,,,,
119,09/17/20 12:30:00 PM,70.634,12.980,,,,,
120,09/17/20 12:40:00 PM,70.628,13.076,,,,,
121,09/17/20 12:50:00 PM,70.638,13.076,,,,,
122,09/17/20 01:00:00 PM,70.622,13.173,,,,,
123,09/17/20 01:10:00 PM,70.610,13.365,,,,,
124,09/17/20 01:20:00 PM,70.621,13.654,,,,,
125,09/17/20 01:30:00 PM,70.614,14.230,,,,,
126,09/17/20 01:40:00 PM,70.596,14.517,,,,,
127,09/17/20 01:50:00 PM,70.589,14.613,,,,,
128,09/17/20 02:00:00 PM,70.589,14.613,,,,,
129,09/17/20 02:10:00 PM,70.589,14.613,,,,,
130,09/17/20 02:20:00 PM,70.572,14.421,,,,,
131,09/17/20 02:30:00 PM,70.555,14.230,,,,,
132,09/17/20 02:40:00 PM,70.555,14.230,,,,,
133,09/17/20 02:50:00 PM,70.552,14.134,,,,,
134,09/17/20 03:00:00 PM,70.548,14.038,,,,,
135,09/17/20 03:10:00 PM,70.550,13.846,,,,,
136,09/17/20 03:20:00 PM,70.543,13.654,,,,,
137,09/17/20 03:30:00 PM,70.545,13.461,,,,,
138,09/17/20 03:40:00 PM,70.532,13.365,,,,,
139,09/17/20 03:50:00 PM,70.534,13.173,,,,,
140,09/17/20 04:00:00 PM,70.532,12.883,,,,,
141,09/17/20 04:10:00 PM,70.519,12.787,,,,,
142,09/17/20 04:20:00 PM,70.530,12.594,,,,,
143,09/17/20 04:30:00 PM,70.532,12.401,,,,,
144,09/17/20 04:40:00 PM,70.515,12.207,,,,,
145,09/17/20 04:50:00 PM,70.522,11.916,,,,,
146,09/17/20 05:00:00 PM,70.501,11.625,,,,,
147,09/17/20 05:10:00 PM,70.508,11.334,,,,,
148,09/17/20 05:20:00 PM,70.505,11.041,,,,,
149,09/17/20 05:30:00 PM,70.503,10.748,,,,,
150,09/17/20 05:40:00 PM,70.510,10.455,,,,,
151,09/17/20 05:50:00 PM,70.507,10.161,,,,,
152,09/17/20 06:00:00 PM,70.523,9.866,,,,,
153,09/17/20 06:10:00 PM,70.520,9.571,,,,,
154,09/17/20 06:20:00 PM,70.526,9.275,,,,,
155,09/17/20 06:30:00 PM,70.523,8.978,,,,,
156,09/17/20 06:40:00 PM,70.519,8.680,,,,,
157,09/17/20 06:50:00 PM,70.520,8.481,,,,,
158,09/17/20 07:00:00 PM,70.511,8.082,,,,,
159,09/17/20 07:10:00 PM,70.517,7.782,,,,,
160,09/17/20 07:20:00 PM,70.512,7.481,,,,,
161,09/17/20 07:30:00 PM,70.498,7.179,,,,,
162,09/17/20 07:40:00 PM,70.513,6.877,,,,,
163,09/17/20 07:50:00 PM,70.523,6.674,,,,,
164,09/17/20 08:00:00 PM,70.528,6.573,,,,,
165,09/17/20 08:10:00 PM,70.528,6.370,,,,,
166,09/17/20 08:20:00 PM,70.528,6.370,,,,,
167,09/17/20 08:30:00 PM,70.542,6.268,,,,,
168,09/17/20 08:40:00 PM,70.557,6.166,,,,,
169,09/17/20 08:50:00 PM,70.561,6.064,,,,,
170,09/17/20 09:00:00 PM,70.576,5.962,,,,,
171,09/17/20 09:10:00 PM,70.581,5.860,,,,,
172,09/17/20 09:20:00 PM,70.590,5.655,,,,,
173,09/17/20 09:30:00 PM,70.570,5.450,,,,,
174,09/17/20 09:40:00 PM,70.584,5.347,,,,,
175,09/17/20 09:50:00 PM,70.570,5.244,,,,,
176,09/17/20 10:00:00 PM,70.564,5.141,,,,,
177,09/17/20 10:10:00 PM,70.564,5.141,,,,,
178,09/17/20 10:20:00 PM,70.574,5.141,,,,,
179,09/17/20 10:30:00 PM,70.588,5.037,,,,,
180,09/17/20 10:40:00 PM,70.579,5.037,,,,,
181,09/17/20 10:50:00 PM,70.564,4.934,,,,,
182,09/17/20 11:00:00 PM,70.564,4.934,,,,,
183,09/17/20 11:10:00 PM,70.569,5.037,,,,,
184,09/17/20 11:20:00 PM,70.579,5.037,,,,,
