sample,datetime,wtemp_a_1,wtrhgt_2,wtrhgt_3
2319,3/17/22 14:20,0.7,56,55
2320,3/17/22 14:30,0.7,55,55
2321,3/17/22 14:40,0.7,55,55
2322,3/17/22 14:50,0.7,54,55
2323,3/17/22 15:00,0.7,55,55
2324,3/17/22 15:10,0.7,56,55
2325,3/17/22 15:20,0.7,56,55
2326,3/17/22 15:30,0.7,55,55
2327,3/17/22 15:40,0.7,55,55
2328,3/17/22 15:50,0.7,56,55
2329,3/17/22 16:00,0.7,55,55
2330,3/17/22 16:10,0.7,55,55
2331,3/17/22 16:20,0.7,55,55
2332,3/17/22 16:30,0.7,55,55
2333,3/17/22 16:40,0.7,55,55
2334,3/17/22 16:50,0.7,55,55
2335,3/17/22 17:00,0.8,55,55
2336,3/17/22 17:10,0.8,55,55
2337,3/17/22 17:20,0.8,55,55
2338,3/17/22 17:30,0.8,55,55
2339,3/17/22 17:40,0.8,55,55
2340,3/17/22 17:50,0.7,56,55
2341,3/17/22 18:00,0.7,55,55
2342,3/17/22 18:10,0.7,55,55
2343,3/17/22 18:20,0.7,55,55
2344,3/17/22 18:30,0.7,56,55
2345,3/17/22 18:40,0.7,55,55
2346,3/17/22 18:50,0.7,55,55
2347,3/17/22 19:00,0.7,56,55
2348,3/17/22 19:10,0.7,56,55
2349,3/17/22 19:20,0.7,55,55
2350,3/17/22 19:30,0.7,55,55
2351,3/17/22 19:40,0.7,56,55
2352,3/17/22 19:50,0.7,55,55
2353,3/17/22 20:00,0.7,55,55
2354,3/17/22 20:10,0.7,55,55
2355,3/17/22 20:20,0.7,55,55
2356,3/17/22 20:30,0.7,55,55
2357,3/17/22 20:40,0.7,55,55
2358,3/17/22 20:50,0.7,55,55
2359,3/17/22 21:00,0.7,55,55
2360,3/17/22 21:10,0.7,55,55
2361,3/17/22 21:20,0.7,56,55
2362,3/17/22 21:30,0.7,55,55
2363,3/17/22 21:40,0.6,56,55
2364,3/17/22 21:50,0.6,55,55
2365,3/17/22 22:00,0.6,56,55
2366,3/17/22 22:10,0.6,56,55
2367,3/17/22 22:20,0.6,55,55
2368,3/17/22 22:30,0.6,55,55
2369,3/17/22 22:40,0.6,55,55
2370,3/17/22 22:50,0.6,55,55
2371,3/17/22 23:00,0.6,55,55
2372,3/17/22 23:10,0.6,56,55
2373,3/17/22 23:20,0.6,55,55
2374,3/17/22 23:30,0.6,56,55
2375,3/17/22 23:40,0.6,55,55
2376,3/17/22 23:50,0.6,56,55
2377,3/17/22 0:00,0.5,55,55
2378,3/18/22 0:10,0.5,55,55
2379,3/18/22 0:20,0.5,56,55
2380,3/18/22 0:30,0.5,55,55
2381,3/18/22 0:40,0.5,56,55
2382,3/18/22 0:50,0.5,55,55
2383,3/18/22 1:00,0.5,55,55
2384,3/18/22 1:10,0.5,55,55
2385,3/18/22 1:20,0.5,56,55
2386,3/18/22 1:30,0.5,55,55
2387,3/18/22 1:40,0.4,55,55
2388,3/18/22 1:50,0.4,55,55
2389,3/18/22 2:00,0.4,55,55
2390,3/18/22 2:10,0.4,56,56
2391,3/18/22 2:20,0.4,56,56
2392,3/18/22 2:30,0.4,56,55
2393,3/18/22 2:40,0.4,55,55
2394,3/18/22 2:50,0.4,55,55
2395,3/18/22 3:00,0.4,55,55
2396,3/18/22 3:10,0.4,55,56
2397,3/18/22 3:20,0.3,55,55
2398,3/18/22 3:30,0.3,55,55
2399,3/18/22 3:40,0.3,55,55
2400,3/18/22 3:50,0.3,56,55
2401,3/18/22 4:00,0.3,55,55
2402,3/18/22 4:10,0.3,56,55
2403,3/18/22 4:20,0.3,56,55
2404,3/18/22 4:30,0.3,55,55
2405,3/18/22 4:40,0.3,56,55
2406,3/18/22 4:50,0.3,56,56
2407,3/18/22 5:00,0.3,56,56
2408,3/18/22 5:10,0.2,55,56
2409,3/18/22 5:20,0.2,55,55
2410,3/18/22 5:30,0.2,55,55
2411,3/18/22 5:40,0.2,55,56
2412,3/18/22 5:50,0.2,56,55
2413,3/18/22 6:00,0.2,55,56
2414,3/18/22 6:10,0.2,55,56
2415,3/18/22 6:20,0.2,55,56
2416,3/18/22 6:30,0.2,55,55
2417,3/18/22 6:40,0.2,55,55
2418,3/18/22 6:50,0.2,55,55
2419,3/18/22 7:00,0.2,56,56
2420,3/18/22 7:10,0.2,56,55
2421,3/18/22 7:20,0.2,55,56
2422,3/18/22 7:30,0.1,55,55
2423,3/18/22 7:40,0.1,56,55
