"TOA5","DH1_CR1000","CR1000","63433","CR1000.Std.27","CPU:DH1_CR1000_63433_FEF_10min_program_2022Calibrated.CR1","6303","Data_10min"
"TIMESTAMP","RECORD","SC_uS","SC_1","Ct_1","Ct_2","Temp_C","CDOM","CDOM_ave_mV","CDOM_ave","CDOM_stdev","CDOM_med","Turb","Turb_ave_mV","Turb_ave","Turb_stdev","Turb_med","CDOM_mV","TURB_mV"
"TS","RN","uS/cm","","","","Deg C","ppb QSE","millivolts","ppb QSE","ppb QSE","ppb QSE","NTU","millivolts","NTU","NTU","NTU","millivolts","millivolts"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2022-04-22 17:20:00",23,124.0448,136.8573,0.129379,121.8701,19.52,6.935992,205.7071,6.836243,0.05168024,6.84058,151.8618,1410.011,151.7937,0.07460282,151.712,204.4597,1409.262
"2022-04-22 17:30:00",24,124.0703,136.8828,0.1294029,121.8929,19.52,6.84058,204.4597,6.792874,0.03523313,6.792874,152.3112,1413.753,152.2023,0.06671321,152.1614,204.4597,1413.379
"2022-04-22 17:40:00",25,124.1597,136.9725,0.1294869,121.9727,19.52,6.983698,205.0834,6.814559,0.07973322,6.792874,152.9104,1419.492,152.8287,0.07458762,152.7606,204.4597,1420.24
"2022-04-22 17:50:00",26,124.1981,137.011,0.129523,122.007,19.52,6.888287,203.7112,6.766853,0.06857266,6.745169,153.21,1422.236,153.1283,0.07459522,153.0602,204.4597,1421.612
"2022-04-22 18:00:00",27,124.2747,137.0877,0.1295949,122.0754,19.52,6.935992,204.9587,6.810222,0.05850798,6.792874,153.6594,1426.103,153.5505,0.06672,153.5096,207.2041,1427.101
"2022-04-22 18:10:00",28,124.3306,137.1437,0.129715,122.1895,19.55,6.84058,203.4617,6.758179,0.04589748,6.745169,154.1088,1430.469,154.0271,0.07458762,153.959,204.4597,1431.218
"2022-04-22 18:20:00",29,124.3354,137.1485,0.129787,122.2579,19.57,6.84058,203.2122,6.749505,0.04293321,6.745169,154.5582,1435.21,154.5446,0.04306757,154.5582,203.0875,1435.334
"2022-04-22 18:30:00",30,124.412,137.2253,0.1298591,122.3264,19.57,6.792874,202.838,6.736494,0.03974847,6.745169,155.1574,1440.574,155.1302,0.05778122,155.1574,203.0875,1440.823
"2022-04-22 18:40:00",31,124.3654,137.1786,0.129883,122.3491,19.59,6.935992,204.8339,6.805885,0.07902212,6.792874,155.6068,1443.693,155.4707,0.04306319,155.457,203.0875,1443.568
"2022-04-22 18:50:00",32,124.3654,137.1786,0.129883,122.3491,19.59,6.888287,205.2082,6.818895,0.04711095,6.792874,155.9064,1447.56,155.8928,0.04306319,155.9064,204.4597,1446.312
