sample,datetime,wtemp_a_1,ltemp_a_2,wtrhgt__3,wtrhgt__4
16868,24/08/2021 11:10:00,10.1,10.9,1,1
16869,24/08/2021 11:20:00,10.1,10.9,1,1
16870,24/08/2021 11:30:00,10.1,10.9,1,1
16871,24/08/2021 11:40:00,10.1,10.9,1,1
16872,24/08/2021 11:50:00,10.1,10.9,1,1
16873,24/08/2021 12:00:00,10.1,10.8,1,1
16874,24/08/2021 12:10:00,10.1,10.8,1,1
16875,24/08/2021 12:20:00,10.1,10.8,1,1
16876,24/08/2021 12:30:00,10.1,10.8,1,1
16877,24/08/2021 12:40:00,10.1,10.8,1,1
16878,24/08/2021 12:50:00,10.1,10.8,0,1
16879,24/08/2021 13:00:00,10.1,10.8,1,0
16880,24/08/2021 13:10:00,10.1,10.8,0,0
16881,24/08/2021 13:20:00,10.1,10.8,0,0
16882,24/08/2021 13:30:00,10.1,10.8,0,0
16883,24/08/2021 13:40:00,10.1,10.8,0,0
16884,24/08/2021 13:50:00,10.1,10.8,0,0
16885,24/08/2021 14:00:00,10.1,10.8,0,0
16886,24/08/2021 14:10:00,10.1,10.8,0,0
16887,24/08/2021 14:20:00,10.1,10.8,0,0
16888,24/08/2021 14:30:00,10.1,10.9,0,0
16889,24/08/2021 14:40:00,10.1,10.9,0,0
16890,24/08/2021 14:50:00,10.1,10.9,0,0
16891,24/08/2021 15:00:00,10.1,10.9,0,0
16892,24/08/2021 15:10:00,10.1,11.0,0,0
16893,24/08/2021 15:20:00,10.1,11.0,0,0
16894,24/08/2021 15:30:00,10.1,11.1,0,0
16895,24/08/2021 15:40:00,10.1,11.1,0,0
16896,24/08/2021 15:50:00,10.1,11.1,0,0
16897,24/08/2021 16:00:00,10.1,11.2,0,0
16898,24/08/2021 16:10:00,10.1,11.2,0,0
16899,24/08/2021 16:20:00,10.1,11.2,0,0
16900,24/08/2021 16:30:00,10.1,11.3,0,0
16901,24/08/2021 16:40:00,10.1,11.4,0,0
16902,24/08/2021 16:50:00,10.1,11.4,0,0
16903,24/08/2021 17:00:00,10.1,11.5,0,0
16904,24/08/2021 17:10:00,10.1,11.5,0,0
16905,24/08/2021 17:20:00,10.1,11.6,0,0
16906,24/08/2021 17:30:00,10.1,11.6,0,0
16907,24/08/2021 17:40:00,10.1,11.7,0,0
16908,24/08/2021 17:50:00,10.1,11.7,0,0
16909,24/08/2021 18:00:00,10.1,11.8,0,0
16910,24/08/2021 18:10:00,10.1,11.8,0,0
16911,24/08/2021 18:20:00,10.1,11.9,0,0
16912,24/08/2021 18:30:00,10.1,11.9,0,0
16913,24/08/2021 18:40:00,10.1,12.0,0,0
