"Plot Title: 20879773"
"#","Date Time, GMT-06:00","Abs Pres, kPa (LGR S/N: 20879773, SEN S/N: 20879773)","Temp, °C (LGR S/N: 20879773, SEN S/N: 20879773)","Abs Pres Barom., kPa (LGR S/N: 20833949, SEN S/N: 20833949)","Sensor Depth, meters (LGR S/N: 20879773)"
1,09/18/20 01:00:00 AM,72.918,4.415,71.359,0.159
2,09/18/20 01:10:00 AM,72.898,4.415,71.361,0.157
3,09/18/20 01:20:00 AM,72.908,4.415,71.355,0.158
4,09/18/20 01:30:00 AM,72.908,4.415,71.357,0.158
5,09/18/20 01:40:00 AM,72.908,4.415,71.357,0.158
6,09/18/20 01:50:00 AM,72.908,4.415,71.360,0.158
7,09/18/20 02:00:00 AM,72.898,4.415,71.362,0.157
8,09/18/20 02:10:00 AM,72.908,4.415,71.365,0.157
9,09/18/20 02:20:00 AM,72.928,4.415,71.367,0.159
10,09/18/20 02:30:00 AM,72.908,4.415,71.345,0.159
11,09/18/20 02:40:00 AM,72.918,4.415,71.356,0.159
12,09/18/20 02:50:00 AM,72.908,4.415,71.367,0.157
13,09/18/20 03:00:00 AM,72.908,4.415,71.370,0.157
14,09/18/20 03:10:00 AM,72.928,4.415,71.372,0.159
15,09/18/20 03:20:00 AM,72.908,4.415,71.365,0.157
16,09/18/20 03:30:00 AM,72.908,4.415,71.358,0.158
17,09/18/20 03:40:00 AM,72.898,4.415,71.351,0.158
18,09/18/20 03:50:00 AM,72.898,4.415,71.345,0.158
19,09/18/20 04:00:00 AM,72.898,4.415,71.347,0.158
20,09/18/20 04:10:00 AM,72.898,4.415,71.340,0.159
21,09/18/20 04:20:00 AM,72.879,4.415,71.342,0.157
22,09/18/20 04:30:00 AM,72.888,4.415,71.342,0.158
23,09/18/20 04:40:00 AM,72.879,4.415,71.335,0.157
24,09/18/20 04:50:00 AM,72.879,4.415,71.326,0.158
25,09/18/20 05:00:00 AM,72.879,4.415,71.333,0.158
26,09/18/20 05:10:00 AM,72.888,4.415,71.333,0.159
27,09/18/20 05:20:00 AM,72.879,4.415,71.331,0.158
28,09/18/20 05:30:00 AM,72.869,4.415,71.322,0.158
29,09/18/20 05:40:00 AM,72.869,4.415,71.322,0.158
30,09/18/20 05:50:00 AM,72.888,4.415,71.313,0.161
31,09/18/20 06:00:00 AM,72.888,4.415,71.331,0.159
32,09/18/20 06:10:00 AM,72.888,4.415,71.331,0.159
33,09/18/20 06:20:00 AM,72.888,4.415,71.349,0.157
34,09/18/20 06:30:00 AM,72.898,4.415,71.322,0.161
35,09/18/20 06:40:00 AM,72.888,4.415,71.331,0.159
36,09/18/20 06:50:00 AM,72.898,4.415,71.340,0.159
37,09/18/20 07:00:00 AM,72.898,4.415,71.358,0.157
38,09/18/20 07:10:00 AM,72.898,4.415,71.349,0.158
39,09/18/20 07:20:00 AM,72.908,4.415,71.360,0.158
40,09/18/20 07:30:00 AM,72.908,4.415,71.351,0.159
41,09/18/20 07:40:00 AM,72.898,4.415,71.358,0.157
42,09/18/20 07:50:00 AM,72.898,4.415,71.358,0.157
43,09/18/20 08:00:00 AM,72.908,4.415,71.365,0.157
44,09/18/20 08:10:00 AM,72.908,4.415,71.354,0.158
45,09/18/20 08:20:00 AM,72.908,4.415,71.342,0.160
46,09/18/20 08:30:00 AM,72.908,4.415,71.340,0.160
47,09/18/20 08:40:00 AM,72.898,4.415,71.345,0.158
48,09/18/20 08:50:00 AM,72.888,4.415,71.358,0.156
49,09/18/20 09:00:00 AM,72.908,4.415,71.360,0.158
50,09/18/20 09:10:00 AM,72.908,4.415,71.362,0.158
51,09/18/20 09:20:00 AM,72.918,4.415,71.373,0.158
52,09/18/20 09:30:00 AM,72.918,4.415,71.374,0.157
53,09/18/20 09:40:00 AM,72.908,4.415,71.373,0.157
54,09/18/20 09:50:00 AM,72.898,4.415,71.374,0.155
55,09/18/20 10:00:00 AM,72.918,4.415,71.372,0.158
