"Plot Title: 20879785"
"#","Date Time, GMT-06:00","Abs Pres, kPa (LGR S/N: 20879785, SEN S/N: 20879785)","Temp, °C (LGR S/N: 20879785, SEN S/N: 20879785)","Abs Pres Barom., kPa (LGR S/N: 20833949, SEN S/N: 20833949)","Sensor Depth, meters (LGR S/N: 20879785)"
1,09/18/20 01:00:00 AM,,,71.359,
2,09/18/20 01:10:00 AM,,,71.361,
3,09/18/20 01:20:00 AM,,,71.355,
4,09/18/20 01:30:00 AM,,,71.357,
5,09/18/20 01:40:00 AM,,,71.357,
6,09/18/20 01:50:00 AM,,,71.360,
7,09/18/20 02:00:00 AM,,,71.362,
8,09/18/20 02:10:00 AM,,,71.365,
9,09/18/20 02:20:00 AM,,,71.367,
10,09/18/20 02:30:00 AM,,,71.345,
11,09/18/20 02:40:00 AM,,,71.356,
12,09/18/20 02:50:00 AM,,,71.367,
13,09/18/20 03:00:00 AM,,,71.370,
14,09/18/20 03:10:00 AM,,,71.372,
15,09/18/20 03:20:00 AM,,,71.365,
16,09/18/20 03:30:00 AM,,,71.358,
17,09/18/20 03:40:00 AM,,,71.351,
18,09/18/20 03:50:00 AM,,,71.345,
19,09/18/20 04:00:00 AM,,,71.347,
20,09/18/20 04:10:00 AM,,,71.340,
21,09/18/20 04:20:00 AM,,,71.342,
22,09/18/20 04:30:00 AM,,,71.342,
23,09/18/20 04:40:00 AM,,,71.335,
24,09/18/20 04:50:00 AM,,,71.326,
25,09/18/20 05:00:00 AM,,,71.333,
26,09/18/20 05:10:00 AM,,,71.333,
27,09/18/20 05:20:00 AM,,,71.331,
28,09/18/20 05:30:00 AM,,,71.322,
29,09/18/20 05:40:00 AM,,,71.322,
30,09/18/20 05:50:00 AM,,,71.313,
31,09/18/20 06:00:00 AM,,,71.331,
32,09/18/20 06:10:00 AM,,,71.331,
33,09/18/20 06:20:00 AM,,,71.349,
34,09/18/20 06:30:00 AM,,,71.322,
35,09/18/20 06:40:00 AM,,,71.331,
36,09/18/20 06:50:00 AM,,,71.340,
37,09/18/20 07:00:00 AM,,,71.358,
38,09/18/20 07:10:00 AM,,,71.349,
39,09/18/20 07:20:00 AM,,,71.360,
40,09/18/20 07:30:00 AM,,,71.351,
41,09/18/20 07:40:00 AM,,,71.358,
42,09/18/20 07:50:00 AM,,,71.358,
43,09/18/20 08:00:00 AM,,,71.365,
44,09/18/20 08:10:00 AM,,,71.354,
45,09/18/20 08:20:00 AM,,,71.342,
46,09/18/20 08:30:00 AM,,,71.340,
47,09/18/20 08:40:00 AM,,,71.345,
48,09/18/20 08:50:00 AM,,,71.358,
49,09/18/20 09:00:00 AM,,,71.360,
50,09/18/20 09:10:00 AM,,,71.362,
51,09/18/20 09:20:00 AM,,,71.373,
52,09/18/20 09:30:00 AM,,,71.374,
53,09/18/20 09:40:00 AM,,,71.373,
54,09/18/20 09:50:00 AM,,,71.374,
55,09/18/20 10:00:00 AM,,,71.372,
56,09/18/20 10:10:00 AM,,,71.397,
57,09/18/20 10:20:00 AM,,,71.382,
58,09/18/20 10:30:00 AM,,,71.400,
59,09/18/20 10:40:00 AM,,,71.399,
60,09/18/20 10:50:00 AM,,,71.401,
61,09/18/20 11:00:00 AM,,,71.363,
62,09/18/20 11:10:00 AM,,,71.378,
63,09/18/20 11:20:00 AM,,,71.406,
64,09/18/20 11:30:00 AM,,,71.383,
65,09/18/20 11:40:00 AM,,,71.362,
66,09/18/20 11:50:00 AM,,,71.365,
67,09/18/20 12:00:00 PM,,,71.361,
68,09/18/20 12:10:00 PM,,,71.347,
69,09/18/20 12:20:00 PM,,,71.344,
70,09/18/20 12:30:00 PM,,,71.332,
71,09/18/20 12:40:00 PM,,,71.332,
72,09/18/20 12:50:00 PM,,,71.360,
73,09/18/20 01:00:00 PM,,,71.359,
74,09/18/20 01:10:00 PM,,,71.359,
75,09/18/20 01:20:00 PM,,,71.341,
76,09/18/20 01:30:00 PM,,,71.314,
77,09/18/20 01:40:00 PM,,,71.305,
78,09/18/20 01:50:00 PM,,,71.305,
79,09/18/20 02:00:00 PM,,,71.282,
80,09/18/20 02:10:00 PM,,,71.268,
81,09/18/20 02:20:00 PM,,,71.263,
82,09/18/20 02:30:00 PM,,,71.258,
83,09/18/20 02:40:00 PM,,,71.245,
84,09/18/20 02:50:00 PM,,,71.240,
85,09/18/20 03:00:00 PM,,,71.231,
86,09/18/20 03:10:00 PM,,,71.222,
87,09/18/20 03:20:00 PM,,,71.227,
88,09/18/20 03:30:00 PM,,,71.223,
89,09/18/20 03:40:00 PM,,,71.246,
90,09/18/20 03:50:00 PM,,,71.241,
91,09/18/20 04:00:00 PM,,,71.227,
92,09/18/20 04:10:00 PM,,,71.222,
93,09/18/20 04:20:00 PM,,,71.222,
94,09/18/20 04:30:00 PM,,,71.199,
95,09/18/20 04:40:00 PM,,,71.189,
96,09/18/20 04:50:00 PM,,,71.188,
97,09/18/20 05:00:00 PM,,,71.197,
98,09/18/20 05:10:00 PM,,,71.177,
99,09/18/20 05:20:00 PM,,,71.180,
100,09/18/20 05:30:00 PM,,,71.178,
101,09/18/20 05:40:00 PM,,,71.181,
102,09/18/20 05:50:00 PM,,,71.180,
103,09/18/20 06:00:00 PM,,,71.183,
104,09/18/20 06:10:00 PM,,,71.182,
105,09/18/20 06:20:00 PM,,,71.166,
106,09/18/20 06:30:00 PM,,,71.178,
107,09/18/20 06:40:00 PM,,,71.171,
108,09/18/20 06:50:00 PM,,,71.177,
109,09/18/20 07:00:00 PM,,,71.174,
110,09/18/20 07:10:00 PM,,,71.161,
111,09/18/20 07:20:00 PM,,,71.166,
112,09/18/20 07:30:00 PM,,,71.171,
113,09/18/20 07:40:00 PM,,,71.176,
114,09/18/20 07:50:00 PM,,,71.177,
115,09/18/20 08:00:00 PM,,,71.172,
116,09/18/20 08:10:00 PM,,,71.151,
117,09/18/20 08:20:00 PM,,,71.170,
118,09/18/20 08:30:00 PM,,,71.194,
119,09/18/20 08:40:00 PM,,,71.182,
120,09/18/20 08:50:00 PM,,,71.179,
121,09/18/20 09:00:00 PM,,,71.183,
122,09/18/20 09:10:00 PM,,,71.180,
123,09/18/20 09:20:00 PM,,,71.183,
124,09/18/20 09:30:00 PM,,,71.177,
125,09/18/20 09:40:00 PM,,,71.179,
126,09/18/20 09:50:00 PM,,,71.173,
127,09/18/20 10:00:00 PM,,,71.182,
128,09/18/20 10:10:00 PM,,,71.167,
129,09/18/20 10:20:00 PM,,,71.179,
130,09/18/20 10:30:00 PM,,,71.164,
131,09/18/20 10:40:00 PM,,,71.158,
132,09/18/20 10:50:00 PM,,,71.154,
133,09/18/20 11:00:00 PM,,,71.142,
134,09/18/20 11:10:00 PM,,,71.120,
135,09/18/20 11:20:00 PM,,,71.144,
136,09/18/20 11:30:00 PM,,,71.147,
137,09/18/20 11:40:00 PM,,,71.143,
138,09/18/20 11:50:00 PM,,,71.148,
139,09/19/20 12:00:00 AM,,,71.132,
140,09/19/20 12:10:00 AM,,,71.138,
141,09/19/20 12:20:00 AM,,,71.113,
142,09/19/20 12:30:00 AM,,,71.124,
143,09/19/20 12:40:00 AM,,,71.109,
144,09/19/20 12:50:00 AM,,,71.102,
145,09/19/20 01:00:00 AM,,,71.102,
146,09/19/20 01:10:00 AM,,,71.096,
147,09/19/20 01:20:00 AM,,,71.105,
148,09/19/20 01:30:00 AM,,,71.087,
149,09/19/20 01:40:00 AM,,,71.093,
150,09/19/20 01:50:00 AM,,,71.084,
151,09/19/20 02:00:00 AM,,,71.100,
152,09/19/20 02:10:00 AM,,,71.064,
153,09/19/20 02:20:00 AM,,,71.061,
154,09/19/20 02:30:00 AM,,,71.059,
155,09/19/20 02:40:00 AM,,,71.056,
156,09/19/20 02:50:00 AM,,,71.056,
157,09/19/20 03:00:00 AM,,,71.068,
158,09/19/20 03:10:00 AM,,,71.050,
159,09/19/20 03:20:00 AM,,,71.034,
160,09/19/20 03:30:00 AM,,,71.037,
161,09/19/20 03:40:00 AM,,,71.030,
162,09/19/20 03:50:00 AM,,,71.030,
163,09/19/20 04:00:00 AM,,,71.021,
164,09/19/20 04:10:00 AM,,,71.027,
165,09/19/20 04:20:00 AM,,,71.009,
166,09/19/20 04:30:00 AM,,,71.016,
167,09/19/20 04:40:00 AM,,,71.016,
168,09/19/20 04:50:00 AM,,,71.013,
169,09/19/20 05:00:00 AM,,,71.032,
170,09/19/20 05:10:00 AM,,,71.013,
171,09/19/20 05:20:00 AM,,,71.016,
172,09/19/20 05:30:00 AM,,,71.025,
173,09/19/20 05:40:00 AM,,,71.009,
174,09/19/20 05:50:00 AM,,,71.012,
175,09/19/20 06:00:00 AM,,,70.994,
176,09/19/20 06:10:00 AM,,,71.003,
177,09/19/20 06:20:00 AM,,,70.978,
178,09/19/20 06:30:00 AM,,,70.987,
179,09/19/20 06:40:00 AM,,,70.996,
180,09/19/20 06:50:00 AM,,,70.990,
181,09/19/20 07:00:00 AM,,,70.990,
182,09/19/20 07:10:00 AM,,,70.990,
183,09/19/20 07:20:00 AM,,,71.008,
184,09/19/20 07:30:00 AM,,,71.008,
185,09/19/20 07:40:00 AM,,,71.005,
186,09/19/20 07:50:00 AM,,,71.009,
187,09/19/20 08:00:00 AM,,,71.004,
188,09/19/20 08:10:00 AM,,,70.997,
189,09/19/20 08:20:00 AM,,,70.989,
190,09/19/20 08:30:00 AM,,,70.978,
191,09/19/20 08:40:00 AM,,,70.994,
192,09/19/20 08:50:00 AM,,,71.010,
193,09/19/20 09:00:00 AM,,,71.001,
194,09/19/20 09:10:00 AM,,,70.986,
195,09/19/20 09:20:00 AM,,,71.013,
196,09/19/20 09:30:00 AM,,,71.007,
197,09/19/20 09:40:00 AM,,,71.010,
