"Plot Title: 20833949"
"#","Date Time, GMT-06:00","Abs Pres, kPa (LGR S/N: 20833949, SEN S/N: 20833949)","Temp, °C (LGR S/N: 20833949, SEN S/N: 20833949)","Coupler Detached (LGR S/N: 20833949)","Coupler Attached (LGR S/N: 20833949)","Host Connected (LGR S/N: 20833949)","Stopped (LGR S/N: 20833949)","End Of File (LGR S/N: 20833949)"
1,09/18/20 01:00:00 AM,71.359,4.102,Logged,,,,
2,09/18/20 01:10:00 AM,71.361,3.998,,,,,
3,09/18/20 01:20:00 AM,71.355,3.893,,,,,
4,09/18/20 01:30:00 AM,71.357,3.788,,,,,
5,09/18/20 01:40:00 AM,71.357,3.788,,,,,
6,09/18/20 01:50:00 AM,71.360,3.683,,,,,
7,09/18/20 02:00:00 AM,71.362,3.578,,,,,
8,09/18/20 02:10:00 AM,71.365,3.472,,,,,
9,09/18/20 02:20:00 AM,71.367,3.367,,,,,
10,09/18/20 02:30:00 AM,71.345,3.155,,,,,
11,09/18/20 02:40:00 AM,71.356,3.049,,,,,
12,09/18/20 02:50:00 AM,71.367,2.943,,,,,
13,09/18/20 03:00:00 AM,71.370,2.837,,,,,
14,09/18/20 03:10:00 AM,71.372,2.730,,,,,
15,09/18/20 03:20:00 AM,71.365,2.624,,,,,
16,09/18/20 03:30:00 AM,71.358,2.517,,,,,
17,09/18/20 03:40:00 AM,71.351,2.410,,,,,
18,09/18/20 03:50:00 AM,71.345,2.303,,,,,
19,09/18/20 04:00:00 AM,71.347,2.195,,,,,
20,09/18/20 04:10:00 AM,71.340,2.088,,,,,
21,09/18/20 04:20:00 AM,71.342,1.980,,,,,
22,09/18/20 04:30:00 AM,71.342,1.980,,,,,
23,09/18/20 04:40:00 AM,71.335,1.872,,,,,
24,09/18/20 04:50:00 AM,71.326,1.872,,,,,
25,09/18/20 05:00:00 AM,71.333,1.980,,,,,
26,09/18/20 05:10:00 AM,71.333,1.980,,,,,
27,09/18/20 05:20:00 AM,71.331,2.088,,,,,
28,09/18/20 05:30:00 AM,71.322,2.088,,,,,
29,09/18/20 05:40:00 AM,71.322,2.088,,,,,
30,09/18/20 05:50:00 AM,71.313,2.088,,,,,
31,09/18/20 06:00:00 AM,71.331,2.088,,,,,
32,09/18/20 06:10:00 AM,71.331,2.088,,,,,
33,09/18/20 06:20:00 AM,71.349,2.088,,,,,
34,09/18/20 06:30:00 AM,71.322,2.088,,,,,
35,09/18/20 06:40:00 AM,71.331,2.088,,,,,
36,09/18/20 06:50:00 AM,71.340,2.088,,,,,
37,09/18/20 07:00:00 AM,71.358,2.088,,,,,
38,09/18/20 07:10:00 AM,71.349,2.088,,,,,
39,09/18/20 07:20:00 AM,71.360,1.980,,,,,
40,09/18/20 07:30:00 AM,71.351,1.980,,,,,
41,09/18/20 07:40:00 AM,71.358,2.088,,,,,
42,09/18/20 07:50:00 AM,71.358,2.088,,,,,
43,09/18/20 08:00:00 AM,71.365,2.195,,,,,
44,09/18/20 08:10:00 AM,71.354,2.303,,,,,
45,09/18/20 08:20:00 AM,71.342,2.410,,,,,
46,09/18/20 08:30:00 AM,71.340,2.517,,,,,
47,09/18/20 08:40:00 AM,71.345,2.730,,,,,
48,09/18/20 08:50:00 AM,71.358,2.943,,,,,
49,09/18/20 09:00:00 AM,71.360,3.261,,,,,
50,09/18/20 09:10:00 AM,71.362,3.578,,,,,
51,09/18/20 09:20:00 AM,71.373,3.893,,,,,
52,09/18/20 09:30:00 AM,71.374,4.207,,,,,
53,09/18/20 09:40:00 AM,71.373,4.623,,,,,
54,09/18/20 09:50:00 AM,71.374,4.934,,,,,
55,09/18/20 10:00:00 AM,71.372,5.347,,,,,
56,09/18/20 10:10:00 AM,71.397,5.757,,,,,
57,09/18/20 10:20:00 AM,71.382,6.268,,,,,
58,09/18/20 10:30:00 AM,71.400,6.877,,,,,
59,09/18/20 10:40:00 AM,71.399,7.481,,,,,
60,09/18/20 10:50:00 AM,71.401,7.983,,,,,
61,09/18/20 11:00:00 AM,71.363,8.581,,,,,
62,09/18/20 11:10:00 AM,71.378,9.176,,,,,
63,09/18/20 11:20:00 AM,71.406,9.669,,,,,
64,09/18/20 11:30:00 AM,71.383,10.063,,,,,
65,09/18/20 11:40:00 AM,71.362,10.846,,,,,
66,09/18/20 11:50:00 AM,71.365,11.916,,,,,
67,09/18/20 12:00:00 PM,71.361,12.883,,,,,
68,09/18/20 12:10:00 PM,71.347,13.654,,,,,
69,09/18/20 12:20:00 PM,71.344,14.134,,,,,
70,09/18/20 12:30:00 PM,71.332,14.613,,,,,
71,09/18/20 12:40:00 PM,71.332,14.996,,,,,
72,09/18/20 12:50:00 PM,71.360,14.996,,,,,
73,09/18/20 01:00:00 PM,71.359,14.804,,,,,
74,09/18/20 01:10:00 PM,71.359,14.613,,,,,
75,09/18/20 01:20:00 PM,71.341,14.613,,,,,
76,09/18/20 01:30:00 PM,71.314,14.804,,,,,
77,09/18/20 01:40:00 PM,71.305,14.804,,,,,
78,09/18/20 01:50:00 PM,71.305,14.804,,,,,
79,09/18/20 02:00:00 PM,71.282,14.709,,,,,
80,09/18/20 02:10:00 PM,71.268,14.613,,,,,
81,09/18/20 02:20:00 PM,71.263,14.517,,,,,
82,09/18/20 02:30:00 PM,71.258,14.421,,,,,
83,09/18/20 02:40:00 PM,71.245,14.517,,,,,
84,09/18/20 02:50:00 PM,71.240,14.613,,,,,
85,09/18/20 03:00:00 PM,71.231,14.613,,,,,
86,09/18/20 03:10:00 PM,71.222,14.613,,,,,
87,09/18/20 03:20:00 PM,71.227,14.709,,,,,
88,09/18/20 03:30:00 PM,71.223,14.804,,,,,
89,09/18/20 03:40:00 PM,71.246,14.900,,,,,
90,09/18/20 03:50:00 PM,71.241,14.804,,,,,
91,09/18/20 04:00:00 PM,71.227,14.709,,,,,
