datetime,wtrhgtavg_obs,CR _length_krtobtm(mm),stickup_ht(mm),blttotp_well(mm),CR_zerotobtm(mm),wtrhgt_blwgrnd(mm)
3/25/2020 11:30,-9,1114,263,79,35,-904
3/25/2020 11:40,-9,1114,263,79,35,-904
3/25/2020 11:50,-9,1114,263,79,35,-904
3/25/2020 12:00,-9,1114,263,79,35,-904
3/25/2020 12:10,-9,1114,263,79,35,-904
3/25/2020 12:20,-9,1114,263,79,35,-904
3/25/2020 12:30,-9,1114,263,79,35,-904
3/25/2020 12:40,-9,1114,263,79,35,-904
3/25/2020 12:50,-9,1114,263,79,35,-904
3/25/2020 13:00,-9,1114,263,79,35,-904
3/25/2020 13:10,-9,1114,263,79,35,-904
3/25/2020 13:20,-9,1114,263,79,35,-904
3/25/2020 13:30,-9,1114,263,79,35,-904
3/25/2020 13:40,-9,1114,263,79,35,-904
3/25/2020 13:50,-9,1114,263,79,35,-904
3/25/2020 14:00,-9,1114,263,79,35,-904
3/25/2020 14:10,-9,1114,263,79,35,-904
3/25/2020 14:20,-9,1114,263,79,35,-904
3/25/2020 14:30,-9,1114,263,79,35,-904
3/25/2020 14:40,-9,1114,263,79,35,-904
3/25/2020 14:50,-9,1114,263,79,35,-904
3/25/2020 15:00,-9,1114,263,79,35,-904
3/25/2020 15:10,-9,1114,263,79,35,-904
3/25/2020 15:20,-9,1114,263,79,35,-904
3/25/2020 15:30,-9,1114,263,79,35,-904
3/25/2020 15:40,-9,1114,263,79,35,-904
3/25/2020 15:50,-9,1114,263,79,35,-904
3/25/2020 16:00,-9,1114,263,79,35,-904
3/25/2020 16:10,-9,1114,263,79,35,-904
3/25/2020 16:20,-9,1114,263,79,35,-904
3/25/2020 16:30,-9,1114,263,79,35,-904
3/25/2020 16:40,-9,1114,263,79,35,-904
3/25/2020 16:50,-9,1114,263,79,35,-904
3/25/2020 17:00,-9,1114,263,79,35,-904
3/25/2020 17:10,-9,1114,263,79,35,-904
3/25/2020 17:20,-9,1114,263,79,35,-904
3/25/2020 17:30,-9,1114,263,79,35,-904
3/25/2020 17:40,-9,1114,263,79,35,-904
3/25/2020 17:50,-9,1114,263,79,35,-904
3/25/2020 18:00,-9,1114,263,79,35,-904
3/25/2020 18:10,-9,1114,263,79,35,-904
3/25/2020 18:20,-9,1114,263,79,35,-904
3/25/2020 18:30,-9,1114,263,79,35,-904
3/25/2020 18:40,-9,1114,263,79,35,-904
3/25/2020 18:50,-9,1114,263,79,35,-904
3/25/2020 19:00,-9,1114,263,79,35,-904
3/25/2020 19:10,-9,1114,263,79,35,-904
3/25/2020 19:20,-9,1114,263,79,35,-904
3/25/2020 19:30,-9,1114,263,79,35,-904
3/25/2020 19:40,-9,1114,263,79,35,-904
3/25/2020 19:50,-9,1114,263,79,35,-904
3/25/2020 20:00,-9,1114,263,79,35,-904
3/25/2020 20:10,-9,1114,263,79,35,-904
3/25/2020 20:20,-9,1114,263,79,35,-904
3/25/2020 20:30,-9,1114,263,79,35,-904
3/25/2020 20:40,-9,1114,263,79,35,-904
3/25/2020 20:50,-9,1114,263,79,35,-904
3/25/2020 21:00,-9,1114,263,79,35,-904
3/25/2020 21:10,-9,1114,263,79,35,-904
3/25/2020 21:20,-9,1114,263,79,35,-904
3/25/2020 21:30,-9,1114,263,79,35,-904
3/25/2020 21:40,-9,1114,263,79,35,-904
3/25/2020 21:50,-9,1114,263,79,35,-904
3/25/2020 22:00,-9,1114,263,79,35,-904
3/25/2020 22:10,-9,1114,263,79,35,-904
3/25/2020 22:20,-9,1114,263,79,35,-904
3/25/2020 22:30,-9,1114,263,79,35,-904
3/25/2020 22:40,-9,1114,263,79,35,-904
3/25/2020 22:50,-9,1114,263,79,35,-904
3/25/2020 23:00,-9,1114,263,79,35,-904
3/25/2020 23:10,-9,1114,263,79,35,-904
3/25/2020 23:20,-9,1114,263,79,35,-904
3/25/2020 23:30,-9,1114,263,79,35,-904
3/25/2020 23:40,-9,1114,263,79,35,-904
3/25/2020 23:50,-9,1114,263,79,35,-904
3/26/2020 0:00,-9,1114,263,79,35,-904
3/26/2020 0:10,-9,1114,263,79,35,-904
3/26/2020 0:20,-9,1114,263,79,35,-904
3/26/2020 0:30,-9,1114,263,79,35,-904
3/26/2020 0:40,-9,1114,263,79,35,-904
3/26/2020 0:50,-9,1114,263,79,35,-904
3/26/2020 1:00,-9,1114,263,79,35,-904
3/26/2020 1:10,-9,1114,263,79,35,-904
3/26/2020 1:20,-9,1114,263,79,35,-904
3/26/2020 1:30,-9,1114,263,79,35,-904
3/26/2020 1:40,-9,1114,263,79,35,-904
3/26/2020 1:50,-9,1114,263,79,35,-904
3/26/2020 2:00,-9,1114,263,79,35,-904
3/26/2020 2:10,-9,1114,263,79,35,-904
3/26/2020 2:20,-9,1114,263,79,35,-904
3/26/2020 2:30,-9,1114,263,79,35,-904
3/26/2020 2:40,-9,1114,263,79,35,-904
3/26/2020 2:50,-9,1114,263,79,35,-904
3/26/2020 3:00,-9,1114,263,79,35,-904
3/26/2020 3:10,-9,1114,263,79,35,-904
3/26/2020 3:20,-9,1114,263,79,35,-904
3/26/2020 3:30,-9,1114,263,79,35,-904
3/26/2020 3:40,-9,1114,263,79,35,-904
3/26/2020 3:50,-9,1114,263,79,35,-904
3/26/2020 4:00,-9,1114,263,79,35,-904
3/26/2020 4:10,-9,1114,263,79,35,-904
3/26/2020 4:20,-9,1114,263,79,35,-904
3/26/2020 4:30,-9,1114,263,79,35,-904
3/26/2020 4:40,-9,1114,263,79,35,-904
3/26/2020 4:50,-9,1114,263,79,35,-904
3/26/2020 5:00,-9,1114,263,79,35,-904
3/26/2020 5:10,-9,1114,263,79,35,-904
3/26/2020 5:20,-9,1114,263,79,35,-904
3/26/2020 5:30,-9,1114,263,79,35,-904
3/26/2020 5:40,-9,1114,263,79,35,-904
3/26/2020 5:50,-9,1114,263,79,35,-904
3/26/2020 6:00,-9,1114,263,79,35,-904
3/26/2020 6:10,-9,1114,263,79,35,-904
3/26/2020 6:20,-9,1114,263,79,35,-904
3/26/2020 6:30,-9,1114,263,79,35,-904
3/26/2020 6:40,-9,1114,263,79,35,-904
3/26/2020 6:50,-9,1114,263,79,35,-904
3/26/2020 7:00,-9,1114,263,79,35,-904
3/26/2020 7:10,-9,1114,263,79,35,-904
3/26/2020 7:20,-9,1114,263,79,35,-904
3/26/2020 7:30,-9,1114,263,79,35,-904
3/26/2020 7:40,-9,1114,263,79,35,-904
3/26/2020 7:50,-9,1114,263,79,35,-904
3/26/2020 8:00,-9,1114,263,79,35,-904
3/26/2020 8:10,-9,1114,263,79,35,-904
3/26/2020 8:20,-9,1114,263,79,35,-904
3/26/2020 8:30,-9,1114,263,79,35,-904
3/26/2020 8:40,-9,1114,263,79,35,-904
3/26/2020 8:50,-9,1114,263,79,35,-904
3/26/2020 9:00,-9,1114,263,79,35,-904
3/26/2020 9:10,-9,1114,263,79,35,-904
3/26/2020 9:20,-9,1114,263,79,35,-904
3/26/2020 9:30,-9,1114,263,79,35,-904
3/26/2020 9:40,-9,1114,263,79,35,-904
3/26/2020 9:50,-9,1114,263,79,35,-904
3/26/2020 10:00,-9,1114,263,79,35,-904
3/26/2020 10:10,-9,1114,263,79,35,-904
3/26/2020 10:20,-9,1114,263,79,35,-904
3/26/2020 10:30,-9,1114,263,79,35,-904
3/26/2020 10:40,-9,1114,263,79,35,-904
3/26/2020 10:50,-9,1114,263,79,35,-904
3/26/2020 11:00,-9,1114,263,79,35,-904
3/26/2020 11:10,-9,1114,263,79,35,-904
3/26/2020 11:20,-9,1114,263,79,35,-904
3/26/2020 11:30,-9,1114,263,79,35,-904
