date,time,voltage_mv,co2_ppm
6/23/21,15:40:44,115.7,385.6666667
6/23/21,15:50:44,120.135,400.45
6/23/21,16:00:44,119.4,398
6/23/21,16:10:44,118.115,393.7166667
6/23/21,16:20:44,117.115,390.3833333
6/23/21,16:30:44,115.54,385.1333333
6/23/21,16:40:44,120.785,402.6166667
6/23/21,16:50:44,123.135,410.45
6/23/21,17:00:44,119.035,396.7833333
6/23/21,17:10:44,118.89,396.3
6/23/21,17:20:44,118.06,393.5333333
6/23/21,17:30:44,116.04,386.8
6/23/21,17:40:44,118.135,393.7833333
6/23/21,17:50:44,120.15,400.5
6/23/21,18:00:44,120.57,401.9
6/23/21,18:10:44,119.7,399
6/23/21,18:20:44,122.96,409.8666667
6/23/21,18:30:44,120.52,401.7333333
6/23/21,18:40:44,118.16,393.8666667
6/23/21,18:50:44,119.715,399.05
6/23/21,19:00:44,120.535,401.7833333
6/23/21,19:10:44,120.545,401.8166667
6/23/21,19:20:44,123.19,410.6333333
6/23/21,19:30:44,124.26,414.2
6/23/21,19:40:44,122.945,409.8166667
6/23/21,19:50:44,121.93,406.4333333
6/23/21,20:00:44,123.19,410.6333333
6/23/21,20:10:44,125.465,418.2166667
6/23/21,20:20:44,125.665,418.8833333
6/23/21,20:30:44,129.145,430.4833333
6/23/21,20:40:44,125.81,419.3666667
6/23/21,20:50:44,123.325,411.0833333
6/23/21,21:00:44,127.805,426.0166667
6/23/21,21:10:44,125.745,419.15
6/23/21,21:20:44,124.94,416.4666667
6/23/21,21:30:44,125.05,416.8333333
6/23/21,21:40:44,125.475,418.25
6/23/21,21:50:44,123.395,411.3166667
6/23/21,22:00:44,126.83,422.7666667
6/23/21,22:10:44,127.68,425.6
6/23/21,22:20:44,129.98,433.2666667
6/23/21,22:30:44,129.125,430.4166667
6/23/21,22:40:44,133.085,443.6166667
6/23/21,22:50:44,126.365,421.2166667
6/23/21,23:00:44,128.21,427.3666667
6/23/21,23:10:44,125.285,417.6166667
6/23/21,23:20:44,123.515,411.7166667
6/23/21,23:30:44,123.87,412.9
6/23/21,23:40:44,125.975,419.9166667
6/23/21,23:50:44,125.52,418.4
6/24/21,0:00:44,125.295,417.65
6/24/21,0:10:44,123.38,411.2666667
6/24/21,0:20:44,124.1,413.6666667
6/24/21,0:30:44,125.17,417.2333333
6/24/21,0:40:44,125.43,418.1
6/24/21,0:50:44,124.39,414.6333333
6/24/21,1:00:44,127.785,425.95
6/24/21,1:10:44,125.295,417.65
6/24/21,1:20:44,125.32,417.7333333
6/24/21,1:30:44,122.88,409.6
6/24/21,1:40:44,124.735,415.7833333
6/24/21,1:50:44,125.63,418.7666667
6/24/21,2:00:44,124.89,416.3
6/24/21,2:10:44,125.18,417.2666667
6/24/21,2:20:44,124.315,414.3833333
6/24/21,2:30:44,122.83,409.4333333
6/24/21,2:40:44,125.685,418.95
6/24/21,2:50:44,127.765,425.8833333
6/24/21,3:00:44,127.65,425.5
6/24/21,3:10:44,125.165,417.2166667
6/24/21,3:20:44,126.12,420.4
6/24/21,3:30:44,125.93,419.7666667
6/24/21,3:40:44,122.845,409.4833333
6/24/21,3:50:44,123.69,412.3
6/24/21,4:00:44,121.25,404.1666667
6/24/21,4:10:44,125.025,416.75
6/24/21,4:20:44,125.52,418.4
