sample,datetime,wtemp_a_1,wtrhgt__2,wtrhgt__3,formatted_datetime
4208,6/10/21 17:10,3.6,175,176,6/10/21 17:10
4209,6/10/21 17:20,3.6,173,175,6/10/21 17:20
4210,6/10/21 17:30,3.6,175,176,6/10/21 17:30
4211,6/10/21 17:40,3.5,183,176,6/10/21 17:40
4212,6/10/21 17:50,3.5,172,176,6/10/21 17:50
4213,6/10/21 18:00,3.5,171,174,6/10/21 18:00
4214,6/10/21 18:10,3.4,175,173,6/10/21 18:10
4215,6/10/21 18:20,3.4,173,175,6/10/21 18:20
4216,6/10/21 18:30,3.4,172,174,6/10/21 18:30
4217,6/10/21 18:40,3.3,178,174,6/10/21 18:40
4218,6/10/21 18:50,3.3,171,175,6/10/21 18:50
4219,6/10/21 19:00,3.2,183,176,6/10/21 19:00
4220,6/10/21 19:10,3.2,171,173,6/10/21 19:10
4221,6/10/21 19:20,3.2,176,172,6/10/21 19:20
4222,6/10/21 19:30,3.2,175,174,6/10/21 19:30
4223,6/10/21 19:40,3.1,177,175,6/10/21 19:40
4224,6/10/21 19:50,3.1,169,172,6/10/21 19:50
4225,6/10/21 20:00,3.1,170,175,6/10/21 20:00
4226,6/10/21 20:10,3,167,173,6/10/21 20:10
4227,6/10/21 20:20,3,181,175,6/10/21 20:20
4228,6/10/21 20:30,3,172,176,6/10/21 20:30
4229,6/10/21 20:40,2.9,179,175,6/10/21 20:40
4230,6/10/21 20:50,2.9,166,173,6/10/21 20:50
4231,6/10/21 21:00,2.9,176,176,6/10/21 21:00
4232,6/10/21 21:10,2.9,176,174,6/10/21 21:10
4233,6/10/21 21:20,2.8,170,173,6/10/21 21:20
4234,6/10/21 21:30,2.8,178,174,6/10/21 21:30
4235,6/10/21 21:40,2.7,168,170,6/10/21 21:40
4236,6/10/21 21:50,2.7,178,176,6/10/21 21:50
4237,6/10/21 22:00,2.7,178,176,6/10/21 22:00
4238,6/10/21 22:10,2.7,167,174,6/10/21 22:10
4239,6/10/21 22:20,2.6,176,174,6/10/21 22:20
4240,6/10/21 22:30,2.6,178,175,6/10/21 22:30
4241,6/10/21 22:40,2.6,178,173,6/10/21 22:40
4242,6/10/21 22:50,2.6,172,173,6/10/21 22:50
4243,6/10/21 23:00,2.5,176,172,6/10/21 23:00
4244,6/10/21 23:10,2.5,172,173,6/10/21 23:10
4245,6/10/21 23:20,2.5,176,175,6/10/21 23:20
4246,6/10/21 23:30,2.5,178,175,6/10/21 23:30
4247,6/10/21 23:40,2.5,177,175,6/10/21 23:40
4248,6/10/21 23:50,2.5,171,175,6/10/21 23:50
4249,6/11/21 0:00,2.4,176,174,6/11/21 0:00
4250,6/11/21 0:10,2.4,177,174,6/11/21 0:10
4251,6/11/21 0:20,2.4,176,173,6/11/21 0:20
4252,6/11/21 0:30,2.4,167,173,6/11/21 0:30
4253,6/11/21 0:40,2.4,171,175,6/11/21 0:40
4254,6/11/21 0:50,2.4,171,174,6/11/21 0:50
4255,6/11/21 1:00,2.3,172,173,6/11/21 1:00
4256,6/11/21 1:10,2.3,171,172,6/11/21 1:10
4257,6/11/21 1:20,2.3,175,173,6/11/21 1:20
4258,6/11/21 1:30,2.3,179,175,6/11/21 1:30
4259,6/11/21 1:40,2.3,173,173,6/11/21 1:40
4260,6/11/21 1:50,2.2,181,175,6/11/21 1:50
4261,6/11/21 2:00,2.2,166,171,6/11/21 2:00
4262,6/11/21 2:10,2.2,171,172,6/11/21 2:10
4263,6/11/21 2:20,2.2,174,171,6/11/21 2:20
4264,6/11/21 2:30,2.1,178,176,6/11/21 2:30
4265,6/11/21 2:40,2.1,173,174,6/11/21 2:40
4266,6/11/21 2:50,2.1,171,172,6/11/21 2:50
4267,6/11/21 3:00,2,171,173,6/11/21 3:00
4268,6/11/21 3:10,2,179,173,6/11/21 3:10
4269,6/11/21 3:20,2,175,171,6/11/21 3:20
4270,6/11/21 3:30,2,175,173,6/11/21 3:30
4271,6/11/21 3:40,1.9,178,175,6/11/21 3:40
4272,6/11/21 3:50,1.9,172,172,6/11/21 3:50
4273,6/11/21 4:00,1.9,173,173,6/11/21 4:00
4274,6/11/21 4:10,1.9,171,174,6/11/21 4:10
4275,6/11/21 4:20,1.9,176,174,6/11/21 4:20
4276,6/11/21 4:30,1.9,179,173,6/11/21 4:30
4277,6/11/21 4:40,1.9,167,172,6/11/21 4:40
4278,6/11/21 4:50,1.8,172,172,6/11/21 4:50
4279,6/11/21 5:00,1.8,171,169,6/11/21 5:00
4280,6/11/21 5:10,1.8,174,171,6/11/21 5:10
4281,6/11/21 5:20,1.8,172,171,6/11/21 5:20
4282,6/11/21 5:30,1.8,174,172,6/11/21 5:30
4283,6/11/21 5:40,1.7,165,170,6/11/21 5:40
4284,6/11/21 5:50,1.7,172,169,6/11/21 5:50
4285,6/11/21 6:00,1.7,170,171,6/11/21 6:00
4286,6/11/21 6:10,1.7,172,170,6/11/21 6:10
4287,6/11/21 6:20,1.6,172,170,6/11/21 6:20
4288,6/11/21 6:30,1.6,170,170,6/11/21 6:30
4289,6/11/21 6:40,1.6,173,171,6/11/21 6:40
4290,6/11/21 6:50,1.6,164,170,6/11/21 6:50
4291,6/11/21 7:00,1.6,177,171,6/11/21 7:00
4292,6/11/21 7:10,1.6,176,171,6/11/21 7:10
4293,6/11/21 7:20,1.6,168,170,6/11/21 7:20
